box_id,service_id,material_type,weight_kg,volume_m3,first_batch_text,first_deadline_s,expected_s,priority,source_workbook,source_sheet,source_excel_row,is_first_batch,has_first_deadline
S001-MED-01,S001,医疗物资,3.0,0.012,是,3600.0,3600.0,24,物资需求与配送时限.xlsx,逐箱货箱清单,2,True,True
S001-MED-02,S001,医疗物资,3.0,0.012,否,,3600.0,24,物资需求与配送时限.xlsx,逐箱货箱清单,3,False,False
S001-WAT-01,S001,饮用水,14.0,0.027,是,3600.0,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,4,True,True
S001-WAT-02,S001,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,5,False,False
S001-WAT-03,S001,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,6,False,False
S001-WAT-04,S001,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,7,False,False
S001-WAT-05,S001,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,8,False,False
S001-WAT-06,S001,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,9,False,False
S001-WAT-07,S001,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,10,False,False
S001-WAT-08,S001,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,11,False,False
S001-FOD-01,S001,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,12,False,False
S001-FOD-02,S001,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,13,False,False
S001-FOD-03,S001,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,14,False,False
S001-HYG-01,S001,生活卫生用品,6.0,0.035,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,15,False,False
S001-HYG-02,S001,生活卫生用品,6.0,0.035,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,16,False,False
S002-MED-01,S002,医疗物资,3.0,0.012,是,3600.0,3600.0,24,物资需求与配送时限.xlsx,逐箱货箱清单,17,True,True
S002-WAT-01,S002,饮用水,14.0,0.027,是,3600.0,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,18,True,True
S002-WAT-02,S002,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,19,False,False
S002-WAT-03,S002,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,20,False,False
S002-WAT-04,S002,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,21,False,False
S002-FOD-01,S002,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,22,False,False
S002-FOD-02,S002,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,23,False,False
S002-HYG-01,S002,生活卫生用品,6.0,0.035,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,24,False,False
S003-MED-01,S003,医疗物资,3.0,0.012,是,7200.0,7200.0,20,物资需求与配送时限.xlsx,逐箱货箱清单,25,True,True
S003-WAT-01,S003,饮用水,14.0,0.027,是,7200.0,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,26,True,True
S003-WAT-02,S003,饮用水,14.0,0.027,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,27,False,False
S003-WAT-03,S003,饮用水,14.0,0.027,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,28,False,False
S003-WAT-04,S003,饮用水,14.0,0.027,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,29,False,False
S003-FOD-01,S003,应急食品,8.0,0.028,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,30,False,False
S003-FOD-02,S003,应急食品,8.0,0.028,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,31,False,False
S003-HYG-01,S003,生活卫生用品,6.0,0.035,否,,14400.0,6,物资需求与配送时限.xlsx,逐箱货箱清单,32,False,False
S004-MED-01,S004,医疗物资,3.0,0.012,是,7200.0,7200.0,20,物资需求与配送时限.xlsx,逐箱货箱清单,33,True,True
S004-WAT-01,S004,饮用水,14.0,0.027,是,7200.0,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,34,True,True
S004-WAT-02,S004,饮用水,14.0,0.027,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,35,False,False
S004-WAT-03,S004,饮用水,14.0,0.027,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,36,False,False
S004-FOD-01,S004,应急食品,8.0,0.028,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,37,False,False
S004-HYG-01,S004,生活卫生用品,6.0,0.035,否,,14400.0,6,物资需求与配送时限.xlsx,逐箱货箱清单,38,False,False
S005-MED-01,S005,医疗物资,3.0,0.012,是,10800.0,10800.0,16,物资需求与配送时限.xlsx,逐箱货箱清单,39,True,True
S005-WAT-01,S005,饮用水,14.0,0.027,是,10800.0,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,40,True,True
S005-WAT-02,S005,饮用水,14.0,0.027,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,41,False,False
S005-WAT-03,S005,饮用水,14.0,0.027,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,42,False,False
S005-FOD-01,S005,应急食品,8.0,0.028,否,,14400.0,6,物资需求与配送时限.xlsx,逐箱货箱清单,43,False,False
S005-HYG-01,S005,生活卫生用品,6.0,0.035,否,,18000.0,4,物资需求与配送时限.xlsx,逐箱货箱清单,44,False,False
S006-MED-01,S006,医疗物资,3.0,0.012,是,3600.0,3600.0,24,物资需求与配送时限.xlsx,逐箱货箱清单,45,True,True
S006-WAT-01,S006,饮用水,14.0,0.027,是,3600.0,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,46,True,True
S006-WAT-02,S006,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,47,False,False
S006-WAT-03,S006,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,48,False,False
S006-FOD-01,S006,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,49,False,False
S006-HYG-01,S006,生活卫生用品,6.0,0.035,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,50,False,False
S007-MED-01,S007,医疗物资,3.0,0.012,是,3600.0,3600.0,24,物资需求与配送时限.xlsx,逐箱货箱清单,51,True,True
S007-WAT-01,S007,饮用水,14.0,0.027,是,3600.0,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,52,True,True
S007-WAT-02,S007,饮用水,14.0,0.027,否,,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,53,False,False
S007-FOD-01,S007,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,54,False,False
S007-HYG-01,S007,生活卫生用品,6.0,0.035,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,55,False,False
S008-MED-01,S008,医疗物资,3.0,0.012,是,7200.0,7200.0,20,物资需求与配送时限.xlsx,逐箱货箱清单,56,True,True
S008-WAT-01,S008,饮用水,14.0,0.027,是,7200.0,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,57,True,True
S008-WAT-02,S008,饮用水,14.0,0.027,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,58,False,False
S008-FOD-01,S008,应急食品,8.0,0.028,否,,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,59,False,False
S008-HYG-01,S008,生活卫生用品,6.0,0.035,否,,14400.0,6,物资需求与配送时限.xlsx,逐箱货箱清单,60,False,False
S009-MED-01,S009,医疗物资,3.0,0.012,是,10800.0,10800.0,16,物资需求与配送时限.xlsx,逐箱货箱清单,61,True,True
S009-WAT-01,S009,饮用水,14.0,0.027,是,10800.0,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,62,True,True
S009-FOD-01,S009,应急食品,8.0,0.028,否,,14400.0,6,物资需求与配送时限.xlsx,逐箱货箱清单,63,False,False
S010-MED-01,S010,医疗物资,3.0,0.012,是,3600.0,3600.0,24,物资需求与配送时限.xlsx,逐箱货箱清单,64,True,True
S010-WAT-01,S010,饮用水,14.0,0.027,是,3600.0,3600.0,12,物资需求与配送时限.xlsx,逐箱货箱清单,65,True,True
S010-FOD-01,S010,应急食品,8.0,0.028,否,,7200.0,10,物资需求与配送时限.xlsx,逐箱货箱清单,66,False,False
S011-MED-01,S011,医疗物资,3.0,0.012,是,10800.0,10800.0,16,物资需求与配送时限.xlsx,逐箱货箱清单,67,True,True
S011-WAT-01,S011,饮用水,14.0,0.027,是,10800.0,10800.0,8,物资需求与配送时限.xlsx,逐箱货箱清单,68,True,True
S011-FOD-01,S011,应急食品,8.0,0.028,否,,14400.0,6,物资需求与配送时限.xlsx,逐箱货箱清单,69,False,False
S012-MED-01,S012,医疗物资,3.0,0.012,是,3600.0,7200.0,22,物资需求与配送时限.xlsx,逐箱货箱清单,70,True,True
