table,field,data_type,unit,null_count,note
depots,node_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
depots,name,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
depots,lon_deg,float,degree,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
depots,lat_deg,float,degree,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
depots,ground_elevation_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
depots,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
depots,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
depots,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,node_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,name,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,lon_deg,float,degree,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,lat_deg,float,degree,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,ground_elevation_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,population,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,source_workbook,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,source_sheet,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
services,source_excel_row,int,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,model_id,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,name,str,not_applicable_or_label,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,empty_mass_kg,float,kg,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,max_payload_kg,float,kg,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,volume_m3,float,m³,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,cruise_speed_mps,float,m/s,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,empty_range_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
transport_models,full_range_m,float,m,0,单位由字段后缀明示；source列定位原数据。不适用值保留null。
