service_id,material_type,box_count,first_batch_count,weight_kg,volume_m3,priority,first_deadline_s,expected_s,source_workbook,source_sheet,source_excel_row,has_first_deadline
S001,医疗物资,2,1,3.0,0.012,24,3600.0,3600.0,物资需求与配送时限.xlsx,数据,2,True
S001,饮用水,8,1,14.0,0.027,12,3600.0,3600.0,物资需求与配送时限.xlsx,数据,3,True
S001,应急食品,3,0,8.0,0.028,10,,7200.0,物资需求与配送时限.xlsx,数据,4,False
S001,生活卫生用品,2,0,6.0,0.035,8,,10800.0,物资需求与配送时限.xlsx,数据,5,False
S002,医疗物资,1,1,3.0,0.012,24,3600.0,3600.0,物资需求与配送时限.xlsx,数据,6,True
S002,饮用水,4,1,14.0,0.027,12,3600.0,3600.0,物资需求与配送时限.xlsx,数据,7,True
S002,应急食品,2,0,8.0,0.028,10,,7200.0,物资需求与配送时限.xlsx,数据,8,False
S002,生活卫生用品,1,0,6.0,0.035,8,,10800.0,物资需求与配送时限.xlsx,数据,9,False
S003,医疗物资,1,1,3.0,0.012,20,7200.0,7200.0,物资需求与配送时限.xlsx,数据,10,True
S003,饮用水,4,1,14.0,0.027,10,7200.0,7200.0,物资需求与配送时限.xlsx,数据,11,True
S003,应急食品,2,0,8.0,0.028,8,,10800.0,物资需求与配送时限.xlsx,数据,12,False
S003,生活卫生用品,1,0,6.0,0.035,6,,14400.0,物资需求与配送时限.xlsx,数据,13,False
S004,医疗物资,1,1,3.0,0.012,20,7200.0,7200.0,物资需求与配送时限.xlsx,数据,14,True
S004,饮用水,3,1,14.0,0.027,10,7200.0,7200.0,物资需求与配送时限.xlsx,数据,15,True
S004,应急食品,1,0,8.0,0.028,8,,10800.0,物资需求与配送时限.xlsx,数据,16,False
S004,生活卫生用品,1,0,6.0,0.035,6,,14400.0,物资需求与配送时限.xlsx,数据,17,False
S005,医疗物资,1,1,3.0,0.012,16,10800.0,10800.0,物资需求与配送时限.xlsx,数据,18,True
S005,饮用水,3,1,14.0,0.027,8,10800.0,10800.0,物资需求与配送时限.xlsx,数据,19,True
S005,应急食品,1,0,8.0,0.028,6,,14400.0,物资需求与配送时限.xlsx,数据,20,False
S005,生活卫生用品,1,0,6.0,0.035,4,,18000.0,物资需求与配送时限.xlsx,数据,21,False
S006,医疗物资,1,1,3.0,0.012,24,3600.0,3600.0,物资需求与配送时限.xlsx,数据,22,True
S006,饮用水,3,1,14.0,0.027,12,3600.0,3600.0,物资需求与配送时限.xlsx,数据,23,True
S006,应急食品,1,0,8.0,0.028,10,,7200.0,物资需求与配送时限.xlsx,数据,24,False
S006,生活卫生用品,1,0,6.0,0.035,8,,10800.0,物资需求与配送时限.xlsx,数据,25,False
S007,医疗物资,1,1,3.0,0.012,24,3600.0,3600.0,物资需求与配送时限.xlsx,数据,26,True
S007,饮用水,2,1,14.0,0.027,12,3600.0,3600.0,物资需求与配送时限.xlsx,数据,27,True
S007,应急食品,1,0,8.0,0.028,10,,7200.0,物资需求与配送时限.xlsx,数据,28,False
S007,生活卫生用品,1,0,6.0,0.035,8,,10800.0,物资需求与配送时限.xlsx,数据,29,False
S008,医疗物资,1,1,3.0,0.012,20,7200.0,7200.0,物资需求与配送时限.xlsx,数据,30,True
S008,饮用水,2,1,14.0,0.027,10,7200.0,7200.0,物资需求与配送时限.xlsx,数据,31,True
S008,应急食品,1,0,8.0,0.028,8,,10800.0,物资需求与配送时限.xlsx,数据,32,False
S008,生活卫生用品,1,0,6.0,0.035,6,,14400.0,物资需求与配送时限.xlsx,数据,33,False
S009,医疗物资,1,1,3.0,0.012,16,10800.0,10800.0,物资需求与配送时限.xlsx,数据,34,True
S009,饮用水,1,1,14.0,0.027,8,10800.0,10800.0,物资需求与配送时限.xlsx,数据,35,True
S009,应急食品,1,0,8.0,0.028,6,,14400.0,物资需求与配送时限.xlsx,数据,36,False
S010,医疗物资,1,1,3.0,0.012,24,3600.0,3600.0,物资需求与配送时限.xlsx,数据,37,True
S010,饮用水,1,1,14.0,0.027,12,3600.0,3600.0,物资需求与配送时限.xlsx,数据,38,True
S010,应急食品,1,0,8.0,0.028,10,,7200.0,物资需求与配送时限.xlsx,数据,39,False
S011,医疗物资,1,1,3.0,0.012,16,10800.0,10800.0,物资需求与配送时限.xlsx,数据,40,True
S011,饮用水,1,1,14.0,0.027,8,10800.0,10800.0,物资需求与配送时限.xlsx,数据,41,True
S011,应急食品,1,0,8.0,0.028,6,,14400.0,物资需求与配送时限.xlsx,数据,42,False
S012,医疗物资,1,1,3.0,0.012,22,3600.0,7200.0,物资需求与配送时限.xlsx,数据,43,True
S012,饮用水,1,1,14.0,0.027,12,3600.0,3600.0,物资需求与配送时限.xlsx,数据,44,True
S012,应急食品,1,0,8.0,0.028,10,,7200.0,物资需求与配送时限.xlsx,数据,45,False
S013,医疗物资,1,1,3.0,0.012,24,3600.0,3600.0,物资需求与配送时限.xlsx,数据,46,True
S013,饮用水,1,1,14.0,0.027,12,3600.0,3600.0,物资需求与配送时限.xlsx,数据,47,True
S013,应急食品,1,0,8.0,0.028,10,,7200.0,物资需求与配送时限.xlsx,数据,48,False
S014,医疗物资,1,1,3.0,0.012,22,3600.0,7200.0,物资需求与配送时限.xlsx,数据,49,True
S014,饮用水,1,1,14.0,0.027,12,3600.0,3600.0,物资需求与配送时限.xlsx,数据,50,True
