feature_id,name,category,osm_id,location,lon_deg,lat_deg,name_raw,name_missing,source_csv_row
ST001,黎塘镇,乡镇,621892885,乡外,109.129485,23.20284,黎塘镇,False,2
ST002,三里镇,乡镇,3155700108,乡外,109.3917952,23.0561446,三里镇,False,3
ST003,云表镇,乡镇,3155700111,乡外,109.3858039,22.9062875,云表镇,False,4
ST004,五里镇,乡镇,3155700112,乡外,109.3938582,22.9618298,五里镇,False,5
ST005,黄练镇,乡镇,3722472095,乡外,109.3118097,23.1581487,黄练镇,False,6
ST006,定布,村庄,3810307024,乡外,109.3999847,23.1991,定布,False,7
ST007,红坭,村庄,3810307026,乡外,109.3972304,23.183709,红坭,False,8
ST008,平龙,村庄,3810307030,乡外,109.4007833,23.2167599,平龙,False,9
ST009,覃塘街道,乡镇,3810307031,乡外,109.4158451,23.1373934,覃塘街道,False,10
ST010,宾州,村庄,3909352213,乡外,109.407,23.0041,宾州,False,11
ST011,长塘,村庄,3909352214,乡外,109.42,23.0101,长塘,False,12
ST012,东流,村庄,3909352217,乡外,109.444,22.9915,东流,False,13
ST013,吉水,村庄,3909352219,乡外,109.43,23.0314,吉水,False,14
ST014,吉塘,村庄,3909352220,乡外,109.426,23.0194,吉塘,False,15
ST015,冷尾,村庄,3909352221,乡外,109.441,23.001,冷尾,False,16
ST016,梁屋,村庄,3909352222,乡外,109.439,23.0675,梁屋,False,17
ST017,隆兴,村庄,3909352225,乡外,109.404,23.0207,隆兴,False,18
ST018,石社,村庄,3909352226,乡外,109.434,23.0465,石社,False,19
ST019,旺六村,村庄,3909352228,乡外,109.422,23.0365,旺六村,False,20
ST020,西域,村庄,3909352231,乡外,109.431,23.018,西域,False,21
ST021,庞村,村庄,3909512213,乡外,109.043,22.9833,庞村,False,22
ST022,草衣,村庄,3910747325,乡外,109.198,22.9115,草衣,False,23
ST023,长安,村庄,3910747326,乡外,109.112,22.8748,长安,False,24
ST024,呔赖,村庄,3910747327,乡外,109.127,22.9925,呔赖,False,25
ST025,大料,村庄,3910747328,乡外,109.0774522,22.9257376,大料,False,26
ST026,定里,村庄,3910747329,乡外,109.195,22.9419,定里,False,27
ST027,逢村,村庄,3910747330,乡外,109.05,22.8954,逢村,False,28
ST028,高石,村庄,3910747331,乡外,109.058,22.9144,高石,False,29
ST029,古逢,村庄,3910747332,乡外,109.123,22.9423,古逢,False,30
ST030,禾仓,村庄,3910747333,乡外,109.036,22.9238,禾仓,False,31
ST031,何村,村庄,3910747334,乡外,109.161,22.9541,何村,False,32
ST032,何代,村庄,3910747335,乡外,109.1,22.987,何代,False,33
ST033,禾塘,村庄,3910747336,乡外,109.053,22.8853,禾塘,False,34
ST034,黄村,村庄,3910747338,乡外,109.161,22.9317,黄村,False,35
