node_id,name,lon_deg,lat_deg,ground_elevation_m,source_workbook,source_sheet,source_excel_row,role,population,dem_at_node_m,elevation_difference_m,x_m,y_m,dem_row,dem_col,work_altitude_m
O01,凤丹村无人机调度中心,109.2308517,23.0085095,127.7,调度中心与服务区.xlsx,数据,3,depot,,128.7255401611328,-1.0255401611328097,0.0,0.0,778,713,127.7
S001,平旺、那龙、镇龙乡,109.2432319,23.0335927,154.0,调度中心与服务区.xlsx,数据,7,service,2100,153.96136474609375,0.03863525390625,1268.9352336698385,2777.8751140772806,688,758,184.0
S002,上良,109.2585519,23.0703271,189.5,调度中心与服务区.xlsx,数据,8,service,330,188.7942352294922,0.7057647705078125,2838.421912223535,6846.2313508852585,556,813,219.5
S003,六造、那旭、都长,109.1688578,23.0402714,308.5,调度中心与服务区.xlsx,数据,9,service,275,308.51068115234375,-0.01068115234375,-6353.8849253389735,3518.7951444241244,664,490,338.5
S004,大站,109.2381714,23.0778414,198.3,调度中心与服务区.xlsx,数据,10,service,188,195.11575317382812,3.1842468261718864,750.0033885081951,7678.1531776363545,529,739,228.3
S005,上良、古律、那麓,109.2283003,23.0561338,165.0,调度中心与服务区.xlsx,数据,11,service,126,169.03955078125,-4.03955078125,-261.4677396934258,5274.129714261403,607,704,195.0
S006,六昌、木路,109.1997836,23.007714,284.8,调度中心与服务区.xlsx,数据,12,service,121,275.1272277832031,9.672772216796886,-3184.999346679054,-87.75943164345027,781,601,314.8
S007,佛子、那桑、银坑,109.1928191,23.0294186,318.5,调度中心与服务区.xlsx,数据,13,service,76,314.2220458984375,4.2779541015625,-3898.353132096812,2316.068973383856,703,576,348.5
S008,古麻、大站,109.2127472,23.0795113,240.9,调度中心与服务区.xlsx,数据,14,service,55,248.2891845703125,-7.389184570312494,-1855.0307813174368,7863.182360341734,523,648,270.9
S009,那龙,109.2541424,23.0552989,200.0,调度中心与服务区.xlsx,数据,15,service,45,189.4370880126953,10.562911987304688,2386.848079597432,5181.856355160094,610,797,230.0
S010,镇龙乡,109.2760168,23.0194009,321.6,调度中心与服务区.xlsx,数据,16,service,31,321.5816650390625,0.018334960937522737,4629.778513055626,1206.8727793169496,739,876,351.6
S011,那从,109.2203356,23.0319231,182.1,调度中心与服务区.xlsx,数据,17,service,30,178.04286193847656,4.057138061523432,-1077.8835676014544,2592.9612243420493,694,675,212.1
S012,镇龙乡,109.2831357,23.054464,249.8,调度中心与服务区.xlsx,数据,18,service,16,253.31507873535156,-3.515078735351551,5358.135734098324,5090.161965031374,613,901,279.8
S013,镇龙乡,109.2713839,23.0310882,321.7,调度中心与服务区.xlsx,数据,19,service,14,321.70806884765625,-0.008068847656261369,4154.511733789921,2501.0365624916053,697,859,351.7
S014,镇龙乡,109.2835966,23.0052097,321.0,调度中心与服务区.xlsx,数据,20,service,12,320.9825134277344,0.017486572265625,5407.333240218226,-364.4606025051049,790,903,351.0
S015,六造、那托、那旭,109.1923786,23.0494548,444.5,调度中心与服务区.xlsx,数据,21,service,3,436.229248046875,8.270751953125,-3942.921647886474,4534.98098984151,631,575,474.5
