battery_id,model_id,initial_soc_fraction,full_charge_s,provenance
A-BAT-01,A,1.0,1800.0,按原共享电池库存顺序编号，库存含初装电池
A-BAT-02,A,1.0,1800.0,按原共享电池库存顺序编号，库存含初装电池
A-BAT-03,A,1.0,1800.0,按原共享电池库存顺序编号，库存含初装电池
A-BAT-04,A,1.0,1800.0,按原共享电池库存顺序编号，库存含初装电池
A-BAT-05,A,1.0,1800.0,按原共享电池库存顺序编号，库存含初装电池
A-BAT-06,A,1.0,1800.0,按原共享电池库存顺序编号，库存含初装电池
B-BAT-01,B,1.0,2400.0,按原共享电池库存顺序编号，库存含初装电池
B-BAT-02,B,1.0,2400.0,按原共享电池库存顺序编号，库存含初装电池
B-BAT-03,B,1.0,2400.0,按原共享电池库存顺序编号，库存含初装电池
B-BAT-04,B,1.0,2400.0,按原共享电池库存顺序编号，库存含初装电池
C-BAT-01,C,1.0,3000.0,按原共享电池库存顺序编号，库存含初装电池
C-BAT-02,C,1.0,3000.0,按原共享电池库存顺序编号，库存含初装电池
C-BAT-03,C,1.0,3000.0,按原共享电池库存顺序编号，库存含初装电池
C-BAT-04,C,1.0,3000.0,按原共享电池库存顺序编号，库存含初装电池
