check,raw_header,raw_value,clean_value,pass
depots/source_row3/node_id,调度中心编号,O01,O01,True
depots/source_row3/name,调度中心名称,凤丹村无人机调度中心,凤丹村无人机调度中心,True
depots/source_row3/lon_deg,经度（°）,109.2308517,109.2308517,True
depots/source_row3/lat_deg,纬度（°）,23.0085095,23.0085095,True
depots/source_row3/ground_elevation_m,海拔（m）,127.7,127.7,True
services/source_row7/node_id,服务区编号,S001,S001,True
services/source_row7/name,服务区名称,平旺、那龙、镇龙乡,平旺、那龙、镇龙乡,True
services/source_row7/lon_deg,经度（°）,109.2432319,109.2432319,True
services/source_row7/lat_deg,纬度（°）,23.0335927,23.0335927,True
services/source_row7/ground_elevation_m,海拔（m）,154,154.0,True
services/source_row7/population,本次需保障人口（人）,2100,2100,True
services/source_row8/node_id,服务区编号,S002,S002,True
services/source_row8/name,服务区名称,上良,上良,True
services/source_row8/lon_deg,经度（°）,109.2585519,109.2585519,True
services/source_row8/lat_deg,纬度（°）,23.0703271,23.0703271,True
services/source_row8/ground_elevation_m,海拔（m）,189.5,189.5,True
services/source_row8/population,本次需保障人口（人）,330,330,True
services/source_row9/node_id,服务区编号,S003,S003,True
services/source_row9/name,服务区名称,六造、那旭、都长,六造、那旭、都长,True
services/source_row9/lon_deg,经度（°）,109.1688578,109.1688578,True
services/source_row9/lat_deg,纬度（°）,23.0402714,23.0402714,True
services/source_row9/ground_elevation_m,海拔（m）,308.5,308.5,True
services/source_row9/population,本次需保障人口（人）,275,275,True
services/source_row10/node_id,服务区编号,S004,S004,True
services/source_row10/name,服务区名称,大站,大站,True
services/source_row10/lon_deg,经度（°）,109.2381714,109.2381714,True
services/source_row10/lat_deg,纬度（°）,23.0778414,23.0778414,True
services/source_row10/ground_elevation_m,海拔（m）,198.3,198.3,True
services/source_row10/population,本次需保障人口（人）,188,188,True
services/source_row11/node_id,服务区编号,S005,S005,True
services/source_row11/name,服务区名称,上良、古律、那麓,上良、古律、那麓,True
services/source_row11/lon_deg,经度（°）,109.2283003,109.2283003,True
