question,common_delay_s,minimum_hard_slack_s,hard_late_boxes,expected_late_boxes,hard_feasible,scope
Q2,0,2.328362491415646,0,0,True,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,10,-7.671637508584354,1,0,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,20,-17.671637508584354,1,0,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,30,-27.671637508584354,1,0,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,40,-37.671637508584354,2,1,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,50,-47.671637508584354,2,1,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,60,-57.671637508584354,2,1,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,70,-67.67163750858435,2,1,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,80,-77.67163750858435,2,1,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,90,-87.67163750858435,3,2,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,100,-97.67163750858435,3,2,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,110,-107.67163750858435,3,2,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,120,-117.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,130,-127.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,140,-137.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,150,-147.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,160,-157.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,170,-167.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,180,-177.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,190,-187.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,200,-197.67163750858435,4,3,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,210,-207.67163750858435,4,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,220,-217.67163750858435,4,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,230,-227.67163750858435,4,4,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,240,-237.67163750858435,5,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,250,-247.67163750858435,5,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,260,-257.67163750858435,5,5,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,270,-267.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,280,-277.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,290,-287.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,300,-297.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,310,-307.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,320,-317.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,330,-327.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,340,-337.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,350,-347.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,360,-357.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,370,-367.67163750858435,6,6,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
Q2,380,-377.67163750858435,6,7,False,运输、中继及充电整体平移；不改变相对占用/通信，截止时刻固定
