question,full_charge_time_multiplier,reused_battery_transitions,conflicting_transitions,minimum_reuse_slack_s,feasible,scope
Q2,0.7,12,0,263.66907983758426,True,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,0.8,12,0,175.77938655838943,True,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,0.9,12,0,87.8896932791946,True,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,1.0,12,0,-1.1368683772161603e-13,True,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,1.02,12,3,-24.336838198309124,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,1.05,12,4,-60.842095495773265,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,1.1,12,6,-121.68419099154676,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,1.2,12,8,-244.49581094778523,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,1.3,12,8,-423.35641483179506,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q2,1.5,12,11,-781.0776225998143,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,0.7,11,0,257.49483235978005,True,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,0.8,11,0,171.66322157318666,True,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,0.9,11,0,85.83161078659339,True,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,1.0,11,0,-2.2737367544323206e-13,True,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,1.02,11,5,-25.691359555285317,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,1.05,11,5,-73.82511511898747,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,1.1,11,6,-186.91472500480631,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,1.2,11,6,-413.0939447764431,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,1.3,11,6,-639.2731645480803,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
Q3,1.5,11,9,-1091.6316040913543,False,仅运输电池充电时间乘数；冻结任务/资源编号，不重排
