question,energy_multiplier,transport_energy_kwh,minimum_soc_fraction,reserve_violating_sorties,negative_soc_sorties,battery_reuse_conflicts,minimum_reuse_slack_s,energy_and_battery_feasible,experiment_scope
Q2,0.9,64.75109593554272,0.28372008581044694,0,0,0,37.889693279194944,True,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,0.95,68.34837904307288,0.24392675724436075,0,0,0,18.944846639597472,True,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.0,71.94566215060303,0.20413342867827433,0,0,0,0.0,True,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.01,72.66511877210903,0.1961747629650571,1,0,2,-7.168419099154562,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.02,73.38457539361508,0.18821609725183985,1,0,2,-14.336838198309124,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.03,74.1040320151211,0.18025743153862261,1,0,3,-21.505257297463686,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.04,74.82348863662712,0.17229876582540538,1,0,3,-28.673676396618248,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.05,75.54294525813317,0.16434010011218803,3,0,3,-35.84209549577372,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.08,77.70131512265125,0.1404641029725363,3,0,4,-57.347352793237405,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.1,79.14022836566333,0.12454677154610172,5,0,4,-71.68419099154653,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.15,82.73751147319346,0.08475344298001553,5,0,5,-107.52628648732025,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q2,1.2,86.33479458072361,0.04496011441392922,8,0,5,-143.36838198309397,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,0.9,64.57211855136525,0.30779514787293905,0,0,0,35.831610786593046,True,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,0.95,68.15945847088553,0.26933932275476913,0,0,0,17.915805393296978,True,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.0,71.74679839040581,0.230883497636599,0,0,0,0.0,True,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.01,72.46426637430989,0.223192332612965,0,0,4,-7.845679777642545,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.02,73.18173435821394,0.2155011675893309,0,0,4,-15.69135955528509,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.03,73.89920234211799,0.20781000256569693,0,0,5,-23.537039332927634,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.04,74.61667032602205,0.20011883754206294,0,0,5,-31.382719110570633,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.05,75.33413830992612,0.19242767251842885,3,0,5,-39.22839888821272,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.08,77.48654226163829,0.1693541774475269,3,0,5,-75.01221438381253,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.1,78.92147822944642,0.15397184740025882,6,0,5,-103.58139167147237,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.15,82.5088181489667,0.1155160222820889,8,0,6,-175.0043348906247,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
Q3,1.2,86.096158068487,0.07706019716391888,8,0,6,-246.42727810977703,False,只扰动运输能耗并重算充电；时刻/机身/中继/通信保持不变，不重优化
