question,trip_id,model_id,energy_kwh,maximum_energy_multiplier_from_SOC_only,scope
Q2,Q2-001,A,1.2643456764217151,2.8473225852193615,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-002,A,1.357048347221944,2.652816318128733,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-003,A,3.024756618117027,1.190178402598578,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-004,A,2.4813758420150878,1.450808031191476,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-005,B,1.1381508948519672,2.811577985374431,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-006,B,1.2204176159657323,2.622053269419418,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-007,C,3.3558263722557324,1.9071308494718169,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-008,C,4.127461135544714,1.550590009166827,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-009,B,2.589090858861763,1.2359550801576773,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-010,B,1.2204176159657323,2.622053269419418,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-011,A,1.311566305818281,2.7448097622132606,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-012,A,2.2909774387670665,1.571381690226251,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-013,C,5.8530716901666295,1.093442954193134,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-014,C,4.184768132725042,1.5293559396879755,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-015,A,1.9548596586341045,1.8415644233588537,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-016,B,2.752414298801489,1.1626156721367884,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-017,A,2.714372313460252,1.3262734747727956,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-018,B,2.76344125526511,1.157976488156977,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-019,A,3.5813995709477653,1.0051936201710419,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-020,A,3.308433947967875,1.0881281163890888,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-021,A,1.6957288198622351,2.122980961243834,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-022,C,6.149478043769306,1.0407387349702835,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-023,C,6.152932018907208,1.0401545117569286,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-024,B,2.2200476497323463,1.4414105032321263,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-025,B,2.000229549313455,1.599816381623972,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q2,Q2-026,A,1.23305047924343,2.919588500714807,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-001,A,2.715812230722408,1.325570287693416,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-002,A,1.2823460485526663,2.807354539021022,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-003,A,2.3161522508931323,1.5543019672440803,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-004,A,1.2403249887666914,2.9024651060038993,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-005,B,1.6564938184282614,1.931791090555515,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-006,B,1.7800228341022712,1.7977297474466802,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-007,C,2.597987864912252,2.4634449169054,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-008,C,5.274309653106598,1.2134289453844191,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-009,A,1.2823460485526663,2.807354539021022,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-010,A,2.358314297667299,1.5265140882879358,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-011,C,6.102488180611731,1.0487525433205256,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-012,B,2.401565625797906,1.3324641082572204,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-013,B,2.8701526675231794,1.1149232708800347,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-014,A,2.025445644149036,1.7773866261972646,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-015,A,1.2823460485526663,2.807354539021022,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-016,C,6.152932018907208,1.0401545117569286,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-017,A,3.1369870768406463,1.1475979695860488,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-018,B,2.920618799025397,1.0956582218356712,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-019,A,3.308433947967875,1.0881281163890888,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-020,A,3.2972188590433,1.0918292518333323,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-021,B,2.09623373442617,1.526547325065341,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-022,C,6.149478043769306,1.0407387349702835,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-023,A,2.557694473534046,1.4075176051132363,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-024,C,3.915373357822789,1.6345823029144866,仅返航能量约束；不是含充电/通信的总鲁棒上界
Q3,Q3-T-025,B,1.0257198767303164,3.1197601534257373,仅返航能量约束；不是含充电/通信的总鲁棒上界
