check,pass,detail
AS001/witness_distinct_ids,True,
AS001/witness_service,True,
AS001/independent_exact_discrete_max,True,
AS001/witness_weight,True,
AS001/witness_capacity,True,
AS001/witness_energy,True,
AS001/witness_reserve,True,
BS001/witness_distinct_ids,True,
BS001/witness_service,True,
BS001/independent_exact_discrete_max,True,
BS001/witness_weight,True,
BS001/witness_capacity,True,
BS001/witness_energy,True,
BS001/witness_reserve,True,
CS001/witness_distinct_ids,True,
CS001/witness_service,True,
CS001/independent_exact_discrete_max,True,
CS001/witness_weight,True,
CS001/witness_capacity,True,
CS001/witness_energy,True,
CS001/witness_reserve,True,
AS002/witness_distinct_ids,True,
AS002/witness_service,True,
AS002/independent_exact_discrete_max,True,
AS002/witness_weight,True,
AS002/witness_capacity,True,
AS002/witness_energy,True,
AS002/witness_reserve,True,
BS002/witness_distinct_ids,True,
BS002/witness_service,True,
BS002/independent_exact_discrete_max,True,
BS002/witness_weight,True,
BS002/witness_capacity,True,
BS002/witness_energy,True,
BS002/witness_reserve,True,
CS002/witness_distinct_ids,True,
CS002/witness_service,True,
CS002/independent_exact_discrete_max,True,
CS002/witness_weight,True,
CS002/witness_capacity,True,
CS002/witness_energy,True,
CS002/witness_reserve,True,
AS003/witness_distinct_ids,True,
AS003/witness_service,True,
AS003/independent_exact_discrete_max,True,
AS003/witness_weight,True,
AS003/witness_capacity,True,
AS003/witness_energy,True,
AS003/witness_reserve,True,
BS003/witness_distinct_ids,True,
BS003/witness_service,True,
BS003/independent_exact_discrete_max,True,
BS003/witness_weight,True,
BS003/witness_capacity,True,
BS003/witness_energy,True,
BS003/witness_reserve,True,
CS003/witness_distinct_ids,True,
CS003/witness_service,True,
CS003/independent_exact_discrete_max,True,
CS003/witness_weight,True,
CS003/witness_capacity,True,
CS003/witness_energy,True,
CS003/witness_reserve,True,
AS004/witness_distinct_ids,True,
AS004/witness_service,True,
AS004/independent_exact_discrete_max,True,
AS004/witness_weight,True,
AS004/witness_capacity,True,
AS004/witness_energy,True,
AS004/witness_reserve,True,
BS004/witness_distinct_ids,True,
BS004/witness_service,True,
BS004/independent_exact_discrete_max,True,
BS004/witness_weight,True,
BS004/witness_capacity,True,
BS004/witness_energy,True,
BS004/witness_reserve,True,
CS004/witness_distinct_ids,True,
CS004/witness_service,True,
CS004/independent_exact_discrete_max,True,
CS004/witness_weight,True,
CS004/witness_capacity,True,
CS004/witness_energy,True,
CS004/witness_reserve,True,
AS005/witness_distinct_ids,True,
AS005/witness_service,True,
AS005/independent_exact_discrete_max,True,
AS005/witness_weight,True,
AS005/witness_capacity,True,
AS005/witness_energy,True,
AS005/witness_reserve,True,
BS005/witness_distinct_ids,True,
BS005/witness_service,True,
BS005/independent_exact_discrete_max,True,
BS005/witness_weight,True,
BS005/witness_capacity,True,
BS005/witness_energy,True,
BS005/witness_reserve,True,
CS005/witness_distinct_ids,True,
CS005/witness_service,True,
CS005/independent_exact_discrete_max,True,
CS005/witness_weight,True,
CS005/witness_capacity,True,
CS005/witness_energy,True,
CS005/witness_reserve,True,
AS006/witness_distinct_ids,True,
AS006/witness_service,True,
AS006/independent_exact_discrete_max,True,
AS006/witness_weight,True,
AS006/witness_capacity,True,
AS006/witness_energy,True,
AS006/witness_reserve,True,
BS006/witness_distinct_ids,True,
BS006/witness_service,True,
BS006/independent_exact_discrete_max,True,
BS006/witness_weight,True,
BS006/witness_capacity,True,
BS006/witness_energy,True,
BS006/witness_reserve,True,
CS006/witness_distinct_ids,True,
CS006/witness_service,True,
CS006/independent_exact_discrete_max,True,
CS006/witness_weight,True,
CS006/witness_capacity,True,
CS006/witness_energy,True,
CS006/witness_reserve,True,
AS007/witness_distinct_ids,True,
AS007/witness_service,True,
AS007/independent_exact_discrete_max,True,
AS007/witness_weight,True,
AS007/witness_capacity,True,
AS007/witness_energy,True,
AS007/witness_reserve,True,
BS007/witness_distinct_ids,True,
BS007/witness_service,True,
BS007/independent_exact_discrete_max,True,
