check,pass,detail
Q1_energy_sum,True,59.13129602205389 / 59.13129602205389
Q1_cumulative_operation,True,32776.015748915874 / 32776.015748915874
q2_trip_count,True,26 / 26
q2_energy,True,71.94566215060301 / 71.94566215060301
q2_return_definition,True,6355.094258945617 / 6355.094258945617
q2_box_identity,True,
q2_model_composition,True,
q2_Q2-001_duration,True,1310.899502077302 / 1310.899502077302
q2_Q2-002_duration,True,1313.4781941236447 / 1313.4781941236447
q2_Q2-003_duration,True,2482.1613334862614 / 2482.1613334862614
q2_Q2-004_duration,True,2255.3288198276678 / 2255.3288198276678
q2_Q2-005_duration,True,1207.2712548431866 / 1207.2712548431866
q2_Q2-006_duration,True,1149.100207293352 / 1149.100207293352
q2_Q2-007_duration,True,1841.5664573298927 / 1841.5664573298927
q2_Q2-008_duration,True,1811.1905245257808 / 1811.1905245257808
q2_Q2-009_duration,True,1756.6943000984643 / 1756.6943000984643
q2_Q2-010_duration,True,1149.1002072933522 / 1149.100207293352
q2_Q2-011_duration,True,1313.478194123645 / 1313.4781941236447
q2_Q2-012_duration,True,1990.4098116554037 / 1990.4098116554035
q2_Q2-013_duration,True,2107.812384815261 / 2107.812384815261
q2_Q2-014_duration,True,2190.6157837540723 / 2190.6157837540723
q2_Q2-015_duration,True,1654.8627275526428 / 1654.8627275526428
q2_Q2-016_duration,True,1922.7403507440913 / 1922.7403507440913
q2_Q2-017_duration,True,2447.3193071480673 / 2447.3193071480678
q2_Q2-018_duration,True,1901.8314356603314 / 1901.8314356603312
q2_Q2-019_duration,True,2854.9528221918918 / 2854.9528221918918
q2_Q2-020_duration,True,2171.1325394077703 / 2171.1325394077708
q2_Q2-021_duration,True,1640.0833958717526 / 1640.083395871753
q2_Q2-022_duration,True,2436.0913496045755 / 2436.091349604575
q2_Q2-023_duration,True,2301.0566924832 / 2301.0566924832005
q2_Q2-024_duration,True,2069.0774905099843 / 2069.0774905099843
q2_Q2-025_duration,True,1498.4417330887609 / 1498.4417330887609
q2_Q2-026_duration,True,1250.8995020773018 / 1250.899502077302
q3_trip_count,True,25 / 25
q3_energy,True,71.74679839040581 / 71.74679839040581
q3_return_definition,True,6585.699536225688 / 6585.699536225688
q3_box_identity,True,
q3_model_composition,True,
q3_Q3-T-001_duration,True,2405.279380363042 / 2405.279380363042
q3_Q3-T-002_duration,True,1250.899502077302 / 1250.899502077302
q3_Q3-T-003_duration,True,2091.77739618304 / 2091.77739618304
q3_Q3-T-004_duration,True,1250.899502077302 / 1250.899502077302
q3_Q3-T-005_duration,True,1576.2753989802832 / 1576.2753989802832
