check,pass
Q1-001/mass,True
Q1-001/volume,True
Q1-001/energy,True
Q1-001/time_convention,True
Q1-001/SOC,True
Q1-001/capacity,True
Q1-001/reserve,True
Q1-001/single_service,True
Q1-002/mass,True
Q1-002/volume,True
Q1-002/energy,True
Q1-002/time_convention,True
Q1-002/SOC,True
Q1-002/capacity,True
Q1-002/reserve,True
Q1-002/single_service,True
Q1-003/mass,True
Q1-003/volume,True
Q1-003/energy,True
Q1-003/time_convention,True
Q1-003/SOC,True
Q1-003/capacity,True
Q1-003/reserve,True
Q1-003/single_service,True
Q1-004/mass,True
Q1-004/volume,True
Q1-004/energy,True
Q1-004/time_convention,True
Q1-004/SOC,True
Q1-004/capacity,True
Q1-004/reserve,True
Q1-004/single_service,True
Q1-005/mass,True
Q1-005/volume,True
Q1-005/energy,True
Q1-005/time_convention,True
Q1-005/SOC,True
Q1-005/capacity,True
Q1-005/reserve,True
Q1-005/single_service,True
Q1-006/mass,True
Q1-006/volume,True
Q1-006/energy,True
Q1-006/time_convention,True
Q1-006/SOC,True
Q1-006/capacity,True
Q1-006/reserve,True
Q1-006/single_service,True
Q1-007/mass,True
Q1-007/volume,True
Q1-007/energy,True
Q1-007/time_convention,True
Q1-007/SOC,True
Q1-007/capacity,True
Q1-007/reserve,True
Q1-007/single_service,True
Q1-008/mass,True
Q1-008/volume,True
Q1-008/energy,True
Q1-008/time_convention,True
Q1-008/SOC,True
Q1-008/capacity,True
Q1-008/reserve,True
Q1-008/single_service,True
Q1-009/mass,True
Q1-009/volume,True
Q1-009/energy,True
Q1-009/time_convention,True
Q1-009/SOC,True
Q1-009/capacity,True
Q1-009/reserve,True
Q1-009/single_service,True
Q1-010/mass,True
Q1-010/volume,True
Q1-010/energy,True
Q1-010/time_convention,True
Q1-010/SOC,True
Q1-010/capacity,True
Q1-010/reserve,True
Q1-010/single_service,True
Q1-011/mass,True
Q1-011/volume,True
Q1-011/energy,True
Q1-011/time_convention,True
Q1-011/SOC,True
Q1-011/capacity,True
Q1-011/reserve,True
Q1-011/single_service,True
Q1-012/mass,True
Q1-012/volume,True
Q1-012/energy,True
Q1-012/time_convention,True
Q1-012/SOC,True
Q1-012/capacity,True
Q1-012/reserve,True
Q1-012/single_service,True
Q1-013/mass,True
Q1-013/volume,True
Q1-013/energy,True
Q1-013/time_convention,True
Q1-013/SOC,True
Q1-013/capacity,True
Q1-013/reserve,True
Q1-013/single_service,True
Q1-014/mass,True
Q1-014/volume,True
Q1-014/energy,True
Q1-014/time_convention,True
Q1-014/SOC,True
Q1-014/capacity,True
Q1-014/reserve,True
Q1-014/single_service,True
Q1-015/mass,True
Q1-015/volume,True
Q1-015/energy,True
Q1-015/time_convention,True
Q1-015/SOC,True
Q1-015/capacity,True
Q1-015/reserve,True
Q1-015/single_service,True
Q1-016/mass,True
Q1-016/volume,True
Q1-016/energy,True
Q1-016/time_convention,True
Q1-016/SOC,True
Q1-016/capacity,True
Q1-016/reserve,True
Q1-016/single_service,True
Q1-017/mass,True
Q1-017/volume,True
Q1-017/energy,True
Q1-017/time_convention,True
Q1-017/SOC,True
Q1-017/capacity,True
Q1-017/reserve,True
Q1-017/single_service,True
Q1-018/mass,True
Q1-018/volume,True
Q1-018/energy,True
Q1-018/time_convention,True
Q1-018/SOC,True
Q1-018/capacity,True
Q1-018/reserve,True
Q1-018/single_service,True
Q1_exact_once_80_boxes,True
