架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-001,S001,C,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,78.0,0.224,1692.1690773291593,2.995769262722773,62.55288421596534
Q1-002,S001,C,S001-HYG-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,76.0,0.17,1494.1690773291593,2.9175823075817555,63.53022115522806
Q1-003,S002,B,S002-FOD-01;S002-MED-01;S002-WAT-01,25.0,0.067,1816.6943000984643,2.7134222874379024,32.16444281405244
Q1-004,S002,C,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,56.0,0.14400000000000002,2041.8123848152609,5.721224670857718,28.484691614278525
Q1-005,S003,B,S003-FOD-01;S003-MED-01;S003-WAT-01,25.0,0.067,2080.523303543377,2.779917467971922,30.502063300701955
Q1-006,S003,C,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,56.0,0.14400000000000002,2370.091349604575,5.764965115195702,27.937936060053726
Q1-007,S004,C,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59.0,0.156,2301.0566924832005,6.152932018907208,23.0883497636599
Q1-008,S005,C,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59.0,0.156,1877.190524525781,4.222192859507031,47.22258925616212
Q1-009,S006,C,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59.0,0.156,1561.5538679616764,2.5979878649122523,67.52515168859685
Q1-010,S007,C,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45.0,0.129,1907.5664573298925,3.4108943800032887,57.3638202499589
Q1-011,S008,C,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45.0,0.129,2199.7012130854614,5.8360117114838115,27.049853606452356
Q1-012,S009,B,S009-FOD-01;S009-MED-01;S009-WAT-01,25.0,0.067,1558.4417330887609,2.09623373442617,47.594156639345755
Q1-013,S010,B,S010-FOD-01;S010-MED-01;S010-WAT-01,25.0,0.067,1555.3795658311767,1.8231956980898127,54.42010754775468
Q1-014,S011,B,S011-FOD-01;S011-MED-01;S011-WAT-01,25.0,0.067,1188.420472235157,1.0739517654354556,73.1512058641136
Q1-015,S012,B,S012-FOD-01;S012-MED-01;S012-WAT-01,25.0,0.067,1922.7403507440913,2.7524142988014892,31.189642529962768
Q1-016,S013,B,S013-FOD-01;S013-MED-01;S013-WAT-01,25.0,0.067,1510.4723251020891,1.8247592723279171,54.38101819180208
Q1-017,S014,B,S014-FOD-01;S014-MED-01;S014-WAT-01,25.0,0.067,1869.7564163816144,2.14038848210759,46.49028794731025
Q1-018,S015,B,S015-FOD-01;S015-MED-01;S015-WAT-01,25.0,0.067,1828.2766374269763,2.307452824284089,42.313679392897775
