model_id,box_count,weight_kg,volume_m3,outbound_horizontal_kwh,inbound_horizontal_kwh,outbound_climb_kwh,inbound_climb_kwh,energy_kwh,outbound_flight_s,inbound_flight_s,flight_time_s,preparation_load_s,handoff_s,airborne_service_s,operation_time_s,reserve_fraction,return_soc_fraction,energy_margin_kwh,payload_utilization,volume_utilization,service_id,box_ids,composition,trip_id
C,9,78.0,0.224,1.9511584763395735,0.9396857980056922,0.08079081985108058,0.02357033277543386,2.99520542697178,305.87864022707964,311.4022226855758,617.2808629126555,570.0,504.0,1121.2808629126555,1691.2808629126553,0.2,0.6255993216285275,3.4047945730282203,0.975,0.896,S001,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,"(2, 3, 1, 3)",Q1-001
C,6,76.0,0.17,1.8740717899833972,0.9396857980056922,0.07969831383551493,0.02357033277543386,2.917026234600038,305.87864022707964,311.4022226855758,617.2808629126555,480.0,396.0,1013.2808629126555,1493.2808629126553,0.2,0.6353717206749953,3.4829737653999624,0.95,0.68,S001,S001-HYG-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,"(0, 0, 1, 5)",Q1-002
B,3,25.0,0.067,1.5709175529462338,1.0587586364405979,0.061390405702590946,0.02217999076578352,2.713246585855206,590.2276092370575,596.2321889082816,1186.4597981453392,390.0,240.0,1426.4597981453392,1816.4597981453392,0.2,0.3216883535361985,0.4867534141447942,0.8333333333333334,0.9178082191780823,S002,S002-FOD-01;S002-MED-01;S002-WAT-01,"(1, 1, 0, 1)",Q1-003
C,5,56.0,0.14400000000000002,3.330789121862612,2.28040321694898,0.08587835642173557,0.023852020838896437,5.720922716072224,611.2588587284313,620.2657282352673,1231.5245869636985,450.0,360.0,1591.5245869636985,2041.5245869636985,0.2,0.28488466049097205,0.6790772839277768,0.7,0.5760000000000001,S002,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,"(0, 1, 1, 3)",Q1-004
B,3,25.0,0.067,1.5395193405359613,1.0375970366508283,0.14751739745140077,0.05493174107869466,2.779565515716885,717.8888659237068,731.8745419897875,1449.7634079134943,390.0,240.0,1689.7634079134943,2079.763407913494,0.2,0.30510862107077874,0.42043448428311514,0.8333333333333334,0.9178082191780823,S003,S003-FOD-01;S003-MED-01;S003-WAT-01,"(1, 1, 0, 1)",Q1-005
C,5,56.0,0.14400000000000002,3.264216039051278,2.234824386632553,0.20636044821257063,0.05907274925231934,5.76447362314872,769.0901181616625,790.0686322607836,1559.1587504224462,450.0,360.0,1919.1587504224462,2369.1587504224462,0.2,0.27944079710641,0.6355263768512804,0.7,0.5760000000000001,S003,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,"(0, 1, 1, 3)",Q1-006
C,6,59.0,0.156,3.602238784724497,2.3737527535745127,0.13148240965445837,0.04580015960566203,6.153274107559129,708.680253590233,718.3192748915025,1426.9995284817355,480.0,396.0,1822.9995284817355,2302.9995284817355,0.2,0.23084073655510884,0.24672589244087106,0.7375,0.624,S004,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,"(1, 1, 1, 3)",Q1-007
C,6,59.0,0.156,2.4656844556814796,1.624802134422475,0.0964409345524576,0.03369635279591878,4.220623877452331,494.80027080781235,501.83167186982405,996.6319426776364,480.0,396.0,1392.6319426776363,1872.6319426776363,0.2,0.4724220153184586,2.1793761225476693,0.7375,0.624,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,"(1, 1, 1, 3)",Q1-008
C,6,59.0,0.156,1.4877426159524147,0.9803717472042289,0.11580224100383124,0.016129902313550316,2.6000465064740252,337.8481040247834,355.4882727869905,693.3363768117739,480.0,396.0,1089.3363768117738,1569.3363768117738,0.2,0.6749941866907468,3.799953493525975,0.7375,0.624,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,"(1, 1, 1, 3)",Q1-009
C,5,45.0,0.129,1.8053217808781394,1.3952186359430814,0.1666608230589231,0.044378910698254906,3.411580150578399,539.4719896512744,561.0216402250048,1100.493629876279,450.0,360.0,1460.493629876279,1910.493629876279,0.2,0.5735524811777002,2.9884198494216014,0.5625,0.516,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,"(1, 1, 1, 2)",Q1-010
C,5,45.0,0.129,3.2165357337174743,2.4858563422840576,0.10618688301452002,0.02503195720068614,5.833610916216738,683.5857981931214,698.5421626340393,1382.1279608271607,450.0,360.0,1742.1279608271607,2192.1279608271607,0.2,0.2707986354729077,0.5663890837832621,0.5625,0.516,S008,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,"(1, 1, 1, 2)",Q1-011
