model_id,box_count,weight_kg,volume_m3,outbound_horizontal_kwh,inbound_horizontal_kwh,outbound_climb_kwh,inbound_climb_kwh,energy_kwh,outbound_flight_s,inbound_flight_s,flight_time_s,preparation_load_s,handoff_s,airborne_service_s,operation_time_s,reserve_fraction,return_soc_fraction,energy_margin_kwh,payload_utilization,volume_utilization,service_id,box_ids,composition,trip_id
C,9,78.0,0.224,1.9511584763395735,0.9396857980056922,0.08136487663898469,0.02356011173852285,2.995769262722773,306.26953866457967,311.89953866457967,618.1690773291593,570.0,504.0,1122.1690773291593,1692.1690773291593,0.2,0.6255288421596534,3.4042307372772274,0.975,0.896,S001,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,"(2, 3, 1, 3)",Q1-001
C,6,76.0,0.17,1.8740717899833972,0.9396857980056922,0.0802646078541438,0.02356011173852285,2.9175823075817555,306.26953866457967,311.89953866457967,618.1690773291593,480.0,396.0,1014.1690773291593,1494.1690773291593,0.2,0.6353022115522806,3.482417692418245,0.95,0.68,S001,S001-HYG-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,"(0, 0, 1, 5)",Q1-002
B,3,25.0,0.067,1.5709175529462338,1.0587586364405979,0.06173973031997682,0.02200636773109436,2.7134222874379024,590.2871500492321,596.4071500492322,1186.6943000984643,390.0,240.0,1426.6943000984643,1816.6943000984643,0.2,0.3216444281405244,0.4865777125620978,0.8333333333333334,0.9178082191780823,S002,S002-FOD-01;S002-MED-01;S002-WAT-01,"(1, 1, 0, 1)",Q1-003
C,5,56.0,0.14400000000000002,3.330789121862612,2.28040321694898,0.08636702274761202,0.023665309298515323,5.721224670857718,611.3161924076305,620.4961924076305,1231.8123848152609,450.0,360.0,1591.8123848152609,2041.8123848152609,0.2,0.28484691614278523,0.6787753291422822,0.7,0.5760000000000001,S002,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,"(0, 1, 1, 3)",Q1-004
B,3,25.0,0.067,1.5395193405359613,1.0375970366508283,0.14786672206878665,0.05493436871634589,2.779917467971922,718.2349851050219,732.2883184383552,1450.523303543377,390.0,240.0,1690.523303543377,2080.523303543377,0.2,0.30502063300701954,0.4200825320280783,0.8333333333333334,0.9178082191780823,S003,S003-FOD-01;S003-MED-01;S003-WAT-01,"(1, 1, 0, 1)",Q1-005
C,5,56.0,0.14400000000000002,3.264216039051278,2.234824386632553,0.20684911453844712,0.059075574973424284,5.764965115195702,769.5056748022876,790.5856748022875,1560.091349604575,450.0,360.0,1920.091349604575,2370.091349604575,0.2,0.27937936060053725,0.6350348848042984,0.7,0.5760000000000001,S003,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,"(0, 1, 1, 3)",Q1-006
C,6,59.0,0.156,3.602238784724497,2.3737527535745127,0.13198272013424767,0.044957760473950704,6.152932018907208,707.4983462416002,717.5583462416001,1425.0566924832003,480.0,396.0,1821.0566924832003,2301.0566924832005,0.2,0.230883497636599,0.24706798109279227,0.7375,0.624,S004,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,"(1, 1, 1, 3)",Q1-007
C,6,59.0,0.156,2.4656844556814796,1.624802134422475,0.09694124503224691,0.03476502437082927,4.222192859507031,497.2302622628905,503.9602622628905,1001.190524525781,480.0,396.0,1397.190524525781,1877.190524525781,0.2,0.4722258925616212,2.1778071404929698,0.7375,0.624,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,"(1, 1, 1, 3)",Q1-008
C,6,59.0,0.156,1.4877426159524147,0.9803717472042289,0.11630255148362055,0.013570950271987913,2.5979878649122523,333.42193398083816,352.13193398083814,685.5538679616764,480.0,396.0,1081.5538679616764,1561.5538679616764,0.2,0.6752515168859685,3.802012135087748,0.7375,0.624,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,"(1, 1, 1, 3)",Q1-009
C,5,45.0,0.129,1.8053217808781394,1.3952186359430814,0.16710679415378574,0.04324716902828217,3.4108943800032887,537.7432286649463,559.8232286649462,1097.5664573298925,450.0,360.0,1457.5664573298925,1907.5664573298925,0.2,0.573638202499589,2.9891056199967116,0.5625,0.516,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,"(1, 1, 1, 2)",Q1-010
