model_id,box_count,weight_kg,volume_m3,outbound_horizontal_kwh,inbound_horizontal_kwh,outbound_climb_kwh,inbound_climb_kwh,energy_kwh,outbound_flight_s,inbound_flight_s,flight_time_s,preparation_load_s,handoff_s,airborne_service_s,operation_time_s,reserve_fraction,return_soc_fraction,energy_margin_kwh,payload_utilization,volume_utilization,service_id,box_ids,composition,trip_id
C,9,78.0,0.224,2.146274323973531,1.0336543778062615,0.08136487663898469,0.02356011173852285,3.2848536901573,306.26953866457967,311.89953866457967,618.1690773291593,570.0,504.0,1122.1690773291593,1692.1690773291593,0.2,0.5893932887303375,3.1151463098427,0.975,0.896,S001,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,"(2, 3, 1, 3)",Q1-001
C,6,76.0,0.17,2.061478968981737,1.0336543778062615,0.0802646078541438,0.02356011173852285,3.198958066380665,306.26953866457967,311.89953866457967,618.1690773291593,480.0,396.0,1014.1690773291593,1494.1690773291593,0.2,0.6001302417024168,3.201041933619335,0.95,0.68,S001,S001-HYG-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,"(0, 0, 1, 5)",Q1-002
B,3,25.0,0.067,1.7280093082408574,1.1646345000846576,0.06173973031997682,0.02200636773109436,2.976389906376586,590.2871500492321,596.4071500492322,1186.6943000984643,390.0,240.0,1426.6943000984643,1816.6943000984643,0.2,0.2559025234058535,0.22361009362341422,0.8333333333333334,0.9178082191780823,S002,S002-FOD-01;S002-MED-01;S002-WAT-01,"(1, 1, 0, 1)",Q1-003
C,5,56.0,0.14400000000000002,3.6638680340488734,2.508443538643878,0.08636702274761202,0.023665309298515323,6.2823439047388785,611.3161924076305,620.4961924076305,1231.8123848152609,450.0,360.0,1591.8123848152609,2041.8123848152609,0.2,0.2147070119076402,0.11765609526112186,0.7,0.5760000000000001,S002,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,"(0, 1, 1, 3)",Q1-004
B,3,25.0,0.067,1.6934712745895575,1.141356740315911,0.14786672206878665,0.05493436871634589,3.037629105690601,718.2349851050219,732.2883184383552,1450.523303543377,390.0,240.0,1690.523303543377,2080.523303543377,0.2,0.24059272357734973,0.1623708943093991,0.8333333333333334,0.9178082191780823,S003,S003-FOD-01;S003-MED-01;S003-WAT-01,"(1, 1, 0, 1)",Q1-005
C,5,56.0,0.14400000000000002,3.590637642956406,2.4583068252958085,0.20684911453844712,0.059075574973424284,6.314869157764086,769.5056748022876,790.5856748022875,1560.091349604575,450.0,360.0,1920.091349604575,2370.091349604575,0.2,0.21064135527948924,0.08513084223591427,0.7,0.5760000000000001,S003,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,"(0, 1, 1, 3)",Q1-006
B,2,17.0,0.039,1.4835211677384958,1.2123094420041263,0.08396107875103422,0.041806215033001366,2.8215979035266576,672.4684851983059,679.1751518649726,1351.6436370632784,360.0,210.0,1561.6436370632784,1921.6436370632784,0.2,0.2946005241183356,0.37840209647334255,0.5666666666666667,0.5342465753424658,S004,S004-MED-01;S004-WAT-01,"(1, 0, 0, 1)",Q1-007
C,4,42.0,0.117,3.2837357413486115,2.6111280289319643,0.11457615502732596,0.044957760473950704,6.0543976857818524,707.4983462416002,717.5583462416001,1425.0566924832003,420.0,324.0,1749.0566924832003,2169.0566924832005,0.2,0.24320028927726844,0.3456023142181479,0.525,0.468,S004,S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03,"(0, 1, 1, 2)",Q1-008
C,6,59.0,0.156,2.7122529012496277,1.7872823478647226,0.09694124503224691,0.03476502437082927,4.6312415185174265,497.2302622628905,503.9602622628905,1001.190524525781,480.0,396.0,1397.190524525781,1877.190524525781,0.2,0.4210948101853217,1.7687584814825739,0.7375,0.624,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,"(1, 1, 1, 3)",Q1-009
C,6,59.0,0.156,1.6365168775476566,1.078408921924652,0.11630255148362055,0.013570950271987913,2.8447993012279174,333.42193398083816,352.13193398083814,685.5538679616764,480.0,396.0,1081.5538679616764,1561.5538679616764,0.2,0.6444000873465103,3.555200698772083,0.7375,0.624,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,"(1, 1, 1, 3)",Q1-010
C,5,45.0,0.129,1.9858539589659534,1.5347404995373894,0.16710679415378574,0.04324716902828217,3.7309484216854107,537.7432286649463,559.8232286649462,1097.5664573298925,450.0,360.0,1457.5664573298925,1907.5664573298925,0.2,0.5336314472893237,2.6690515783145896,0.5625,0.516,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,"(1, 1, 1, 2)",Q1-011
C,3,31.0,0.066,3.142624860407073,2.7344419765124632,0.09364016518395743,0.02698678137289684,5.99769378347639,687.6906065427308,702.0106065427307,1389.7012130854614,390.0,288.0,1677.7012130854614,2067.7012130854614,0.2,0.2502882770654512,0.40230621652361,0.3875,0.264,S008,S008-MED-01;S008-WAT-01;S008-WAT-02,"(1, 0, 0, 2)",Q1-012
B,2,14.0,0.063,1.470466288370393,1.2695623462379293,0.07331588750775656,0.0250950041378869,2.8384395262539655,661.1423844968323,670.689051163499,1331.8314356603314,360.0,210.0,1541.8314356603314,1901.8314356603314,0.2,0.29039011843650864,0.3615604737460347,0.4666666666666667,0.863013698630137,S008,S008-FOD-01;S008-HYG-01,"(0, 1, 1, 0)",Q1-013
B,3,25.0,0.067,1.3302024870534406,0.8965227797863912,0.056383285770416264,0.015554751528633965,2.2986633041388815,460.8108665443804,467.63086654438047,928.4417330887609,390.0,240.0,1168.4417330887609,1558.4417330887609,0.2,0.4253341739652796,0.9013366958611186,0.8333333333333334,0.9178082191780823,S009,S009-FOD-01;S009-MED-01;S009-WAT-01,"(1, 1, 1)",Q1-014
B,3,25.0,0.067,1.1155451777356895,0.7518491909726257,0.10489088245391848,0.020673571355607767,1.9929588225178416,455.226449582255,470.15311624892166,925.3795658311767,390.0,240.0,1165.3795658311767,1555.3795658311767,0.2,0.5017602943705396,1.2070411774821586,0.8333333333333334,0.9178082191780823,S010,S010-FOD-01;S010-MED-01;S010-WAT-01,"(1, 1, 1)",Q1-015
