trips,min_energy_kwh,operation_time_at_min_energy_s,pareto_efficient_N_E,trip_allocation
18,59.131296022053895,32776.01574891587,True,S001:2;S002:2;S003:2;S004:1;S005:1;S006:1;S007:1;S008:1;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
19,59.03394209220336,34439.97740715107,True,S001:2;S002:2;S003:2;S004:1;S005:1;S006:1;S007:1;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
20,59.059564364730605,35744.961747781745,False,S001:2;S002:2;S003:2;S004:1;S005:1;S006:1;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
21,59.4533884431891,36762.0619550751,False,S001:3;S002:2;S003:2;S004:1;S005:1;S006:1;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
22,59.527858145070304,37698.09329233265,False,S001:4;S002:2;S003:2;S004:1;S005:1;S006:1;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
23,60.15045232284888,38709.193499626,False,S001:5;S002:2;S003:2;S004:1;S005:1;S006:1;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
24,60.335879563426765,39758.35318890054,False,S001:4;S002:2;S003:2;S004:1;S005:1;S006:3;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
25,60.89756053923652,40662.3250441769,False,S001:7;S002:2;S003:2;S004:1;S005:1;S006:1;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
26,61.60401939303806,42429.67334928022,False,S001:4;S002:2;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
27,61.70558195759298,42722.58494074478,False,S001:7;S002:2;S003:2;S004:1;S005:1;S006:3;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
28,62.48123272634344,43731.00541297994,False,S001:7;S002:2;S003:2;S004:1;S005:1;S006:3;S007:2;S008:2;S009:1;S010:1;S011:2;S012:1;S013:1;S014:1;S015:1
29,62.973721787204276,45393.90510112447,False,S001:7;S002:2;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:1;S012:1;S013:1;S014:1;S015:1
30,63.749372555954736,46402.32557335962,False,S001:7;S002:2;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:2;S012:1;S013:1;S014:1;S015:1
31,64.53632457545113,47431.42578065297,False,S001:8;S002:2;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:2;S012:1;S013:1;S014:1;S015:1
32,65.37073638971825,48460.525987946334,False,S001:9;S002:2;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:2;S012:1;S013:1;S014:1;S015:1
33,66.21468409209972,49489.62619523968,False,S001:10;S002:2;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:2;S012:1;S013:1;S014:1;S015:1
34,67.06688340701405,51628.796503426456,False,S001:9;S002:4;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:2;S012:1;S013:1;S014:1;S015:1
35,67.91083110939553,52657.89671071982,False,S001:10;S002:4;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:2;S012:1;S013:1;S014:1;S015:1
36,68.76335217926179,53666.317182954976,False,S001:10;S002:4;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:3;S012:1;S013:1;S014:1;S015:1
37,69.62341574229309,54695.41739024832,False,S001:11;S002:4;S003:2;S004:1;S005:3;S006:3;S007:2;S008:2;S009:1;S010:1;S011:3;S012:1;S013:1;S014:1;S015:1
38,70.51500720909293,55782.68864509151,False,S001:11;S002:4;S003:2;S004:1;S005:3;S006:4;S007:2;S008:2;S009:1;S010:1;S011:3;S012:1;S013:1;S014:1;S015:1
39,71.41029653892693,56811.78885238486,False,S001:12;S002:4;S003:2;S004:1;S005:3;S006:4;S007:2;S008:2;S009:1;S010:1;S011:3;S012:1;S013:1;S014:1;S015:1
40,72.31654289061527,57840.88905967821,False,S001:13;S002:4;S003:2;S004:1;S005:3;S006:4;S007:2;S008:2;S009:1;S010:1;S011:3;S012:1;S013:1;S014:1;S015:1
