service_id,box_count,bitmask_states,cached_states,transitions,independent_min_trips,independent_energy_kwh,independent_operation_time_s,agrees_with_count_DP
S001,15,32768,12611,2004077,2,5.913351570304529,3186.3381546583187,True
S002,8,256,129,1210,2,8.434646958295621,3858.5066849137256,True
S003,8,256,129,1210,2,8.544882583167624,4450.614653147952,True
S004,6,64,33,153,1,6.152932018907209,2301.0566924832,True
S005,6,64,33,153,1,4.222192859507031,1877.1905245257808,True
S006,6,64,33,153,1,2.5979878649122523,1561.5538679616761,True
S007,5,32,17,56,1,3.4108943800032883,1907.5664573298923,True
S008,5,32,17,56,1,5.836011711483811,2199.701213085462,True
S009,3,8,5,8,1,2.0962337344261703,1558.4417330887609,True
S010,3,8,5,8,1,1.8231956980898127,1555.3795658311767,True
S011,3,8,5,8,1,1.0739517654354556,1188.420472235157,True
S012,3,8,5,8,1,2.7524142988014892,1922.7403507440915,True
S013,3,8,5,8,1,1.8247592723279171,1510.4723251020891,True
S014,3,8,5,8,1,2.14038848210759,1869.7564163816141,True
S015,3,8,5,8,1,2.30745282428409,1828.276637426976,True
