service_id,rasterio_terrain_max_m,supercover_terrain_max_m,agree,rasterio_cells,supercover_cells
S001,223.05661010742188,223.05661010742188,True,136,136
S002,258.9542541503906,258.9542541503906,True,323,323
S003,511.80413818359375,511.80413818359375,True,338,338
S004,348.2391662597656,348.2391662597656,True,276,276
S005,276.410888671875,276.410888671875,True,181,181
S006,316.09783935546875,316.09783935546875,True,116,116
S007,461.9731750488281,461.9731750488281,True,213,213
S008,322.9093322753906,322.9093322753906,True,321,321
S009,243.22891235351562,243.22891235351562,True,253,253
S010,385.63653564453125,385.63653564453125,True,203,203
S011,245.36175537109375,245.36175537109375,True,123,123
S012,363.3009948730469,363.3009948730469,True,354,354
S013,349.18182373046875,349.18182373046875,True,228,228
S014,541.9473876953125,541.9473876953125,True,203,203
S015,521.7992553710938,521.7992553710938,True,286,286
