service_id,model_id,rated_payload_kg,continuous_safe_payload_kg,available_box_max_payload_kg,available_total_weight_kg,max_payload_witness_box_ids,witness_volume_m3,witness_energy_kwh,reserve_fraction,note
S001,A,25.0,25.0,22.0,154.0,S001-FOD-01;S001-WAT-01,0.055,1.2823460485526663,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S001,B,30.0,30.0,28.0,154.0,S001-WAT-01;S001-WAT-02,0.054,1.2204176159657325,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S001,C,80.0,80.0,80.0,154.0,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04,0.192,3.0816969508470398,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S002,A,25.0,25.0,22.0,81.0,S002-FOD-01;S002-WAT-01,0.055,3.018690934658349,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S002,B,30.0,30.0,28.0,81.0,S002-WAT-01;S002-WAT-02,0.054,2.8701526675231794,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S002,C,80.0,68.86034271749946,67.0,81.0,S002-FOD-01;S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,0.148,6.28082466260495,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S003,A,25.0,25.0,22.0,81.0,S003-FOD-01;S003-WAT-01,0.055,3.0835927685356195,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S003,B,30.0,30.0,28.0,81.0,S003-WAT-01;S003-WAT-02,0.054,2.936427282850049,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S003,C,80.0,68.20649055519672,67.0,81.0,S003-FOD-01;S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,0.148,6.324057735925459,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S004,A,25.0,25.0,22.0,59.0,S004-FOD-01;S004-WAT-01,0.055,3.191120449752621,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S004,B,30.0,30.0,28.0,59.0,S004-WAT-01;S004-WAT-02,0.054,3.0353577558091556,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S004,C,80.0,63.696955451122314,59.0,59.0,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,0.156,6.152932018907208,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S005,A,25.0,25.0,22.0,59.0,S005-FOD-01;S005-WAT-01,0.055,2.1929884019302226,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S005,B,30.0,30.0,28.0,59.0,S005-WAT-01;S005-WAT-02,0.054,2.0861365686952826,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S005,C,80.0,80.0,59.0,59.0,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,0.156,4.222192859507031,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S006,A,25.0,25.0,22.0,59.0,S006-FOD-01;S006-WAT-01,0.055,1.3570483472219441,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S006,B,30.0,30.0,28.0,59.0,S006-WAT-01;S006-WAT-02,0.054,1.2935543907279277,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S006,C,80.0,80.0,59.0,59.0,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,0.156,2.5979878649122523,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S007,A,25.0,25.0,22.0,45.0,S007-FOD-01;S007-WAT-01,0.055,1.970922394846491,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S007,B,30.0,30.0,28.0,45.0,S007-WAT-01;S007-WAT-02,0.054,1.8790191120940194,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S007,C,80.0,80.0,45.0,45.0,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,0.129,3.4108943800032887,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S008,A,25.0,25.0,22.0,45.0,S008-FOD-01;S008-WAT-01,0.055,3.308433947967875,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S008,B,30.0,28.801233623268978,28.0,45.0,S008-WAT-01;S008-WAT-02,0.054,3.1466082853593944,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S008,C,80.0,58.904360963127246,45.0,45.0,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,0.129,5.8360117114838115,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S009,A,25.0,25.0,22.0,25.0,S009-FOD-01;S009-WAT-01,0.055,2.331316407253217,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S009,B,30.0,30.0,25.0,25.0,S009-FOD-01;S009-MED-01;S009-WAT-01,0.067,2.09623373442617,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S009,C,80.0,80.0,25.0,25.0,S009-FOD-01;S009-MED-01;S009-WAT-01,0.067,3.769309233984082,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S010,A,25.0,25.0,22.0,25.0,S010-FOD-01;S010-WAT-01,0.055,2.022209611600228,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S010,B,30.0,30.0,25.0,25.0,S010-FOD-01;S010-MED-01;S010-WAT-01,0.067,1.8231956980898127,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S010,C,80.0,80.0,25.0,25.0,S010-FOD-01;S010-MED-01;S010-WAT-01,0.067,3.2299952619555437,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S011,A,25.0,25.0,22.0,25.0,S011-FOD-01;S011-WAT-01,0.055,1.1912986184999868,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S011,B,30.0,30.0,25.0,25.0,S011-FOD-01;S011-MED-01;S011-WAT-01,0.067,1.0739517654354556,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S011,C,80.0,80.0,25.0,25.0,S011-FOD-01;S011-MED-01;S011-WAT-01,0.067,1.9000054057390454,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S012,A,25.0,25.0,22.0,25.0,S012-FOD-01;S012-WAT-01,0.055,3.0584574094506305,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S012,B,30.0,30.0,25.0,25.0,S012-FOD-01;S012-MED-01;S012-WAT-01,0.067,2.7524142988014892,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S012,C,80.0,68.11719340245507,25.0,25.0,S012-FOD-01;S012-MED-01;S012-WAT-01,0.067,4.922006790731767,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S013,A,25.0,25.0,22.0,25.0,S013-FOD-01;S013-WAT-01,0.055,2.025445644149036,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S013,B,30.0,30.0,25.0,25.0,S013-FOD-01;S013-MED-01;S013-WAT-01,0.067,1.8247592723279171,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S013,C,80.0,80.0,25.0,25.0,S013-FOD-01;S013-MED-01;S013-WAT-01,0.067,3.249144405607537,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S014,A,25.0,25.0,22.0,25.0,S014-FOD-01;S014-WAT-01,0.055,2.3694520475020115,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S014,B,30.0,30.0,25.0,25.0,S014-FOD-01;S014-MED-01;S014-WAT-01,0.067,2.14038848210759,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S014,C,80.0,80.0,25.0,25.0,S014-FOD-01;S014-MED-01;S014-WAT-01,0.067,3.738774296605321,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S015,A,25.0,25.0,22.0,25.0,S015-FOD-01;S015-WAT-01,0.055,2.557694473534046,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S015,B,30.0,30.0,25.0,25.0,S015-FOD-01;S015-MED-01;S015-WAT-01,0.067,2.307452824284089,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
S015,C,80.0,80.0,25.0,25.0,S015-FOD-01;S015-MED-01;S015-WAT-01,0.067,4.0753200794852065,0.2,"逐(服务区,机型)单架次能力见证，不是全箱唯一分配方案"
