service_id,distance_m,terrain_max_m,cruise_altitude_m,depot_work_altitude_m,service_work_altitude_m,outbound_climb_m,outbound_descent_m,inbound_climb_m,inbound_descent_m,crossed_cells,geodesic_terrain_max_m,geodesic_max_difference_m,coarse_sample_max_m,coarse_sampling_underestimate_m
S001,3053.9788435184996,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,89.05661010742188,145.3566101074219,136,223.05661010742188,0.0,223.05661010742188,0.0
S002,7411.3104550841845,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062,89.45425415039062,181.25425415039064,323,258.9542541503906,0.0,258.9542541503906,0.0
S003,7263.179256555797,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,223.30413818359375,434.10413818359376,338,511.80413818359375,0.0,511.80413818359375,0.0
S004,7714.696449117167,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656,169.9391662597656,270.53916625976564,276,348.2391662597656,0.0,348.2391662597656,0.0
S005,5280.606936873044,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875,131.410888671875,198.710888671875,181,276.410888671875,0.0,276.410888671875,0.0
S006,3186.208178413744,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,51.29783935546874,238.39783935546876,116,316.09783935546875,0.0,316.09783935546875,0.0
S007,4534.460566815014,461.9731750488281,511.9731750488281,127.7,348.5,384.27317504882814,163.47317504882812,163.47317504882812,384.27317504882814,213,461.9731750488281,0.0,451.8304748535156,10.1427001953125
S008,8079.033112423187,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065,102.00933227539065,245.20933227539064,321,322.9093322753906,0.0,322.9093322753906,0.0
S009,5705.144962277034,243.22891235351562,293.2289123535156,127.7,230.0,165.52891235351564,63.228912353515625,63.228912353515625,165.52891235351564,253,243.22891235351562,0.0,243.22891235351562,0.0
S010,4784.494851643982,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,84.03653564453123,307.93653564453126,203,385.63653564453125,0.0,385.63653564453125,0.0
S011,2808.074232681646,245.36175537109375,295.36175537109375,127.7,212.1,167.66175537109376,83.26175537109376,83.26175537109376,167.66175537109376,123,245.36175537109375,0.0,243.34902954101562,2.012725830078125
S012,7390.4916869771705,363.3009948730469,413.3009948730469,127.7,279.8,285.6009948730469,133.50099487304686,133.50099487304686,285.6009948730469,354,363.3009948730469,0.0,363.3009948730469,0.0
S013,4849.242377230511,349.18182373046875,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876,47.48182373046876,271.48182373046876,228,349.18182373046875,0.0,349.18182373046875,0.0
S014,5419.601858213669,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125,240.9473876953125,464.2473876953125,203,541.9473876953125,0.0,541.9473876953125,0.0
S015,6009.38297162029,521.7992553710938,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,97.29925537109375,444.09925537109376,286,521.7992553710938,0.0,521.7992553710938,0.0
