model_id,box_count,weight_kg,volume_m3,outbound_horizontal_kwh,inbound_horizontal_kwh,outbound_climb_kwh,inbound_climb_kwh,energy_kwh,outbound_flight_s,inbound_flight_s,flight_time_s,preparation_load_s,handoff_s,airborne_service_s,operation_time_s,reserve_fraction,return_soc_fraction,energy_margin_kwh,payload_utilization,volume_utilization,service_id,box_ids,composition,trip_id
C,9,78.0,0.224,1.9511584763395735,0.9396857980056922,0.08136487663898469,0.02356011173852285,2.995769262722773,306.26953866457967,311.89953866457967,618.1690773291593,570.0,504.0,1122.1690773291593,1692.1690773291593,0.35,0.6255288421596534,2.204230737277227,0.975,0.896,S001,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,"(2, 3, 1, 3)",Q1-001
C,6,76.0,0.17,1.8740717899833972,0.9396857980056922,0.0802646078541438,0.02356011173852285,2.9175823075817555,306.26953866457967,311.89953866457967,618.1690773291593,480.0,396.0,1014.1690773291593,1494.1690773291593,0.35,0.6353022115522806,2.2824176924182447,0.95,0.68,S001,S001-HYG-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,"(0, 0, 1, 5)",Q1-002
C,4,39.0,0.094,2.792150349508652,2.28040321694898,0.07470507368717196,0.023665309298515323,5.170923949443319,611.3161924076305,620.4961924076305,1231.8123848152609,420.0,324.0,1555.8123848152609,1975.8123848152609,0.35,0.35363450631958515,0.029076050556681388,0.4875,0.376,S002,S002-FOD-01;S002-MED-01;S002-WAT-01;S002-WAT-02,"(1, 1, 0, 2)",Q1-003
B,2,22.0,0.055,1.4486441153807599,1.0587586364405979,0.059681739309310915,0.02200636773109436,2.589090858861763,590.2871500492321,596.4071500492322,1186.6943000984643,360.0,210.0,1396.6943000984643,1756.6943000984643,0.35,0.3527272852845592,0.010909141138236933,0.7333333333333333,0.7534246575342466,S002,S002-FOD-02;S002-WAT-03,"(0, 1, 0, 1)",Q1-004
B,2,20.0,0.062,1.3809019959524371,1.0587586364405979,0.05830974530220032,0.02200636773109436,2.5199767454263293,590.2871500492321,596.4071500492322,1186.6943000984643,360.0,210.0,1396.6943000984643,1756.6943000984643,0.35,0.37000581364341767,0.08002325457367077,0.6666666666666666,0.8493150684931507,S002,S002-HYG-01;S002-WAT-04,"(0, 0, 1, 1)",Q1-005
C,4,33.0,0.095,2.606683989860553,2.234824386632553,0.1690609522319794,0.059075574973424284,5.06964490369851,769.5056748022876,790.5856748022875,1560.091349604575,420.0,324.0,1884.091349604575,2304.091349604575,0.35,0.36629438703768624,0.13035509630149011,0.4125,0.38,S003,S003-FOD-01;S003-FOD-02;S003-MED-01;S003-WAT-01,"(1, 2, 0, 1)",Q1-006
C,3,34.0,0.089,2.626700338243294,2.234824386632553,0.17070391581052147,0.059075574973424284,5.091304215659792,769.5056748022876,790.5856748022875,1560.091349604575,390.0,288.0,1848.091349604575,2238.091349604575,0.35,0.36358697304252596,0.10869578434020788,0.425,0.356,S003,S003-HYG-01;S003-WAT-02;S003-WAT-03,"(0, 0, 1, 2)",Q1-007
B,1,14.0,0.027,1.2017932540527,1.0375970366508283,0.12979412270482382,0.05493436871634589,2.4241187821246974,718.2349851050219,732.2883184383552,1450.523303543377,330.0,180.0,1630.523303543377,1960.523303543377,0.35,0.39397030446882564,0.17588121787530264,0.4666666666666667,0.36986301369863017,S003,S003-WAT-04,"(0, 0, 0, 1)",Q1-008
B,2,17.0,0.039,1.3486556070349962,1.1020994927310237,0.08396107875103422,0.041806215033001366,2.5765223935500554,672.4684851983059,679.1751518649726,1351.6436370632784,360.0,210.0,1561.6436370632784,1921.6436370632784,0.35,0.35586940161248615,0.023477606449944677,0.5666666666666667,0.5342465753424658,S004,S004-MED-01;S004-WAT-01,"(1, 0, 0, 1)",Q1-009
B,2,14.0,0.063,1.276503005380851,1.1020994927310237,0.08088933196745979,0.041806215033001366,2.501298045112336,672.4684851983059,679.1751518649726,1351.6436370632784,360.0,210.0,1561.6436370632784,1921.6436370632784,0.35,0.37467548872191603,0.0987019548876642,0.4666666666666667,0.863013698630137,S004,S004-FOD-01;S004-HYG-01,"(0, 1, 1, 0)",Q1-010
C,2,28.0,0.054,2.671626707782666,2.3737527535745127,0.10024133670397865,0.044957760473950704,5.190578558535108,707.4983462416002,717.5583462416001,1425.0566924832003,360.0,252.0,1677.0566924832003,2037.0566924832005,0.35,0.35117768018311146,0.009421441464891878,0.35,0.216,S004,S004-WAT-02;S004-WAT-03,"(0, 0, 0, 2)",Q1-011
C,6,59.0,0.156,2.4656844556814796,1.624802134422475,0.09694124503224691,0.03476502437082927,4.222192859507031,497.2302622628905,503.9602622628905,1001.190524525781,480.0,396.0,1397.190524525781,1877.190524525781,0.35,0.4722258925616212,0.9778071404929696,0.7375,0.624,S005,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,"(1, 1, 1, 3)",Q1-012
C,6,59.0,0.156,1.4877426159524147,0.9803717472042289,0.11630255148362055,0.013570950271987913,2.5979878649122523,333.42193398083816,352.13193398083814,685.5538679616764,480.0,396.0,1081.5538679616764,1561.5538679616764,0.35,0.6752515168859685,2.602012135087748,0.7375,0.624,S006,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,"(1, 1, 1, 3)",Q1-013
C,5,45.0,0.129,1.8053217808781394,1.3952186359430814,0.16710679415378574,0.04324716902828217,3.4108943800032887,537.7432286649463,559.8232286649462,1097.5664573298925,450.0,360.0,1457.5664573298925,1907.5664573298925,0.35,0.573638202499589,1.7891056199967115,0.5625,0.516,S007,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,"(1, 1, 1, 2)",Q1-014
B,2,9.0,0.047,1.241581590286874,1.1541475874890268,0.06867564146296185,0.0250950041378869,2.4894998233767494,661.1423844968323,670.689051163499,1331.8314356603314,360.0,210.0,1541.8314356603314,1901.8314356603314,0.35,0.37762504415581266,0.11050017662325073,0.3,0.6438356164383562,S008,S008-HYG-01;S008-MED-01,"(1, 0, 1, 0)",Q1-015
B,1,8.0,0.028,1.2265337965171643,1.1541475874890268,0.06774759225400288,0.0250950041378869,2.473523980398081,661.1423844968323,670.689051163499,1331.8314356603314,330.0,180.0,1511.8314356603314,1841.8314356603314,0.35,0.38161900490047973,0.126476019601919,0.26666666666666666,0.3835616438356165,S008,S008-FOD-01,"(0, 1, 0, 0)",Q1-016
B,1,14.0,0.027,1.3367875348821754,1.1541475874890268,0.07331588750775656,0.0250950041378869,2.589346014016846,661.1423844968323,670.689051163499,1331.8314356603314,330.0,180.0,1511.8314356603314,1841.8314356603314,0.35,0.35266349649578854,0.010653985983154257,0.4666666666666667,0.36986301369863017,S008,S008-WAT-01,"(0, 0, 0, 1)",Q1-017
B,1,14.0,0.027,1.3367875348821754,1.1541475874890268,0.07331588750775656,0.0250950041378869,2.589346014016846,661.1423844968323,670.689051163499,1331.8314356603314,330.0,180.0,1511.8314356603314,1841.8314356603314,0.35,0.35266349649578854,0.010653985983154257,0.4666666666666667,0.36986301369863017,S008,S008-WAT-02,"(0, 0, 0, 1)",Q1-018
