service_id,distance_m,terrain_max_m,cruise_altitude_m,trips,model_mix,box_count,weight_kg,volume_m3,energy_kwh,operation_time_s,aggregate_capacity_lower_bound,exact_min_trips
S001,3053.9788435184996,223.05661010742188,273.0566101074219,2,C:2,15,154.0,0.394,5.9133515703045285,3186.3381546583187,2,2
S002,7411.3104550841845,258.9542541503906,308.9542541503906,2,B:1;C:1,8,81.0,0.21100000000000002,8.43464695829562,3858.506684913725,2,2
S003,7263.179256555797,511.80413818359375,561.8041381835938,2,B:1;C:1,8,81.0,0.21100000000000002,8.544882583167624,4450.614653147952,2,2
S004,7714.696449117167,348.2391662597656,398.2391662597656,1,C:1,6,59.0,0.156,6.152932018907208,2301.0566924832005,1,1
S005,5280.606936873044,276.410888671875,326.410888671875,1,C:1,6,59.0,0.156,4.222192859507031,1877.190524525781,1,1
S006,3186.208178413744,316.09783935546875,366.09783935546875,1,C:1,6,59.0,0.156,2.5979878649122523,1561.5538679616764,1,1
S007,4534.460566815014,461.9731750488281,511.9731750488281,1,C:1,5,45.0,0.129,3.4108943800032887,1907.5664573298925,1,1
S008,8079.033112423187,322.9093322753906,372.9093322753906,1,C:1,5,45.0,0.129,5.8360117114838115,2199.7012130854614,1,1
S009,5705.144962277034,243.22891235351562,293.2289123535156,1,B:1,3,25.0,0.067,2.09623373442617,1558.4417330887609,1,1
S010,4784.494851643982,385.63653564453125,435.63653564453125,1,B:1,3,25.0,0.067,1.8231956980898127,1555.3795658311767,1,1
S011,2808.074232681646,245.36175537109375,295.36175537109375,1,B:1,3,25.0,0.067,1.0739517654354556,1188.420472235157,1,1
S012,7390.4916869771705,363.3009948730469,413.3009948730469,1,B:1,3,25.0,0.067,2.7524142988014892,1922.7403507440913,1,1
S013,4849.242377230511,349.18182373046875,399.18182373046875,1,B:1,3,25.0,0.067,1.8247592723279171,1510.4723251020891,1,1
S014,5419.601858213669,541.9473876953125,591.9473876953125,1,B:1,3,25.0,0.067,2.14038848210759,1869.7564163816144,1,1
S015,6009.38297162029,521.7992553710938,571.7992553710938,1,B:1,3,25.0,0.067,2.307452824284089,1828.2766374269763,1,1
