box_id,service_id,material_type,max_reserve_fraction,best_model_for_reserve
S001-MED-01,S001,医疗物资,0.7655307313802924,B
S001-MED-02,S001,医疗物资,0.7655307313802924,B
S001-WAT-01,S001,饮用水,0.7515437395028126,C
S001-WAT-02,S001,饮用水,0.7515437395028126,C
S001-WAT-03,S001,饮用水,0.7515437395028126,C
S001-WAT-04,S001,饮用水,0.7515437395028126,C
S001-WAT-05,S001,饮用水,0.7515437395028126,C
S001-WAT-06,S001,饮用水,0.7515437395028126,C
S001-WAT-07,S001,饮用水,0.7515437395028126,C
S001-WAT-08,S001,饮用水,0.7515437395028126,C
S001-FOD-01,S001,应急食品,0.7595008347994765,B
S001-FOD-02,S001,应急食品,0.7595008347994765,B
S001-FOD-03,S001,应急食品,0.7595008347994765,B
S001-HYG-01,S001,生活卫生用品,0.7622690151744156,B
S001-HYG-02,S001,生活卫生用品,0.7622690151744156,B
S002-MED-01,S002,医疗物资,0.44982061840345533,B
S002-WAT-01,S002,饮用水,0.4096844067996107,B
S002-WAT-02,S002,饮用水,0.4096844067996107,B
S002-WAT-03,S002,饮用水,0.4096844067996107,B
S002-WAT-04,S002,饮用水,0.4096844067996107,B
S002-FOD-01,S002,应急食品,0.4359987511977532,B
S002-FOD-02,S002,应急食品,0.4359987511977532,B
S002-HYG-01,S002,生活卫生用品,0.44239196704351635,B
S003-MED-01,S003,医疗物资,0.4359736701058864,B
S003-WAT-01,S003,饮用水,0.40521500109571484,C
S003-WAT-02,S003,饮用水,0.40521500109571484,C
S003-WAT-03,S003,饮用水,0.40521500109571484,C
S003-WAT-04,S003,饮用水,0.40521500109571484,C
S003-FOD-01,S003,应急食品,0.4212147159014854,B
S003-FOD-02,S003,应急食品,0.4212147159014854,B
S003-HYG-01,S003,生活卫生用品,0.4279654882496676,B
S004-MED-01,S004,医疗物资,0.41730674937957457,B
S004-WAT-01,S004,饮用水,0.3780272475146097,C
S004-WAT-02,S004,饮用水,0.3780272475146097,C
S004-WAT-03,S004,饮用水,0.3780272475146097,C
S004-FOD-01,S004,应急食品,0.40253178041222804,B
S004-HYG-01,S004,生活卫生用品,0.4093416244663012,B
S005-MED-01,S005,医疗物资,0.5993556327847506,B
S005-WAT-01,S005,饮用水,0.5732318792133885,C
S005-WAT-02,S005,饮用水,0.5732318792133885,C
S005-WAT-03,S005,饮用水,0.5732318792133885,C
S005-FOD-01,S005,应急食品,0.5891783522062342,B
S005-HYG-01,S005,生活卫生用品,0.5938652042006478,B
S006-MED-01,S006,医疗物资,0.7523568290781328,B
S006-WAT-01,S006,饮用水,0.7387191745697873,C
S006-WAT-02,S006,饮用水,0.7387191745697873,C
S006-WAT-03,S006,饮用水,0.7387191745697873,C
S006-FOD-01,S006,应急食品,0.7456554588944451,B
S006-HYG-01,S006,生活卫生用品,0.7487076521847985,B
S007-MED-01,S007,医疗物资,0.6391068998656984,B
S007-WAT-01,S007,饮用水,0.6233797803869998,C
S007-WAT-02,S007,饮用水,0.6233797803869998,C
S007-FOD-01,S007,应急食品,0.6293569523948306,B
S007-HYG-01,S007,生活卫生用品,0.6337858392531021,B
S008-MED-01,S008,医疗物资,0.396911463486625,B
S008-WAT-01,S008,饮用水,0.3526780688718867,C
S008-WAT-02,S008,饮用水,0.3526780688718867,C
S008-FOD-01,S008,应急食品,0.38161900490047973,B
S008-HYG-01,S008,生活卫生用品,0.3886783417045562,B
S009-MED-01,S009,医疗物资,0.5751514266876936,B
S009-WAT-01,S009,饮用水,0.5439843920346052,B
S009-FOD-01,S009,应急食品,0.5643884958738747,B
S010-MED-01,S010,医疗物资,0.630921635092429,B
S010-WAT-01,S010,饮用水,0.6094085969003133,C
S010-FOD-01,S010,应急食品,0.6210954517753707,B
S011-MED-01,S011,医疗物资,0.7821372793272692,B
S011-WAT-01,S011,饮用水,0.7701538917221321,C
S011-FOD-01,S011,应急食品,0.7764320124302729,B
S012-MED-01,S012,医疗物资,0.44189523914665096,B
S012-WAT-01,S012,饮用水,0.40408492159504006,C
S012-FOD-01,S012,应急食品,0.4276161352679412,B
S013-MED-01,S013,医疗物资,0.630858726576218,B
S013-WAT-01,S013,饮用水,0.6069816220064023,C
S013-FOD-01,S013,应急食品,0.6210917461585432,B
S014-MED-01,S014,医疗物资,0.5655378462393745,B
S014-WAT-01,S014,饮用水,0.5481585676821576,C
S014-FOD-01,S014,应急食品,0.5544195754435737,C
S015-MED-01,S015,医疗物资,0.5332521807433992,B
S015-WAT-01,S015,饮用水,0.5074099325742929,C
S015-FOD-01,S015,应急食品,0.5206391667936273,B
