架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2-001,U01,A,A-BAT-01,0.0,S006,1253.4781941236301,1.2888815532930935
Q2-002,U02,A,A-BAT-02,0.0,S012;S001,2430.8481296241616,3.1187681606844793
Q2-003,U03,A,A-BAT-03,0.0,S013,1612.1137376764395,2.025445644149036
Q2-004,U04,A,A-BAT-04,0.0,S006,1313.4781941236301,1.3570483472219093
Q2-005,U05,B,B-BAT-01,0.0,S010,1555.3795658311296,1.823195698089688
Q2-006,U06,B,B-BAT-02,0.0,S007;S015,2097.2733364510004,2.335595291224851
Q2-007,U07,C,C-BAT-01,0.0,S001,1494.1690773291593,2.7203925027470306
Q2-008,U08,C,C-BAT-02,0.0,S001,1560.1690773291593,2.8127063028928476
Q2-009,U01,A,A-BAT-05,1253.4781941236301,S014,3183.8880057789456,2.251724681143798
Q2-010,U04,A,A-BAT-06,1313.4781941236301,S014;S013,3718.757574486628,2.715812230722304
Q2-011,U07,C,C-BAT-03,1494.1690773291593,S002,3601.98146214442,6.161870343801401
Q2-012,U05,B,B-BAT-03,1555.3795658311296,S007,3131.6549648115542,1.6564938184286102
Q2-013,U08,C,C-BAT-04,1560.1690773291593,S003,3996.260426933828,6.149478043769874
Q2-014,U06,B,B-BAT-04,2097.2733364510004,S006,3304.5445912941755,1.0987798328522107
Q2-015,U03,A,A-BAT-01,2125.821753963857,S008,4296.9542933716275,3.308433947967875
Q2-016,U02,A,A-BAT-04,2430.8481296241616,S007;S003,4913.009463110569,3.024756618117376
Q2-017,U05,B,B-BAT-01,3131.6549648115542,S011,4320.075437046711,1.0739517654354556
Q2-018,U01,A,A-BAT-03,3183.8880057789456,S005;S004,5659.776616049234,3.1311983988999392
Q2-019,U07,C,C-BAT-01,3601.98146214442,S005;S008,6242.558813388847,6.377583029268815
Q2-020,U06,B,B-BAT-02,3776.0312959817693,S009;S012,5942.55017891719,2.8417624518254088
Q2-021,U04,A,A-BAT-02,3831.8255982663445,S015,5800.415001413998,2.557694473534046
Q2-022,U08,C,C-BAT-02,3996.260426933828,S004,6231.317119417028,6.0147582598931315
Q2-023,U03,A,A-BAT-05,4334.386246998265,S001;S009,6238.310380833984,2.2308049477638594
Q2-024,U05,B,B-BAT-04,4447.349185530134,S002,6204.043485628597,2.4072350596254193
Q2-025,U02,A,A-BAT-06,5003.325552250849,S006,6256.803746374479,1.243008889722434
