货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q2-008,S001,1212.2695386645796
S001-FOD-02,Q2-023,S001,5212.95933137025
S001-FOD-03,Q2-007,S001,1146.2695386645796
S001-HYG-01,Q2-007,S001,1182.2695386645796
S001-HYG-02,Q2-008,S001,1248.2695386645796
S001-MED-01,Q2-008,S001,1032.2695386645796
S001-MED-02,Q2-002,S001,2088.5217119188446
S001-WAT-01,Q2-007,S001,1002.2695386645796
S001-WAT-02,Q2-008,S001,1068.2695386645796
S001-WAT-03,Q2-007,S001,1038.2695386645796
S001-WAT-04,Q2-008,S001,1104.2695386645796
S001-WAT-05,Q2-007,S001,1074.2695386645796
S001-WAT-06,Q2-007,S001,1110.2695386645796
S001-WAT-07,Q2-008,S001,1140.2695386645796
S001-WAT-08,Q2-008,S001,1176.2695386645796
S002-FOD-01,Q2-024,S002,5577.6363355793665
S002-FOD-02,Q2-024,S002,5607.6363355793665
S002-HYG-01,Q2-011,S002,2981.4852697367896
S002-MED-01,Q2-011,S002,2801.4852697367896
S002-WAT-01,Q2-011,S002,2837.4852697367896
S002-WAT-02,Q2-011,S002,2873.4852697367896
S002-WAT-03,Q2-011,S002,2909.4852697367896
S002-WAT-04,Q2-011,S002,2945.4852697367896
S003-FOD-01,Q2-013,S003,3133.6747521314937
S003-FOD-02,Q2-013,S003,3169.6747521314937
S003-HYG-01,Q2-013,S003,3205.6747521314937
S003-MED-01,Q2-016,S003,4029.6681570628925
S003-WAT-01,Q2-013,S003,3025.6747521314937
S003-WAT-02,Q2-013,S003,3061.6747521314937
S003-WAT-03,Q2-013,S003,3097.6747521314937
S003-WAT-04,Q2-016,S003,4059.6681570628925
S004-FOD-01,Q2-022,S004,5477.758773175429
S004-HYG-01,Q2-022,S004,5513.758773175429
S004-MED-01,Q2-018,S004,4852.023190032309
S004-WAT-01,Q2-022,S004,5369.758773175429
S004-WAT-02,Q2-022,S004,5405.758773175429
S004-WAT-03,Q2-022,S004,5441.758773175429
S005-FOD-01,Q2-019,S005,4897.2117244073115
S005-HYG-01,Q2-019,S005,4933.2117244073115
S005-MED-01,Q2-018,S005,4312.739902211074
S005-WAT-01,Q2-019,S005,4825.2117244073115
S005-WAT-02,Q2-018,S005,4342.739902211074
S005-WAT-03,Q2-019,S005,4861.2117244073115
S006-FOD-01,Q2-004,S006,935.5024303951484
S006-HYG-01,Q2-025,S006,5878.827982645997
S006-MED-01,Q2-014,S006,2949.6722972059215
S006-WAT-01,Q2-001,S006,875.5024303951484
S006-WAT-02,Q2-014,S006,2979.6722972059215
S006-WAT-03,Q2-004,S006,905.5024303951484
S007-FOD-01,Q2-006,S007,1095.7776994902124
S007-HYG-01,Q2-012,S007,2621.1572653213416
S007-MED-01,Q2-016,S007,3572.2001718946412
S007-WAT-01,Q2-012,S007,2591.1572653213416
S007-WAT-02,Q2-006,S007,1065.7776994902124
S008-FOD-01,Q2-015,S008,3491.6146903344093
S008-HYG-01,Q2-019,S008,5540.548206846117
S008-MED-01,Q2-019,S008,5468.548206846117
S008-WAT-01,Q2-015,S008,3461.6146903344093
S008-WAT-02,Q2-019,S008,5504.548206846117
S009-FOD-01,Q2-023,S009,5675.59376491832
S009-MED-01,Q2-020,S009,4806.84216252615
S009-WAT-01,Q2-020,S009,4836.84216252615
S010-FOD-01,Q2-005,S010,1085.2264495822315
S010-MED-01,Q2-005,S010,1025.2264495822315
S010-WAT-01,Q2-005,S010,1055.2264495822315
S011-FOD-01,Q2-017,S011,4038.0518675957996
S011-MED-01,Q2-017,S011,3978.0518675957996
S011-WAT-01,Q2-017,S011,4008.0518675957996
S012-FOD-01,Q2-020,S012,5291.110003545098
S012-MED-01,Q2-002,S012,1364.475036821724
S012-WAT-01,Q2-002,S012,1334.475036821724
S013-FOD-01,Q2-003,S013,1083.590202171553
S013-MED-01,Q2-010,S013,3190.234038981742
S013-WAT-01,Q2-003,S013,1053.590202171553
S014-FOD-01,Q2-010,S014,2616.239766617954
S014-MED-01,Q2-010,S014,2586.239766617954
S014-WAT-01,Q2-009,S014,2466.239766617954
S015-FOD-01,Q2-021,S015,5089.560299840171
S015-MED-01,Q2-006,S015,1486.5750177375126
S015-WAT-01,Q2-021,S015,5059.560299840171
