from_id,to_id,distance_m,terrain_max_m,cruise_altitude_m,origin_work_altitude_m,destination_work_altitude_m,climb_m,descent_m,crossed_cells
O01,S001,3053.9788435184996,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,136
S001,O01,3053.9788435184996,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219,136
O01,S002,7411.3104550841845,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062,323
S002,O01,7411.3104550841845,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064,323
O01,S003,7263.179256555797,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,338
S003,O01,7263.179256555797,511.80413818359375,561.8041381835938,338.5,127.7,223.30413818359375,434.10413818359376,338
O01,S004,7714.696449117167,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656,276
S004,O01,7714.696449117167,348.2391662597656,398.2391662597656,228.3,127.7,169.9391662597656,270.53916625976564,276
O01,S005,5280.606936873044,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875,181
S005,O01,5280.606936873044,276.410888671875,326.410888671875,195.0,127.7,131.410888671875,198.710888671875,181
O01,S006,3186.208178413744,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,116
S006,O01,3186.208178413744,316.09783935546875,366.09783935546875,314.8,127.7,51.29783935546874,238.39783935546876,116
O01,S007,4534.460566815014,461.9731750488281,511.9731750488281,127.7,348.5,384.27317504882814,163.47317504882812,213
S007,O01,4534.460566815014,461.9731750488281,511.9731750488281,348.5,127.7,163.47317504882812,384.27317504882814,213
O01,S008,8079.033112423187,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065,321
S008,O01,8079.033112423187,322.9093322753906,372.9093322753906,270.9,127.7,102.00933227539065,245.20933227539064,321
O01,S009,5705.144962277034,243.22891235351562,293.2289123535156,127.7,230.0,165.52891235351564,63.228912353515625,253
S009,O01,5705.144962277034,243.22891235351562,293.2289123535156,230.0,127.7,63.228912353515625,165.52891235351564,253
O01,S010,4784.494851643982,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,203
S010,O01,4784.494851643982,385.63653564453125,435.63653564453125,351.6,127.7,84.03653564453123,307.93653564453126,203
O01,S011,2808.074232681646,245.36175537109375,295.36175537109375,127.7,212.1,167.66175537109376,83.26175537109376,123
S011,O01,2808.074232681646,245.36175537109375,295.36175537109375,212.1,127.7,83.26175537109376,167.66175537109376,123
O01,S012,7390.4916869771705,363.3009948730469,413.3009948730469,127.7,279.8,285.6009948730469,133.50099487304686,354
S012,O01,7390.4916869771705,363.3009948730469,413.3009948730469,279.8,127.7,133.50099487304686,285.6009948730469,354
O01,S013,4849.242377230511,349.18182373046875,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876,228
S013,O01,4849.242377230511,349.18182373046875,399.18182373046875,351.7,127.7,47.48182373046876,271.48182373046876,228
O01,S014,5419.601858213669,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125,203
S014,O01,5419.601858213669,541.9473876953125,591.9473876953125,351.0,127.7,240.9473876953125,464.2473876953125,203
O01,S015,6009.38297162029,521.7992553710938,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,286
S015,O01,6009.38297162029,521.7992553710938,571.7992553710938,474.5,127.7,97.29925537109375,444.09925537109376,286
S001,S002,4360.597539148685,259.2448425292969,309.2448425292969,184.0,219.5,125.24484252929688,89.74484252929688,188
S002,S001,4360.597539148685,259.2448425292969,309.2448425292969,219.5,184.0,89.74484252929688,125.24484252929688,188
S001,S003,7658.743084974454,505.94439697265625,555.9443969726562,184.0,338.5,371.94439697265625,217.44439697265625,293
S003,S001,7658.743084974454,505.94439697265625,555.9443969726562,338.5,184.0,217.44439697265625,371.94439697265625,293
S001,S004,4927.678447010785,358.7777404785156,408.7777404785156,184.0,228.3,224.77774047851562,180.4777404785156,179
S004,S001,4927.678447010785,358.7777404785156,408.7777404785156,228.3,184.0,180.4777404785156,224.77774047851562,179
S001,S005,2928.040272387301,266.13800048828125,316.13800048828125,184.0,195.0,132.13800048828125,121.13800048828125,136
S005,S001,2928.040272387301,266.13800048828125,316.13800048828125,195.0,184.0,121.13800048828125,132.13800048828125,136
S001,S006,5296.16785679757,343.9356384277344,393.9356384277344,184.0,314.8,209.93563842773438,79.13563842773436,251
S006,S001,5296.16785679757,343.9356384277344,393.9356384277344,314.8,184.0,79.13563842773436,209.93563842773438,251
S001,S007,5187.883229802976,389.17535400390625,439.17535400390625,184.0,348.5,255.17535400390625,90.67535400390625,198
