battery_id,model_id,trip_id,drone_id,task_start_s,return_s,return_soc_fraction,charge_start_s,charge_end_s,charge_duration_s,charged_soc_fraction
A-BAT-01,A,Q2-001,U01,0.0,1310.899502077302,0.7190342941285077,1310.899502077302,2176.154919710242,865.2554176329401,1.0
A-BAT-02,A,Q2-002,U02,0.0,1313.4781941236447,0.6984337006173458,1313.4781941236447,2205.514383321095,892.0361891974505,1.0
A-BAT-03,A,Q2-003,U03,0.0,2482.1613334862614,0.32783186264066067,2482.1613334862614,3855.9799120534026,1373.8185785671412,1.0
A-BAT-04,A,Q2-004,U04,0.0,2255.3288198276678,0.4485831462188694,2255.3288198276678,3472.1707297431376,1216.8419099154696,1.0
B-BAT-01,B,Q2-005,U05,0.0,1207.2712548431866,0.7154622762870082,1207.2712548431866,2367.1366426123723,1159.8653877691856,1.0
B-BAT-02,B,Q2-006,U06,0.0,1149.100207293352,0.694895596008567,1149.100207293352,2344.6145075451695,1195.5143002518173,1.0
C-BAT-01,C,Q2-007,U07,0.0,1841.5664573298927,0.5805217034680334,1841.5664573298927,3583.769433149154,1742.202975819261,1.0
C-BAT-02,C,Q2-008,U08,0.0,1811.1905245257808,0.4840673580569107,1811.1905245257808,3762.377915402474,1951.1873908766934,1.0
B-BAT-03,B,Q2-009,U06,1149.100207293352,2905.7945073918163,0.3527272852845592,2905.7945073918163,4694.400546231914,1788.6060388400972,1.0
B-BAT-04,B,Q2-010,U05,1207.2712548431866,2356.371462136539,0.694895596008567,2356.371462136539,3551.885762388356,1195.5143002518173,1.0
A-BAT-05,A,Q2-011,U01,1310.899502077302,2624.377696200947,0.708540820929271,2624.377696200947,3503.2746289928946,878.8969327919477,1.0
A-BAT-06,A,Q2-012,U02,1313.4781941236447,3303.8880057790484,0.49089390249620746,3303.8880057790484,4465.725932533978,1161.8379267549303,1.0
C-BAT-03,C,Q2-013,U08,1811.1905245257808,3919.0029093410417,0.2683660387291713,3919.0029093410417,6337.543158761171,2418.540249420129,1.0
C-BAT-04,C,Q2-014,U07,1841.5664573298927,4032.182241083965,0.4769039834093698,4032.182241083965,5998.89027703033,1966.7080359463655,1.0
A-BAT-01,A,Q2-015,U04,2255.3288198276678,3910.1915473803106,0.5655867425257546,3910.1915473803106,4974.928782096829,1064.7372347165192,1.0
B-BAT-02,B,Q2-016,U05,2356.371462136539,4279.11181288063,0.3118964252996278,4279.11181288063,6138.491342361275,1859.3795294806453,1.0
A-BAT-02,A,Q2-017,U03,2482.1613334862614,4929.480640634329,0.39680615256438845,4929.480640634329,6213.632642300624,1284.152001666295,1.0
B-BAT-01,B,Q2-018,U06,2905.7945073918163,4807.625943052148,0.30913968618372245,4807.625943052148,6671.783820333695,1864.1578772815476,1.0
A-BAT-04,A,Q2-019,U01,3472.1707297431376,6327.123551935029,0.20413342867827433,6327.123551935029,7861.750094653273,1534.6265427182432,1.0
A-BAT-05,A,Q2-020,U02,3503.2746289928946,5674.407168400665,0.26479245600713897,5674.407168400665,7130.176975591385,1455.7698071907193,1.0
A-BAT-03,A,Q2-021,U04,3910.1915473803106,5550.274943252063,0.6231713733639477,5550.274943252063,6540.152157878931,989.877214626868,1.0
C-BAT-01,C,Q2-022,U08,3919.0029093410417,6355.094258945617,0.23131524452883678,6355.094258945617,8853.911229133137,2498.81697018752,1.0
C-BAT-02,C,Q2-023,U07,4032.182241083965,6333.238933567165,0.230883497636599,6333.238933567165,8832.991355354534,2499.752421787369,1.0
B-BAT-04,B,Q2-024,U05,4279.11181288063,6348.189303390614,0.44498808756691344,6348.189303390614,7976.876618274631,1628.6873148840166,1.0
B-BAT-03,B,Q2-025,U06,4807.625943052148,6306.067676140909,0.4999426126716362,6306.067676140909,7839.500480843406,1533.4328047024972,1.0
A-BAT-06,A,Q2-026,U03,4929.480640634329,6180.3801427116305,0.7259887823903488,6180.3801427116305,7036.594725604177,856.2145828925466,1.0
