battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,2,U01;U03,0.26479245600713897,5752.724100562347,2328.1133670309464
A-BAT-02,A,2,U02;U04,0.43162345032576754,7039.3045159905,2639.866983218685
A-BAT-03,A,2,U01;U03,0.30417813357779133,7064.345042398105,2489.697167991926
A-BAT-04,A,2,U02;U04,0.32783186264058317,6286.828041677812,2265.8547677646825
A-BAT-05,A,2,U01;U03,0.5042655671635867,7382.765143521321,2294.9530039066567
A-BAT-06,A,2,U02;U04,0.7237758022839036,7115.895203405404,2143.6594347951464
B-BAT-01,B,2,U05,0.7315120586411361,5452.121202068742,2588.7639008608953
B-BAT-02,B,2,U06,0.2895593870436478,7840.647241374867,3576.855021988446
B-BAT-03,B,1,U05,0.5858765453928474,4516.135619463952,1384.4806546523978
B-BAT-04,B,2,U05;U06,0.3981912350936452,7913.845344799613,2852.606453406973
C-BAT-01,C,2,U07,0.20280212134139808,8803.154217149151,4130.701706587624
C-BAT-02,C,2,U08,0.24815521751335856,8693.647481471418,4057.4383190878693
C-BAT-03,C,1,U07,0.22976620702482486,6104.154680257299,2502.1732181128796
C-BAT-04,C,1,U08,0.23131524452876573,6495.077397121502,2498.8169701876745
