box_id,trip_id,service_id,stop_index
S001-FOD-01,Q2-008,S001,1
S001-FOD-02,Q2-023,S001,1
S001-FOD-03,Q2-007,S001,1
S001-HYG-01,Q2-007,S001,1
S001-HYG-02,Q2-008,S001,1
S001-MED-01,Q2-008,S001,1
S001-MED-02,Q2-002,S001,2
S001-WAT-01,Q2-007,S001,1
S001-WAT-02,Q2-008,S001,1
S001-WAT-03,Q2-007,S001,1
S001-WAT-04,Q2-008,S001,1
S001-WAT-05,Q2-007,S001,1
S001-WAT-06,Q2-007,S001,1
S001-WAT-07,Q2-008,S001,1
S001-WAT-08,Q2-008,S001,1
S002-FOD-01,Q2-024,S002,1
S002-FOD-02,Q2-024,S002,1
S002-HYG-01,Q2-011,S002,1
S002-MED-01,Q2-011,S002,1
S002-WAT-01,Q2-011,S002,1
S002-WAT-02,Q2-011,S002,1
S002-WAT-03,Q2-011,S002,1
S002-WAT-04,Q2-011,S002,1
S003-FOD-01,Q2-013,S003,1
S003-FOD-02,Q2-013,S003,1
S003-HYG-01,Q2-013,S003,1
S003-MED-01,Q2-016,S003,2
S003-WAT-01,Q2-013,S003,1
S003-WAT-02,Q2-013,S003,1
S003-WAT-03,Q2-013,S003,1
S003-WAT-04,Q2-016,S003,2
S004-FOD-01,Q2-022,S004,1
S004-HYG-01,Q2-022,S004,1
S004-MED-01,Q2-018,S004,2
S004-WAT-01,Q2-022,S004,1
S004-WAT-02,Q2-022,S004,1
S004-WAT-03,Q2-022,S004,1
S005-FOD-01,Q2-019,S005,1
S005-HYG-01,Q2-019,S005,1
S005-MED-01,Q2-018,S005,1
S005-WAT-01,Q2-019,S005,1
S005-WAT-02,Q2-018,S005,1
S005-WAT-03,Q2-019,S005,1
S006-FOD-01,Q2-004,S006,1
S006-HYG-01,Q2-025,S006,1
S006-MED-01,Q2-014,S006,1
S006-WAT-01,Q2-001,S006,1
S006-WAT-02,Q2-014,S006,1
S006-WAT-03,Q2-004,S006,1
S007-FOD-01,Q2-006,S007,1
S007-HYG-01,Q2-012,S007,1
S007-MED-01,Q2-016,S007,1
S007-WAT-01,Q2-012,S007,1
S007-WAT-02,Q2-006,S007,1
S008-FOD-01,Q2-015,S008,1
S008-HYG-01,Q2-019,S008,2
S008-MED-01,Q2-019,S008,2
S008-WAT-01,Q2-015,S008,1
S008-WAT-02,Q2-019,S008,2
S009-FOD-01,Q2-023,S009,2
S009-MED-01,Q2-020,S009,1
S009-WAT-01,Q2-020,S009,1
S010-FOD-01,Q2-005,S010,1
S010-MED-01,Q2-005,S010,1
S010-WAT-01,Q2-005,S010,1
S011-FOD-01,Q2-017,S011,1
S011-MED-01,Q2-017,S011,1
S011-WAT-01,Q2-017,S011,1
S012-FOD-01,Q2-020,S012,2
S012-MED-01,Q2-002,S012,1
S012-WAT-01,Q2-002,S012,1
S013-FOD-01,Q2-003,S013,1
S013-MED-01,Q2-010,S013,2
S013-WAT-01,Q2-003,S013,1
S014-FOD-01,Q2-010,S014,1
S014-MED-01,Q2-010,S014,1
S014-WAT-01,Q2-009,S014,1
S015-FOD-01,Q2-021,S015,1
S015-MED-01,Q2-006,S015,2
S015-WAT-01,Q2-021,S015,1
