iteration,phase,seed,hard_late_s,weighted_tardiness_s,makespan_s,energy_kwh,trips,weighted_completion_s
0,initial,20261001,0.0,0.0,6355.094258945617,71.94566215060301,26,3014232.3246828215
769,anneal,20261001,0.0,0.0,6966.482422771413,71.52647490949593,25,2945842.9323855136
948,anneal,20261001,0.0,0.0,6966.482422771413,71.46323741027895,25,2996369.42769466
2397,anneal,20261001,0.0,0.0,6988.838250740473,71.43467557869693,25,2859663.4083685027
2645,anneal,20261001,0.0,0.0,6988.838250740473,71.43380210721936,25,2880719.2021452086
2862,anneal,20261001,0.0,0.0,6812.371788120225,71.37143807947996,25,2874613.4117854396
2929,anneal,20261001,0.0,0.0,6812.371788120225,71.2694978720659,25,2892270.9066758007
3023,anneal,20261001,0.0,0.0,6827.409326718591,71.2449202621889,25,2882270.0911947563
3105,anneal,20261001,0.0,0.0,6844.960426903037,70.84686460520979,25,2843619.575804209
3190,anneal,20261001,0.0,0.0,6833.209320428134,70.84686460520979,25,2845089.714577059
3231,anneal,20261001,0.0,0.0,6827.409326718591,70.84686460520979,25,2849890.6933872504
3337,anneal,20261001,0.0,0.0,6827.409326718591,70.83020300501305,25,2850487.7004338074
3975,anneal,20261001,0.0,0.0,6798.529162430015,70.83020300501306,25,2941639.289422751
6077,anneal,20261001,0.0,0.0,6976.744246949527,70.52889492438383,24,2907830.7546659927
6210,anneal,20261001,0.0,0.0,6927.763825841848,70.08528151936616,24,2904883.1990048974
7217,anneal,20261001,0.0,0.0,6927.763825841848,70.0777659286334,24,2982129.8065137235
18799,anneal,20261001,0.0,0.0,6954.140854301173,69.74585434948543,24,3012139.9992199503
23337,anneal,20261001,0.0,0.0,6954.140854301173,69.47758871681788,24,2993649.897112229
60001,destroy_repair,20261001,0.0,0.0,6954.140854301173,69.40929560432708,24,2964622.54487295
60008,destroy_repair,20261001,0.0,0.0,6954.140854301173,69.39914802356745,24,2992446.9658830883
60016,destroy_repair,20261001,0.0,0.0,6954.140854301173,69.3332017941521,24,2957336.789052029
60024,destroy_repair,20261001,0.0,0.0,6954.140854301173,69.31437999310563,24,2964375.675083082
60041,destroy_repair,20261001,0.0,0.0,6954.140854301173,69.25286759030988,24,2973948.4593401067
60048,destroy_repair,20261001,0.0,0.0,6954.140854301173,69.20743370753132,24,2985509.385610139
0,initial,20261002,0.0,0.0,6954.140854301173,69.20743370753132,24,2985509.385610139
33555,anneal,20261002,0.0,0.0,6954.140854301173,68.74294340985779,24,3007452.5208221497
34016,anneal,20261002,0.0,0.0,6954.140854301173,68.72628180966106,24,2956905.1817713436
34284,anneal,20261002,0.0,0.0,6954.140854301173,68.49913141110966,24,2965614.470746562
34538,anneal,20261002,0.0,0.0,6954.140854301173,68.47925240478034,24,2972789.948948281
34591,anneal,20261002,0.0,0.0,6954.140854301173,68.4567269780817,24,2969434.478107253
43924,anneal,20261002,0.0,0.0,6954.140854301173,68.20623666861209,24,2904859.3430890804
43965,anneal,20261002,0.0,0.0,6954.140854301173,67.47708749992478,23,2922149.5289473115
60005,destroy_repair,20261002,0.0,0.0,6954.140854301173,67.40997564468535,23,2887394.789452376
0,initial,20261003,0.0,0.0,6954.140854301173,67.40997564468535,23,2887394.789452376
36,anneal,20261003,0.0,0.0,6927.763825841848,67.40997564468535,23,2881198.9426373085
60024,destroy_repair,20261003,0.0,0.0,6959.940848010716,67.36143561969918,23,2913482.200995768
60040,destroy_repair,20261003,0.0,0.0,6959.940848010716,67.34742643194575,23,2941703.7890456235
60057,destroy_repair,20261003,0.0,0.0,6959.940848010716,67.24017186035296,23,2937149.1925518382
60078,destroy_repair,20261003,0.0,0.0,6959.940848010716,67.23556881556964,23,2942686.0554500464
0,initial,20261004,0.0,0.0,6959.940848010716,67.23556881556964,23,2942686.0554500464
35,anneal,20261004,0.0,0.0,6954.140854301173,67.23556881556964,23,2939339.973747817
60054,destroy_repair,20261004,0.0,0.0,6954.140854301173,67.22745793455239,23,2943709.2053153245
