battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,3,U01;U03;U04,0.3147571625476401,8276.598998819314,3153.307403022955
A-BAT-02,A,2,U02;U03,0.4683656067104668,6912.412620655952,2563.1909812888052
A-BAT-03,A,3,U01;U03;U04,0.4601566027326228,8165.144546893143,3110.5449489688604
A-BAT-04,A,3,U02;U03;U04,0.7259887823903488,7828.401994349408,3063.05731042517
A-BAT-05,A,2,U01;U03,0.5126692440155061,6188.2887100777425,1991.8460906457753
A-BAT-06,A,2,U01;U02,0.2908621222771952,8303.46315022759,2762.09469709343
B-BAT-01,B,2,U05,0.35586940161248615,7168.728099563206,3377.328046118313
B-BAT-02,B,3,U05;U06,0.4759415663934575,8519.044747031616,4110.260127569937
B-BAT-03,B,2,U06,0.7315120586411361,6193.1130983740095,2291.9111527912164
B-BAT-04,B,2,U05;U06,0.3329078755367496,8805.670652818224,3162.6708914697465
C-BAT-01,C,2,U07,0.26286388531044336,9392.905565667337,4849.001831247502
C-BAT-02,C,2,U08,0.5379927371408302,6619.341604395388,3309.8724813620192
C-BAT-03,C,2,U08,0.27049853606452356,9398.613586479514,4127.22978171224
C-BAT-04,C,1,U07,0.596250592255557,5484.644512640908,1708.1237167796266
