box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S001-FOD-01,Q2-031,S001,A,U03,6599.860993751544,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-02,Q2-031,S001,A,U03,6629.860993751544,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-03,Q2-018,S001,A,U03,3410.3720885265884,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-HYG-01,Q2-008,S001,C,U08,1080.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-HYG-02,Q2-008,S001,C,U08,1116.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-MED-01,Q2-003,S001,A,U03,878.5730843719844,3600.0,3600.0,3600.0,True,True,24,0.0,2721.4269156280156,3.0,0.012
S001-MED-02,Q2-010,S001,A,U03,2129.472586449286,3600.0,3600.0,,False,True,24,0.0,1470.5274135507138,3.0,0.012
S001-WAT-01,Q2-008,S001,C,U08,972.2695386645796,3600.0,3600.0,3600.0,True,False,12,0.0,2627.7304613354204,14.0,0.027
S001-WAT-02,Q2-010,S001,A,U03,2159.472586449286,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-03,Q2-008,S001,C,U08,1008.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-04,Q2-003,S001,A,U03,908.5730843719844,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-05,Q2-006,S001,B,U06,827.6734369800093,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-06,Q2-018,S001,A,U03,3380.3720885265884,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-07,Q2-008,S001,C,U08,1044.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-08,Q2-006,S001,B,U06,857.6734369800093,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-FOD-01,Q2-007,S002,C,U07,1451.3161924076305,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-FOD-02,Q2-002,S002,A,U02,1283.8089909673017,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-HYG-01,Q2-007,S002,C,U07,1487.3161924076305,10800.0,,,False,False,8,0.0,,6.0,0.035
S002-MED-01,Q2-007,S002,C,U07,1307.3161924076305,3600.0,3600.0,3600.0,True,True,24,0.0,2292.6838075923697,3.0,0.012
S002-WAT-01,Q2-007,S002,C,U07,1343.3161924076305,3600.0,3600.0,3600.0,True,False,12,0.0,2256.6838075923697,14.0,0.027
S002-WAT-02,Q2-007,S002,C,U07,1379.3161924076305,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-03,Q2-002,S002,A,U02,1253.8089909673017,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-04,Q2-007,S002,C,U07,1415.3161924076305,3600.0,,,False,False,12,0.0,,14.0,0.027
S003-FOD-01,Q2-025,S003,A,U04,6032.4420040836285,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-FOD-02,Q2-024,S003,C,U07,6135.858309037677,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-HYG-01,Q2-024,S003,C,U07,6171.858309037677,14400.0,,,False,False,6,0.0,,6.0,0.035
S003-MED-01,Q2-024,S003,C,U07,5991.858309037677,7200.0,7200.0,7200.0,True,True,20,0.0,1208.141690962323,3.0,0.012
S003-WAT-01,Q2-024,S003,C,U07,6027.858309037677,7200.0,7200.0,7200.0,True,False,10,0.0,1172.141690962323,14.0,0.027
S003-WAT-02,Q2-025,S003,A,U04,6002.4420040836285,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-03,Q2-024,S003,C,U07,6063.858309037677,7200.0,,,False,False,10,0.0,,14.0,0.027
