resource_type,resource_id,trip_id,phase,start_s,end_s
drone,U01,Q2-001,prepare_load,0.0,360.0
drone,U01,Q2-001,climb,360.0,439.4659464518229
drone,U01,Q2-001,cruise,439.4659464518229,704.9832946529682
drone,U01,Q2-001,descent,704.9832946529682,725.5024303951557
drone,U01,Q2-001,handoff,725.5024303951557,935.5024303951557
drone,U01,Q2-001,climb,935.5024303951557,952.6017101803119
drone,U01,Q2-001,cruise,952.6017101803119,1218.1190583814573
drone,U01,Q2-001,descent,1218.1190583814573,1313.4781941236447
drone,U02,Q2-002,prepare_load,0.0,360.0
drone,U02,Q2-002,climb,360.0,420.4180847167969
drone,U02,Q2-002,cruise,420.4180847167969,1038.0272893071456
drone,U02,Q2-002,descent,1038.0272893071456,1073.8089909673017
drone,U02,Q2-002,handoff,1073.8089909673017,1283.8089909673017
drone,U02,Q2-002,climb,1283.8089909673017,1313.6270756840986
drone,U02,Q2-002,cruise,1313.6270756840986,1931.2362802744474
drone,U02,Q2-002,descent,1931.2362802744474,2003.7379819346036
drone,U03,Q2-003,prepare_load,0.0,360.0
drone,U03,Q2-003,climb,360.0,408.45220336914065
drone,U03,Q2-003,cruise,408.45220336914065,662.9504403290156
drone,U03,Q2-003,descent,662.9504403290156,698.5730843719844
drone,U03,Q2-003,handoff,698.5730843719844,908.5730843719844
drone,U03,Q2-003,climb,908.5730843719844,938.2586210744583
drone,U03,Q2-003,cruise,938.2586210744583,1192.7568580343334
drone,U03,Q2-003,descent,1192.7568580343334,1250.8995020773023
drone,U04,Q2-004,prepare_load,0.0,360.0
drone,U04,Q2-004,climb,360.0,439.4659464518229
drone,U04,Q2-004,cruise,439.4659464518229,704.9832946529682
drone,U04,Q2-004,descent,704.9832946529682,725.5024303951557
drone,U04,Q2-004,handoff,725.5024303951557,935.5024303951557
drone,U04,Q2-004,climb,935.5024303951557,952.6017101803119
drone,U04,Q2-004,cruise,952.6017101803119,1218.1190583814573
drone,U04,Q2-004,descent,1218.1190583814573,1313.4781941236447
drone,U05,Q2-005,prepare_load,0.0,390.0
drone,U05,Q2-005,climb,390.0,544.7491292317709
drone,U05,Q2-005,cruise,544.7491292317709,906.0559197793489
drone,U05,Q2-005,descent,906.0559197793489,1002.4348748574739
drone,U05,Q2-005,handoff,1002.4348748574739,1242.434874857474
drone,U05,Q2-005,climb,1242.434874857474,1322.7506707559114
drone,U05,Q2-005,cruise,1322.7506707559114,1684.0574613034894
drone,U05,Q2-005,descent,1684.0574613034894,1869.7564163816144
drone,U06,Q2-006,prepare_load,0.0,360.0
drone,U06,Q2-006,climb,360.0,408.45220336914065
drone,U06,Q2-006,cruise,408.45220336914065,612.0507929370406
drone,U06,Q2-006,descent,612.0507929370406,647.6734369800093
drone,U06,Q2-006,handoff,647.6734369800093,857.6734369800093
drone,U06,Q2-006,climb,857.6734369800093,887.3589736824833
drone,U06,Q2-006,cruise,887.3589736824833,1090.9575632503834
