battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,1,U01,0.3848245800450396,3705.007426304447,1299.7280459414485
A-BAT-02,A,2,U02;U04,0.33672249385088304,7162.9962417279785,2716.7999360919034
A-BAT-03,A,2,U01;U03,0.43162345032576754,6583.28316967117,2610.955784588914
A-BAT-04,A,2,U02;U04,0.26479245600713897,5819.277473514059,2334.6667399826574
A-BAT-05,A,1,U04,0.47345510055515505,4488.396375057244,1184.5083692782985
A-BAT-06,A,1,U03,0.6984337006173535,4209.252365255674,892.0361891974404
B-BAT-01,B,2,U05,0.544201075477578,5407.789428748326,2616.5835236080375
B-BAT-02,B,2,U06,0.4759415663934573,6346.027149300951,2959.5152729037386
B-BAT-03,B,2,U05,0.3018188983074763,8166.4354672015625,3008.8930079557385
B-BAT-04,B,2,U06,0.5065811779443199,7869.088717581279,2959.9358530076593
C-BAT-01,C,2,U07,0.23131524452876573,8995.519989079992,4068.923273014995
C-BAT-02,C,2,U08,0.2385272078561712,8852.99417070175,4053.2973524722834
C-BAT-03,C,1,U08,0.23088349763659888,6294.978191599729,2499.7524217873693
C-BAT-04,C,1,U07,0.21865846082404838,6586.851670835544,2526.240001547895
