box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S001-FOD-01,Q2-007,S001,C,U07,1242.2695386645796,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-02,Q2-007,S001,C,U07,1278.2695386645796,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-03,Q2-008,S001,C,U08,1146.2695386645796,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-HYG-01,Q2-007,S001,C,U07,1314.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-HYG-02,Q2-008,S001,C,U08,1182.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-MED-01,Q2-007,S001,C,U07,1062.2695386645796,3600.0,3600.0,3600.0,True,True,24,0.0,2537.7304613354204,3.0,0.012
S001-MED-02,Q2-007,S001,C,U07,1098.2695386645796,3600.0,3600.0,,False,True,24,0.0,2501.7304613354204,3.0,0.012
S001-WAT-01,Q2-007,S001,C,U07,1134.2695386645796,3600.0,3600.0,3600.0,True,False,12,0.0,2465.7304613354204,14.0,0.027
S001-WAT-02,Q2-008,S001,C,U08,1002.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-03,Q2-008,S001,C,U08,1038.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-04,Q2-013,S001,C,U07,2658.438615993739,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-05,Q2-007,S001,C,U07,1170.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-06,Q2-008,S001,C,U08,1074.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-07,Q2-007,S001,C,U07,1206.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-08,Q2-008,S001,C,U08,1110.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-FOD-01,Q2-013,S002,C,U07,3404.115476880019,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-FOD-02,Q2-003,S002,A,U03,1283.8089909673017,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-HYG-01,Q2-013,S002,C,U07,3440.115476880019,10800.0,,,False,False,8,0.0,,6.0,0.035
S002-MED-01,Q2-013,S002,C,U07,3260.115476880019,3600.0,3600.0,3600.0,True,True,24,0.0,339.88452311998117,3.0,0.012
S002-WAT-01,Q2-013,S002,C,U07,3296.115476880019,3600.0,3600.0,3600.0,True,False,12,0.0,303.88452311998117,14.0,0.027
S002-WAT-02,Q2-003,S002,A,U03,1253.8089909673017,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-03,Q2-013,S002,C,U07,3332.115476880019,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-04,Q2-013,S002,C,U07,3368.115476880019,3600.0,,,False,False,12,0.0,,14.0,0.027
S003-FOD-01,Q2-022,S003,C,U07,5634.117344089984,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-FOD-02,Q2-022,S003,C,U07,5670.117344089984,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-HYG-01,Q2-022,S003,C,U07,5706.117344089984,14400.0,,,False,False,6,0.0,,6.0,0.035
S003-MED-01,Q2-021,S003,B,U05,5239.306278014531,7200.0,7200.0,7200.0,True,True,20,0.0,1960.693721985469,3.0,0.012
S003-WAT-01,Q2-022,S003,C,U07,5526.117344089984,7200.0,7200.0,7200.0,True,False,10,0.0,1673.8826559100162,14.0,0.027
S003-WAT-02,Q2-022,S003,C,U07,5562.117344089984,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-03,Q2-021,S003,B,U05,5269.306278014531,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-04,Q2-022,S003,C,U07,5598.117344089984,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-FOD-01,Q2-011,S004,C,U08,3041.667423570759,10800.0,,,False,False,8,0.0,,8.0,0.028
S004-HYG-01,Q2-011,S004,C,U08,3077.667423570759,14400.0,,,False,False,6,0.0,,6.0,0.035
S004-MED-01,Q2-011,S004,C,U08,2897.667423570759,7200.0,7200.0,7200.0,True,True,20,0.0,4302.33257642924,3.0,0.012
S004-WAT-01,Q2-011,S004,C,U08,2933.667423570759,7200.0,7200.0,7200.0,True,False,10,0.0,4266.33257642924,14.0,0.027
S004-WAT-02,Q2-011,S004,C,U08,2969.667423570759,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-WAT-03,Q2-011,S004,C,U08,3005.667423570759,7200.0,,,False,False,10,0.0,,14.0,0.027
S005-FOD-01,Q2-023,S005,B,U06,5871.834311867189,14400.0,,,False,False,6,0.0,,8.0,0.028
S005-HYG-01,Q2-020,S005,C,U08,5060.456032075251,18000.0,,,False,False,4,0.0,,6.0,0.035
S005-MED-01,Q2-023,S005,B,U06,5811.834311867189,10800.0,10800.0,10800.0,True,True,16,0.0,4988.165688132811,3.0,0.012
S005-WAT-01,Q2-020,S005,C,U08,4988.456032075251,10800.0,10800.0,10800.0,True,False,8,0.0,5811.543967924749,14.0,0.027
S005-WAT-02,Q2-023,S005,B,U06,5841.834311867189,10800.0,,,False,False,8,0.0,,14.0,0.027
S005-WAT-03,Q2-020,S005,C,U08,5024.456032075251,10800.0,,,False,False,8,0.0,,14.0,0.027
S006-FOD-01,Q2-014,S006,A,U03,2939.240412329752,7200.0,,,False,False,10,0.0,,8.0,0.028
S006-HYG-01,Q2-005,S006,B,U05,882.3989607549207,10800.0,,,False,False,8,0.0,,6.0,0.035
S006-MED-01,Q2-004,S006,A,U04,905.5024303951484,3600.0,3600.0,3600.0,True,True,24,0.0,2694.4975696048514,3.0,0.012
S006-WAT-01,Q2-014,S006,A,U03,2909.240412329752,3600.0,3600.0,3600.0,True,False,12,0.0,690.759587670248,14.0,0.027
S006-WAT-02,Q2-005,S006,B,U05,852.3989607549207,3600.0,,,False,False,12,0.0,,14.0,0.027
S006-WAT-03,Q2-004,S006,A,U04,935.5024303951484,3600.0,,,False,False,12,0.0,,14.0,0.027
S007-FOD-01,Q2-012,S007,B,U06,2702.0530984706365,7200.0,,,False,False,10,0.0,,8.0,0.028
S007-HYG-01,Q2-006,S007,B,U06,1065.7776994902124,10800.0,,,False,False,8,0.0,,6.0,0.035
S007-MED-01,Q2-012,S007,B,U06,2642.0530984706365,3600.0,3600.0,3600.0,True,True,24,0.0,957.9469015293635,3.0,0.012
S007-WAT-01,Q2-006,S007,B,U06,1035.7776994902124,3600.0,3600.0,3600.0,True,False,12,0.0,2564.2223005097876,14.0,0.027
S007-WAT-02,Q2-012,S007,B,U06,2672.0530984706365,3600.0,,,False,False,12,0.0,,14.0,0.027
S008-FOD-01,Q2-015,S008,A,U02,3558.1680632861203,10800.0,,,False,False,8,0.0,,8.0,0.028
S008-HYG-01,Q2-020,S008,C,U08,5667.792514514056,14400.0,,,False,False,6,0.0,,6.0,0.035
S008-MED-01,Q2-020,S008,C,U08,5595.792514514056,7200.0,7200.0,7200.0,True,True,20,0.0,1604.2074854859438,3.0,0.012
S008-WAT-01,Q2-020,S008,C,U08,5631.792514514056,7200.0,7200.0,7200.0,True,False,10,0.0,1568.2074854859438,14.0,0.027
S008-WAT-02,Q2-015,S008,A,U02,3528.1680632861203,7200.0,,,False,False,10,0.0,,14.0,0.027
S009-FOD-01,Q2-017,S009,B,U06,4303.36166450523,14400.0,,,False,False,6,0.0,,8.0,0.028
S009-MED-01,Q2-017,S009,B,U06,4243.36166450523,10800.0,10800.0,10800.0,True,True,16,0.0,6556.63833549477,3.0,0.012
S009-WAT-01,Q2-017,S009,B,U06,4273.36166450523,10800.0,10800.0,10800.0,True,False,8,0.0,6526.63833549477,14.0,0.027
S010-FOD-01,Q2-016,S010,B,U05,3480.9181766605634,7200.0,,,False,False,10,0.0,,8.0,0.028
S010-MED-01,Q2-016,S010,B,U05,3420.9181766605634,3600.0,3600.0,3600.0,True,True,24,0.0,179.0818233394366,3.0,0.012
S010-WAT-01,Q2-016,S010,B,U05,3450.9181766605634,3600.0,3600.0,3600.0,True,False,12,0.0,149.0818233394366,14.0,0.027
S011-FOD-01,Q2-009,S011,B,U05,2113.6681576274204,14400.0,,,False,False,6,0.0,,8.0,0.028
S011-MED-01,Q2-009,S011,B,U05,2053.6681576274204,10800.0,10800.0,10800.0,True,True,16,0.0,8746.33184237258,3.0,0.012
S011-WAT-01,Q2-009,S011,B,U05,2083.6681576274204,10800.0,10800.0,10800.0,True,False,8,0.0,8716.33184237258,14.0,0.027
S012-FOD-01,Q2-019,S012,A,U04,5026.120446912402,7200.0,,,False,False,10,0.0,,8.0,0.028
S012-MED-01,Q2-002,S012,A,U02,1334.475036821724,7200.0,3600.0,3600.0,True,True,22,0.0,2265.5249631782763,3.0,0.012
S012-WAT-01,Q2-002,S012,A,U02,1304.475036821724,3600.0,3600.0,3600.0,True,False,12,0.0,2295.5249631782763,14.0,0.027
S013-FOD-01,Q2-019,S013,A,U04,4517.219453913051,7200.0,,,False,False,10,0.0,,8.0,0.028
S013-MED-01,Q2-001,S013,A,U01,1083.590202171553,3600.0,3600.0,3600.0,True,True,24,0.0,2516.409797828447,3.0,0.012
S013-WAT-01,Q2-001,S013,A,U01,1113.590202171553,3600.0,3600.0,3600.0,True,False,12,0.0,2486.409797828447,14.0,0.027
S014-FOD-01,Q2-010,S014,A,U04,2586.239766617954,7200.0,,,False,False,10,0.0,,8.0,0.028
S014-MED-01,Q2-001,S014,A,U01,1687.631141202007,7200.0,3600.0,3600.0,True,True,22,0.0,1912.368858797993,3.0,0.012
S014-WAT-01,Q2-010,S014,A,U04,2556.239766617954,3600.0,3600.0,3600.0,True,False,12,0.0,1043.760233382046,14.0,0.027
S015-FOD-01,Q2-018,S015,A,U01,4633.538953520842,14400.0,,,False,False,6,0.0,,8.0,0.028
S015-MED-01,Q2-021,S015,B,U05,5678.889905554367,7200.0,7200.0,7200.0,True,True,18,0.0,1521.110094445633,3.0,0.012
S015-WAT-01,Q2-018,S015,A,U01,4603.538953520842,10800.0,10800.0,10800.0,True,False,8,0.0,6196.461046479158,14.0,0.027
