resource_type,resource_id,trip_id,phase,start_s,end_s
drone,U01,Q2-001,prepare_load,0.0,390.0
drone,U01,Q2-001,climb,390.0,480.4939412434896
drone,U01,Q2-001,cruise,480.4939412434896,884.5974726793655
drone,U01,Q2-001,descent,884.5974726793655,903.5902021715531
drone,U01,Q2-001,handoff,903.5902021715531,1113.590202171553
drone,U01,Q2-001,climb,1113.590202171553,1174.1103071520217
drone,U01,Q2-001,cruise,1174.1103071520217,1434.7270152254446
drone,U01,Q2-001,descent,1434.7270152254446,1507.631141202007
drone,U01,Q2-001,handoff,1507.631141202007,1687.631141202007
drone,U01,Q2-001,climb,1687.631141202007,1767.9469371004445
drone,U01,Q2-001,cruise,1767.9469371004445,2219.580425284873
drone,U01,Q2-001,descent,2219.580425284873,2405.279380362998
drone,U02,Q2-002,prepare_load,0.0,360.0
drone,U02,Q2-002,climb,360.0,455.20033162434896
drone,U02,Q2-002,cruise,455.20033162434896,1071.0746388725051
drone,U02,Q2-002,descent,1071.0746388725051,1124.475036821724
drone,U02,Q2-002,handoff,1124.475036821724,1334.475036821724
drone,U02,Q2-002,climb,1334.475036821724,1378.975368446073
drone,U02,Q2-002,cruise,1378.975368446073,1994.849675694229
drone,U02,Q2-002,descent,1994.849675694229,2109.090073643448
drone,U03,Q2-003,prepare_load,0.0,360.0
drone,U03,Q2-003,climb,360.0,420.4180847167969
drone,U03,Q2-003,cruise,420.4180847167969,1038.0272893071456
drone,U03,Q2-003,descent,1038.0272893071456,1073.8089909673017
drone,U03,Q2-003,handoff,1073.8089909673017,1283.8089909673017
drone,U03,Q2-003,climb,1283.8089909673017,1313.6270756840986
drone,U03,Q2-003,cruise,1313.6270756840986,1931.2362802744472
drone,U03,Q2-003,descent,1931.2362802744472,2003.7379819346033
drone,U04,Q2-004,prepare_load,0.0,360.0
drone,U04,Q2-004,climb,360.0,439.4659464518229
drone,U04,Q2-004,cruise,439.4659464518229,704.9832946529609
drone,U04,Q2-004,descent,704.9832946529609,725.5024303951484
drone,U04,Q2-004,handoff,725.5024303951484,935.5024303951484
drone,U04,Q2-004,climb,935.5024303951484,952.6017101803046
drone,U04,Q2-004,cruise,952.6017101803046,1218.1190583814425
drone,U04,Q2-004,descent,1218.1190583814425,1313.4781941236301
drone,U05,Q2-005,prepare_load,0.0,360.0
drone,U05,Q2-005,climb,360.0,439.4659464518229
drone,U05,Q2-005,cruise,439.4659464518229,651.8798250127332
drone,U05,Q2-005,descent,651.8798250127332,672.3989607549207
drone,U05,Q2-005,handoff,672.3989607549207,882.3989607549207
drone,U05,Q2-005,climb,882.3989607549207,899.498240540077
drone,U05,Q2-005,cruise,899.498240540077,1111.9121191009874
drone,U05,Q2-005,descent,1111.9121191009874,1207.271254843175
drone,U06,Q2-006,prepare_load,0.0,360.0
drone,U06,Q2-006,climb,360.0,488.0910583496094
drone,U06,Q2-006,cruise,488.0910583496094,790.388429470681
drone,U06,Q2-006,descent,790.388429470681,855.7776994902123
drone,U06,Q2-006,handoff,855.7776994902123,1065.7776994902124
drone,U06,Q2-006,climb,1065.7776994902124,1120.2687578398218
drone,U06,Q2-006,cruise,1120.2687578398218,1422.5661289608934
