trip_id,drone_id,model_id,battery_id,start_s,takeoff_s,visit_order,route,return_s,energy_kwh,return_soc_fraction,initial_soc_fraction,weight_kg,volume_m3,box_count,box_ids,stop_count,flight_time_s,operation_time_s,preparation_load_s,handoff_s
Q2-001,U01,A,A-BAT-01,0.0,360.0,S006,O01→S006→O01,1313.4781941236447,1.311566305818281,0.708540820929271,1.0,17.0,0.039,2,S006-MED-01;S006-WAT-03,1,743.4781941236448,1313.4781941236447,360.0,209.9999999999999
Q2-002,U02,A,A-BAT-02,0.0,390.0,S001,O01→S001→O01,1310.899502077302,1.2643456764217151,0.7190342941285077,1.0,20.0,0.051000000000000004,3,S001-MED-01;S001-MED-02;S001-WAT-07,1,680.899502077302,1310.899502077302,390.0,240.0
Q2-003,U03,A,A-BAT-03,0.0,360.0,S014,O01→S014→O01,1990.4098116554035,2.3694520475020115,0.47345510055510853,1.0,22.0,0.055,2,S014-FOD-01;S014-WAT-01,1,1420.4098116554032,1990.4098116554035,360.0,210.00000000000023
Q2-004,U04,A,A-BAT-04,0.0,330.0,S010,O01→S010→O01,1594.8627275526428,1.9213638848169756,0.5730302478184499,1.0,14.0,0.027,1,S010-WAT-01,1,1084.8627275526428,1594.8627275526428,330.0,180.0
Q2-005,U05,B,B-BAT-01,0.0,360.0,S001,O01→S001→O01,1149.100207293352,1.2204176159657323,0.694895596008567,1.0,28.0,0.054,2,S001-WAT-01;S001-WAT-06,1,579.100207293352,1149.100207293352,360.0,210.0
Q2-006,U06,B,B-BAT-02,0.0,360.0,S006,O01→S006→O01,1207.2712548431866,1.1381508948519672,0.7154622762870082,1.0,20.0,0.062,2,S006-HYG-01;S006-WAT-02,1,637.2712548431866,1207.2712548431866,360.0,210.0
Q2-007,U07,C,C-BAT-01,0.0,450.0,S002,O01→S002→O01,2041.8123848152609,5.721224670857719,0.2848469161427851,1.0,56.0,0.14400000000000002,5,S002-FOD-01;S002-HYG-01;S002-WAT-01;S002-WAT-02;S002-WAT-04,1,1231.8123848152609,2041.8123848152609,450.0,360.0
Q2-008,U08,C,C-BAT-02,0.0,510.0,S001;S013,O01→S001→S013→O01,2190.6157837540723,4.40846429620117,0.4489419629748538,1.0,73.0,0.183,7,S001-HYG-01;S001-WAT-02;S001-WAT-04;S001-WAT-08;S013-FOD-01;S013-MED-01;S013-WAT-01,2,1068.6157837540727,2190.6157837540723,510.0,611.9999999999995
Q2-009,U05,B,B-BAT-03,1149.100207293352,1539.100207293352,S012,O01→S012→O01,3071.8405580374433,2.752414298801489,0.3118964252996278,1.0,25.0,0.067,3,S012-FOD-01;S012-MED-01;S012-WAT-01,1,1292.7403507440913,1922.7403507440913,390.0,240.0
Q2-010,U06,B,B-BAT-04,1207.2712548431866,1567.2712548431866,S001,O01→S001→O01,2356.371462136539,1.2204176159657323,0.694895596008567,1.0,28.0,0.054,2,S001-WAT-03;S001-WAT-05,1,579.100207293352,1149.100207293352,360.0,210.0
