架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2-001,U01,A,A-BAT-01,0.0,S006,1313.4781941236301,1.3115663058182472
Q2-002,U02,A,A-BAT-02,0.0,S001;S010,2091.7773961830108,2.3161522508930688
Q2-003,U03,A,A-BAT-03,0.0,S001,1250.899502077302,1.2823460485526663
Q2-004,U04,A,A-BAT-04,0.0,S009;S002,2275.8147510533395,2.994541769091603
Q2-005,U05,B,B-BAT-01,0.0,S007,1576.2753989804244,1.7008492000163937
Q2-006,U06,B,B-BAT-02,0.0,S006,1207.271254843175,1.2935543907278946
Q2-007,U07,C,C-BAT-01,0.0,S001,1494.1690773291593,2.6647831410542304
Q2-008,U08,C,C-BAT-02,0.0,S001;S009,1970.721163310437,4.04086608407352
Q2-009,U06,B,B-BAT-03,1207.271254843175,S002,2963.965554941639,2.8701526675231785
Q2-010,U03,A,A-BAT-05,1250.899502077302,S010,2905.762229629886,2.0222096116000885
Q2-011,U01,A,A-BAT-06,1313.4781941236301,S007,3040.90227866459,1.9053430084227265
Q2-012,U07,C,C-BAT-03,1494.1690773291593,S013;S012,3997.3276078044464,5.4656838006170405
Q2-013,U05,B,B-BAT-04,1576.2753989804244,S001;S002,3608.7087064743955,2.6711842774882624
Q2-014,U08,C,C-BAT-04,1970.721163310437,S014,4006.010042257085,3.738774296604978
Q2-015,U02,A,A-BAT-03,2121.355027214739,S005;S008;S011,4859.596300818122,3.3204459394307544
Q2-016,U04,A,A-BAT-01,2275.8147510533395,S008,4446.94729046111,3.308433947967875
Q2-017,U06,B,B-BAT-02,2963.965554941639,S008,4865.79699060197,2.76344125526511
Q2-018,U03,A,A-BAT-02,3260.888046441008,S001,4511.78754851831,1.23305047924343
Q2-019,U05,B,B-BAT-01,3608.7087064743955,S002,5365.403006572859,2.3612623728015563
Q2-020,U01,A,A-BAT-04,3640.9045954575804,S003;S015,6244.237012300429,3.2972188590433196
Q2-021,U07,C,C-BAT-01,3997.3276078044464,S007;S003,6690.9200261967635,6.3922093751909035
Q2-022,U08,C,C-BAT-02,4006.010042257085,S005;S004,6653.750675956714,6.238176915430307
Q2-023,U04,A,A-BAT-05,4446.94729046111,S004,6625.747475828294,3.1911204497526224
Q2-024,U03,A,A-BAT-06,4511.78754851831,S005,6203.978008049235,2.1213260052841925
Q2-025,U06,B,B-BAT-03,4874.365044201683,S015,6642.641681628659,2.2032663191627355
Q2-026,U02,A,A-BAT-02,5368.002131410857,S011,6590.025078068736,1.1912986184999868
Q2-027,U05,B,B-BAT-04,5432.888560052643,S006,6640.159814895818,1.0662736390720797
