货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q2-003,S001,908.5730843719844
S001-FOD-02,Q2-018,S001,4139.461130812992
S001-FOD-03,Q2-018,S001,4169.461130812992
S001-HYG-01,Q2-007,S001,1146.2695386645796
S001-HYG-02,Q2-007,S001,1182.2695386645796
S001-MED-01,Q2-013,S001,2433.9488359604334
S001-MED-02,Q2-002,S001,908.5730843719844
S001-WAT-01,Q2-007,S001,1002.2695386645796
S001-WAT-02,Q2-007,S001,1038.2695386645796
S001-WAT-03,Q2-007,S001,1074.2695386645796
S001-WAT-04,Q2-003,S001,878.5730843719844
S001-WAT-05,Q2-008,S001,942.2695386645796
S001-WAT-06,Q2-002,S001,938.5730843719844
S001-WAT-07,Q2-007,S001,1110.2695386645796
S001-WAT-08,Q2-008,S001,978.2695386645796
S002-FOD-01,Q2-019,S002,4738.9958565236275
S002-FOD-02,Q2-013,S002,3012.3015564251637
S002-HYG-01,Q2-019,S002,4768.9958565236275
S002-MED-01,Q2-004,S002,1525.8857600860379
S002-WAT-01,Q2-009,S002,2337.558404892407
S002-WAT-02,Q2-009,S002,2367.558404892407
S002-WAT-03,Q2-004,S002,1555.8857600860379
S002-WAT-04,Q2-013,S002,2982.3015564251637
S003-FOD-01,Q2-021,S003,5828.334351394428
S003-FOD-02,Q2-021,S003,5864.334351394428
S003-HYG-01,Q2-021,S003,5900.334351394428
S003-MED-01,Q2-020,S003,5050.192568171925
S003-WAT-01,Q2-020,S003,5080.192568171925
S003-WAT-02,Q2-021,S003,5720.334351394428
S003-WAT-03,Q2-021,S003,5756.334351394428
S003-WAT-04,Q2-021,S003,5792.334351394428
S004-FOD-01,Q2-023,S004,5817.994049811368
S004-HYG-01,Q2-022,S004,5936.192329715115
S004-MED-01,Q2-022,S004,5828.192329715115
S004-WAT-01,Q2-023,S004,5787.994049811368
S004-WAT-02,Q2-022,S004,5864.192329715115
S004-WAT-03,Q2-022,S004,5900.192329715115
S005-FOD-01,Q2-022,S005,5265.240304519976
S005-HYG-01,Q2-022,S005,5301.240304519976
S005-MED-01,Q2-024,S005,5610.63944495044
S005-WAT-01,Q2-024,S005,5640.63944495044
S005-WAT-02,Q2-015,S005,3250.2069236468674
S005-WAT-03,Q2-022,S005,5229.240304519976
S006-FOD-01,Q2-027,S006,6285.287520807563
S006-HYG-01,Q2-027,S006,6315.287520807563
S006-MED-01,Q2-001,S006,905.5024303951484
S006-WAT-01,Q2-006,S006,852.3989607549207
S006-WAT-02,Q2-006,S006,882.3989607549207
S006-WAT-03,Q2-001,S006,935.5024303951484
S007-FOD-01,Q2-005,S007,1065.7776994902124
S007-HYG-01,Q2-021,S007,5261.070836469464
S007-MED-01,Q2-011,S007,2424.83023639411
S007-WAT-01,Q2-011,S007,2454.83023639411
S007-WAT-02,Q2-005,S007,1035.7776994902124
S008-FOD-01,Q2-016,S008,3641.6076874238915
S008-HYG-01,Q2-017,S008,4195.107939438471
S008-MED-01,Q2-015,S008,3779.1717182847287
S008-WAT-01,Q2-016,S008,3611.6076874238915
S008-WAT-02,Q2-017,S008,4165.107939438471
S009-FOD-01,Q2-008,S009,1482.3221447071373
S009-MED-01,Q2-004,S009,1125.8966159156646
S009-WAT-01,Q2-008,S009,1446.3221447071373
S010-FOD-01,Q2-010,S010,2355.867532520261
S010-MED-01,Q2-002,S010,1541.882699073385
S010-WAT-01,Q2-010,S010,2325.867532520261
S011-FOD-01,Q2-026,S011,6261.200271406463
S011-MED-01,Q2-015,S011,4530.771494155848
S011-WAT-01,Q2-026,S011,6231.200271406463
S012-FOD-01,Q2-012,S012,3308.427266620179
S012-MED-01,Q2-012,S012,3272.427266620179
S012-WAT-01,Q2-012,S012,3236.427266620179
S013-FOD-01,Q2-012,S013,2717.785543835282
S013-MED-01,Q2-012,S013,2645.785543835282
S013-WAT-01,Q2-012,S013,2681.785543835282
S014-FOD-01,Q2-014,S014,3316.200602783761
S014-MED-01,Q2-014,S014,3280.200602783761
S014-WAT-01,Q2-014,S014,3244.200602783761
S015-FOD-01,Q2-025,S015,6031.943362915172
S015-MED-01,Q2-020,S015,5533.3823107266035
S015-WAT-01,Q2-025,S015,6001.943362915172
