battery_id,model_id,trip_id,drone_id,task_start_s,return_s,return_soc_fraction,charge_start_s,charge_end_s,charge_duration_s,charged_soc_fraction
A-BAT-01,A,Q2-001,U01,0.0,1313.4781941236301,0.7085408209292784,1313.4781941236301,2192.375126915568,878.8969327919381,1.0
A-BAT-02,A,Q2-002,U02,0.0,2091.7773961830108,0.4852994998015403,2091.7773961830108,3260.888046441008,1169.1106502579973,1.0
A-BAT-03,A,Q2-003,U03,0.0,1250.899502077302,0.7150342114327408,1250.899502077302,2121.355027214739,870.4555251374369,1.0
A-BAT-04,A,Q2-004,U04,0.0,2275.8147510533395,0.3345462735351993,2275.8147510533395,3640.9045954575804,1365.089844404241,1.0
B-BAT-01,B,Q2-005,U05,0.0,1576.2753989804244,0.5747876999959016,1576.2753989804244,2979.9767189875283,1403.7013200071037,1.0
B-BAT-02,B,Q2-006,U06,0.0,1207.271254843175,0.6766114023180263,1207.271254843175,2434.4781574919293,1227.2069026487543,1.0
C-BAT-01,C,Q2-007,U07,0.0,1494.1690773291593,0.6669021073682212,1494.1690773291593,3049.21451136468,1555.0454340355207,1.0
C-BAT-02,C,Q2-008,U08,0.0,1970.721163310437,0.49489173949081,1970.721163310437,3898.4557277470158,1927.7345644365785,1.0
B-BAT-03,B,Q2-009,U06,1207.271254843175,2963.965554941639,0.28246183311920536,2963.965554941639,4874.365044201683,1910.3994892600442,1.0
A-BAT-05,A,Q2-010,U03,1250.899502077302,2905.762229629886,0.5506200863110915,2905.762229629886,3989.956117425467,1084.193887795581,1.0
A-BAT-06,A,Q2-011,U01,1313.4781941236301,3040.90227866459,0.5765904425727275,3040.90227866459,4091.3347033200444,1050.4324246554543,1.0
C-BAT-03,C,Q2-012,U07,1494.1690773291593,3997.3276078044464,0.31678952492286994,3997.3276078044464,6310.950303804895,2313.6226960004487,1.0
B-BAT-04,B,Q2-013,U05,1576.2753989804244,3608.7087064743955,0.3322039306279344,3608.7087064743955,5432.888560052643,1824.179853578247,1.0
C-BAT-04,C,Q2-014,U08,1970.721163310437,4006.010042257085,0.5326532129243777,4006.010042257085,5851.928080920933,1845.9180386638482,1.0
A-BAT-03,A,Q2-015,U02,2121.355027214739,4859.596300818122,0.26212312457094344,4859.596300818122,6318.836238875895,1459.2399380577738,1.0
A-BAT-01,A,Q2-016,U04,2275.8147510533395,4446.94729046111,0.26479245600713897,4446.94729046111,5902.71709765183,1455.7698071907193,1.0
B-BAT-02,B,Q2-017,U06,2963.965554941639,4865.79699060197,0.30913968618372245,4865.79699060197,6729.954867883517,1864.1578772815476,1.0
A-BAT-02,A,Q2-018,U03,3260.888046441008,4511.78754851831,0.7259887823903488,4511.78754851831,5368.002131410857,856.2145828925466,1.0
B-BAT-01,B,Q2-019,U05,3608.7087064743955,5365.403006572859,0.40968440679961093,5365.403006572859,7055.2833681202,1689.880361547341,1.0
A-BAT-04,A,Q2-020,U01,3640.9045954575804,6244.237012300429,0.26728469799037347,6244.237012300429,7696.766904912944,1452.5298926125145,1.0
C-BAT-01,C,Q2-021,U07,3997.3276078044464,6690.9200261967635,0.20097382810113706,6690.9200261967635,9255.476731977633,2564.5567057808694,1.0
C-BAT-02,C,Q2-022,U08,4006.010042257085,6653.750675956714,0.22022788557121165,6653.750675956714,9176.59025721909,2522.839581262375,1.0
A-BAT-05,A,Q2-023,U04,4446.94729046111,6625.747475828294,0.290862122277195,6625.747475828294,8047.626716867941,1421.8792410396466,1.0
A-BAT-06,A,Q2-024,U03,4511.78754851831,6203.978008049235,0.5285942210479573,6203.978008049235,7316.80552068689,1112.8275126376554,1.0
B-BAT-03,B,Q2-025,U06,4874.365044201683,6642.641681628659,0.4491834202093161,6642.641681628659,8264.057086599178,1621.4154049705187,1.0
A-BAT-02,A,Q2-026,U02,5368.002131410857,6590.025078068736,0.7352669736666696,6590.025078068736,7434.178012302065,844.1529342333296,1.0
B-BAT-04,B,Q2-027,U05,5432.888560052643,6640.159814895818,0.7334315902319801,6640.159814895818,7768.878391827053,1128.7185769312343,1.0
