battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,2,U01;U04,0.26479245600713897,5902.71709765183,2334.6667399826574
A-BAT-02,A,3,U02;U03,0.7352669736666696,7434.178012302065,2869.4781673838734
A-BAT-03,A,2,U02;U03,0.26212312457094344,6318.836238875895,2329.695463195211
A-BAT-04,A,2,U01;U04,0.26728469799037347,7696.766904912944,2817.6197370167556
A-BAT-05,A,2,U03;U04,0.290862122277195,8047.626716867941,2506.0731288352276
A-BAT-06,A,2,U01;U03,0.5285942210479573,7316.80552068689,2163.25993729311
B-BAT-01,B,2,U05,0.40968440679961093,7055.2833681202,3093.581681554445
B-BAT-02,B,2,U06,0.30913968618372245,6729.954867883517,3091.3647799303017
B-BAT-03,B,2,U06,0.4491834202093161,8264.057086599178,3531.814894230563
B-BAT-04,B,2,U05,0.7334315902319801,7768.878391827053,2952.8984305094814
C-BAT-01,C,2,U07,0.20097382810113706,9255.476731977633,4119.60213981639
C-BAT-02,C,2,U08,0.22022788557121165,9176.59025721909,4450.5741456989535
C-BAT-03,C,1,U07,0.31678952492286994,6310.950303804895,2313.6226960004487
C-BAT-04,C,1,U08,0.5326532129243777,5851.928080920933,1845.9180386638482
