box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S001-FOD-01,Q2-003,S001,A,U03,908.5730843719844,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-02,Q2-018,S001,A,U03,4139.461130812992,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-03,Q2-018,S001,A,U03,4169.461130812992,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-HYG-01,Q2-007,S001,C,U07,1146.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-HYG-02,Q2-007,S001,C,U07,1182.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-MED-01,Q2-013,S001,B,U05,2433.9488359604334,3600.0,3600.0,3600.0,True,True,24,0.0,1166.0511640395666,3.0,0.012
S001-MED-02,Q2-002,S001,A,U02,908.5730843719844,3600.0,3600.0,,False,True,24,0.0,2691.4269156280156,3.0,0.012
S001-WAT-01,Q2-007,S001,C,U07,1002.2695386645796,3600.0,3600.0,3600.0,True,False,12,0.0,2597.7304613354204,14.0,0.027
S001-WAT-02,Q2-007,S001,C,U07,1038.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-03,Q2-007,S001,C,U07,1074.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-04,Q2-003,S001,A,U03,878.5730843719844,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-05,Q2-008,S001,C,U08,942.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-06,Q2-002,S001,A,U02,938.5730843719844,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-07,Q2-007,S001,C,U07,1110.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-08,Q2-008,S001,C,U08,978.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-FOD-01,Q2-019,S002,B,U05,4738.9958565236275,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-FOD-02,Q2-013,S002,B,U05,3012.3015564251637,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-HYG-01,Q2-019,S002,B,U05,4768.9958565236275,10800.0,,,False,False,8,0.0,,6.0,0.035
S002-MED-01,Q2-004,S002,A,U04,1525.8857600860379,3600.0,3600.0,3600.0,True,True,24,0.0,2074.114239913962,3.0,0.012
S002-WAT-01,Q2-009,S002,B,U06,2337.558404892407,3600.0,3600.0,3600.0,True,False,12,0.0,1262.441595107593,14.0,0.027
S002-WAT-02,Q2-009,S002,B,U06,2367.558404892407,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-03,Q2-004,S002,A,U04,1555.8857600860379,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-04,Q2-013,S002,B,U05,2982.3015564251637,3600.0,,,False,False,12,0.0,,14.0,0.027
S003-FOD-01,Q2-021,S003,C,U07,5828.334351394428,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-FOD-02,Q2-021,S003,C,U07,5864.334351394428,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-HYG-01,Q2-021,S003,C,U07,5900.334351394428,14400.0,,,False,False,6,0.0,,6.0,0.035
S003-MED-01,Q2-020,S003,A,U01,5050.192568171925,7200.0,7200.0,7200.0,True,True,20,0.0,2149.807431828075,3.0,0.012
S003-WAT-01,Q2-020,S003,A,U01,5080.192568171925,7200.0,7200.0,7200.0,True,False,10,0.0,2119.807431828075,14.0,0.027
S003-WAT-02,Q2-021,S003,C,U07,5720.334351394428,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-03,Q2-021,S003,C,U07,5756.334351394428,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-04,Q2-021,S003,C,U07,5792.334351394428,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-FOD-01,Q2-023,S004,A,U04,5817.994049811368,10800.0,,,False,False,8,0.0,,8.0,0.028
S004-HYG-01,Q2-022,S004,C,U08,5936.192329715115,14400.0,,,False,False,6,0.0,,6.0,0.035
S004-MED-01,Q2-022,S004,C,U08,5828.192329715115,7200.0,7200.0,7200.0,True,True,20,0.0,1371.8076702848848,3.0,0.012
S004-WAT-01,Q2-023,S004,A,U04,5787.994049811368,7200.0,7200.0,7200.0,True,False,10,0.0,1412.0059501886317,14.0,0.027
S004-WAT-02,Q2-022,S004,C,U08,5864.192329715115,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-WAT-03,Q2-022,S004,C,U08,5900.192329715115,7200.0,,,False,False,10,0.0,,14.0,0.027
S005-FOD-01,Q2-022,S005,C,U08,5265.240304519976,14400.0,,,False,False,6,0.0,,8.0,0.028
S005-HYG-01,Q2-022,S005,C,U08,5301.240304519976,18000.0,,,False,False,4,0.0,,6.0,0.035
S005-MED-01,Q2-024,S005,A,U03,5610.63944495044,10800.0,10800.0,10800.0,True,True,16,0.0,5189.36055504956,3.0,0.012
S005-WAT-01,Q2-024,S005,A,U03,5640.63944495044,10800.0,10800.0,10800.0,True,False,8,0.0,5159.36055504956,14.0,0.027
S005-WAT-02,Q2-015,S005,A,U02,3250.2069236468674,10800.0,,,False,False,8,0.0,,14.0,0.027
