resource_type,resource_id,trip_id,phase,start_s,end_s
drone,U01,Q2-001,prepare_load,0.0,360.0
drone,U01,Q2-001,climb,360.0,439.4659464518229
drone,U01,Q2-001,cruise,439.4659464518229,704.9832946529609
drone,U01,Q2-001,descent,704.9832946529609,725.5024303951484
drone,U01,Q2-001,handoff,725.5024303951484,935.5024303951484
drone,U01,Q2-001,climb,935.5024303951484,952.6017101803046
drone,U01,Q2-001,cruise,952.6017101803046,1218.1190583814425
drone,U01,Q2-001,descent,1218.1190583814425,1313.4781941236301
drone,U02,Q2-002,prepare_load,0.0,390.0
drone,U02,Q2-002,climb,390.0,438.45220336914065
drone,U02,Q2-002,cruise,438.45220336914065,692.9504403290156
drone,U02,Q2-002,descent,692.9504403290156,728.5730843719844
drone,U02,Q2-002,handoff,728.5730843719844,938.5730843719844
drone,U02,Q2-002,climb,938.5730843719844,1020.9329781708125
drone,U02,Q2-002,cruise,1020.9329781708125,1330.0908265147914
drone,U02,Q2-002,descent,1330.0908265147914,1361.882699073385
drone,U02,Q2-002,handoff,1361.882699073385,1541.882699073385
drone,U02,Q2-002,climb,1541.882699073385,1569.894877621562
drone,U02,Q2-002,cruise,1569.894877621562,1968.6027819251979
drone,U02,Q2-002,descent,1968.6027819251979,2091.7773961830103
drone,U03,Q2-003,prepare_load,0.0,360.0
drone,U03,Q2-003,climb,360.0,408.45220336914065
drone,U03,Q2-003,cruise,408.45220336914065,662.9504403290156
drone,U03,Q2-003,descent,662.9504403290156,698.5730843719844
drone,U03,Q2-003,handoff,698.5730843719844,908.5730843719844
drone,U03,Q2-003,climb,908.5730843719844,938.2586210744583
drone,U03,Q2-003,cruise,938.2586210744583,1192.7568580343334
drone,U03,Q2-003,descent,1192.7568580343334,1250.8995020773023
drone,U04,Q2-004,prepare_load,0.0,390.0
drone,U04,Q2-004,climb,390.0,445.1763041178385
drone,U04,Q2-004,cruise,445.1763041178385,920.6050509742583
drone,U04,Q2-004,descent,920.6050509742583,945.8966159156646
drone,U04,Q2-004,handoff,945.8966159156646,1125.8966159156646
drone,U04,Q2-004,climb,1125.8966159156646,1158.6588331194407
drone,U04,Q2-004,cruise,1158.6588331194407,1302.3710994415067
drone,U04,Q2-004,descent,1302.3710994415067,1345.8857600860379
drone,U04,Q2-004,handoff,1345.8857600860379,1555.8857600860379
drone,U04,Q2-004,climb,1555.8857600860379,1585.7038448028347
drone,U04,Q2-004,cruise,1585.7038448028347,2203.313049393183
drone,U04,Q2-004,descent,2203.313049393183,2275.8147510533395
drone,U05,Q2-005,prepare_load,0.0,360.0
drone,U05,Q2-005,climb,360.0,488.0910583496094
drone,U05,Q2-005,cruise,488.0910583496094,790.388429470681
drone,U05,Q2-005,descent,790.388429470681,855.7776994902123
drone,U05,Q2-005,handoff,855.7776994902123,1065.7776994902124
drone,U05,Q2-005,climb,1065.7776994902124,1120.2687578398218
drone,U05,Q2-005,cruise,1120.2687578398218,1422.5661289608934
