battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,0,,1.0,0.0,0
A-BAT-02,A,0,,1.0,0.0,0
A-BAT-03,A,0,,1.0,0.0,0
A-BAT-04,A,0,,1.0,0.0,0
A-BAT-05,A,0,,1.0,0.0,0
A-BAT-06,A,0,,1.0,0.0,0
B-BAT-01,B,2,U05;U06,0.30502063300701954,7733.940753222613,3730.6770989351444
B-BAT-02,B,3,U05;U06,0.7315120586411361,9137.33511636152,4183.609791944084
B-BAT-03,B,2,U06,0.4759415663934575,8996.119535108215,3417.517609474431
B-BAT-04,B,2,U05,0.42313679392897763,8483.43176962744,3123.281026362024
C-BAT-01,C,2,U07,0.4722258925616212,8062.657573788694,3733.961127367378
C-BAT-02,C,3,U08,0.27937936060053714,12715.247039232316,6453.285399213119
C-BAT-03,C,2,U08,0.2848469161427851,9961.201865574598,3919.7867284377003
C-BAT-04,C,2,U07,0.6353022115522805,9826.05652389968,4123.2642967574275
