box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S001-FOD-01,Q2-004,S001,C,U08,1272.2695386645796,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-02,Q2-004,S001,C,U08,1308.2695386645796,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-03,Q2-004,S001,C,U08,1344.2695386645796,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-HYG-01,Q2-004,S001,C,U08,1380.2695386645796,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-HYG-02,Q2-016,S001,C,U07,7890.645110265041,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-MED-01,Q2-004,S001,C,U08,1092.2695386645796,3600.0,3600.0,3600.0,True,True,24,0.0,2507.7304613354204,3.0,0.012
S001-MED-02,Q2-004,S001,C,U08,1128.2695386645796,3600.0,3600.0,,False,True,24,0.0,2471.7304613354204,3.0,0.012
S001-WAT-01,Q2-004,S001,C,U08,1164.2695386645796,3600.0,3600.0,3600.0,True,False,12,0.0,2435.7304613354204,14.0,0.027
S001-WAT-02,Q2-004,S001,C,U08,1200.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-03,Q2-004,S001,C,U08,1236.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-04,Q2-016,S001,C,U07,7710.645110265041,3600.0,,,False,False,12,4110.645110265041,,14.0,0.027
S001-WAT-05,Q2-016,S001,C,U07,7746.645110265041,3600.0,,,False,False,12,4146.645110265041,,14.0,0.027
S001-WAT-06,Q2-016,S001,C,U07,7782.645110265041,3600.0,,,False,False,12,4182.645110265041,,14.0,0.027
S001-WAT-07,Q2-016,S001,C,U07,7818.645110265041,3600.0,,,False,False,12,4218.645110265041,,14.0,0.027
S001-WAT-08,Q2-016,S001,C,U07,7854.645110265041,3600.0,,,False,False,12,4254.645110265041,,14.0,0.027
S002-FOD-01,Q2-006,S002,B,U06,3090.043566430846,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-FOD-02,Q2-014,S002,C,U08,6921.8739914763355,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-HYG-01,Q2-014,S002,C,U08,6957.8739914763355,10800.0,,,False,False,8,0.0,,6.0,0.035
S002-MED-01,Q2-006,S002,B,U06,3030.043566430846,3600.0,3600.0,3600.0,True,True,24,0.0,569.9564335691539,3.0,0.012
S002-WAT-01,Q2-006,S002,B,U06,3060.043566430846,3600.0,3600.0,3600.0,True,False,12,0.0,539.9564335691539,14.0,0.027
S002-WAT-02,Q2-014,S002,C,U08,6813.8739914763355,3600.0,,,False,False,12,3213.8739914763355,,14.0,0.027
S002-WAT-03,Q2-014,S002,C,U08,6849.8739914763355,3600.0,,,False,False,12,3249.8739914763355,,14.0,0.027
S002-WAT-04,Q2-014,S002,C,U08,6885.8739914763355,3600.0,,,False,False,12,3285.8739914763355,,14.0,0.027
S003-FOD-01,Q2-011,S003,B,U06,5130.3548653297585,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-FOD-02,Q2-018,S003,C,U08,9493.983312397857,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-HYG-01,Q2-018,S003,C,U08,9529.983312397857,14400.0,,,False,False,6,0.0,,6.0,0.035
