resource_type,resource_id,trip_id,phase,start_s,end_s
drone,U05,Q2-001,prepare_load,0.0,390.0
drone,U05,Q2-001,climb,390.0,485.20033162434896
drone,U05,Q2-001,cruise,485.20033162434896,977.899777422827
drone,U05,Q2-001,descent,977.899777422827,1031.3001753720457
drone,U05,Q2-001,handoff,1031.3001753720457,1271.3001753720457
drone,U05,Q2-001,climb,1271.3001753720457,1315.8005069963947
drone,U05,Q2-001,cruise,1315.8005069963947,1808.4999527948728
drone,U05,Q2-001,descent,1808.4999527948728,1922.7403507440915
drone,U06,Q2-002,prepare_load,0.0,390.0
drone,U06,Q2-002,climb,390.0,544.7491292317709
drone,U06,Q2-002,cruise,544.7491292317709,906.0559197793489
drone,U06,Q2-002,descent,906.0559197793489,1002.4348748574739
drone,U06,Q2-002,handoff,1002.4348748574739,1242.434874857474
drone,U06,Q2-002,climb,1242.434874857474,1322.7506707559114
drone,U06,Q2-002,cruise,1322.7506707559114,1684.0574613034894
drone,U06,Q2-002,descent,1684.0574613034894,1869.7564163816144
drone,U07,Q2-003,prepare_load,0.0,450.0
drone,U07,Q2-003,climb,450.0,603.7092700195312
drone,U07,Q2-003,cruise,603.7092700195312,906.0066411405321
drone,U07,Q2-003,descent,906.0066411405321,987.7432286649462
drone,U07,Q2-003,handoff,987.7432286649462,1347.7432286649462
drone,U07,Q2-003,climb,1347.7432286649462,1413.1324986844775
drone,U07,Q2-003,cruise,1413.1324986844775,1715.4298698054783
drone,U07,Q2-003,descent,1715.4298698054783,1907.5664573298925
drone,U08,Q2-004,prepare_load,0.0,570.0
drone,U08,Q2-004,climb,570.0,628.1426440429688
drone,U08,Q2-004,cruise,628.1426440429688,831.7412336108687
drone,U08,Q2-004,descent,831.7412336108687,876.2695386645796
drone,U08,Q2-004,handoff,876.2695386645796,1380.2695386645796
drone,U08,Q2-004,climb,1380.2695386645796,1415.8921827075483
drone,U08,Q2-004,cruise,1415.8921827075483,1619.4907722754483
drone,U08,Q2-004,descent,1619.4907722754483,1692.1690773291593
drone,U08,Q2-005,prepare_load,1692.1690773291593,2172.1690773291593
drone,U08,Q2-005,climb,2172.1690773291593,2267.5282130713467
drone,U08,Q2-005,cruise,2267.5282130713467,2479.942091632263
drone,U08,Q2-005,descent,2479.942091632263,2505.591011309997
drone,U08,Q2-005,handoff,2505.591011309997,2901.591011309997
drone,U08,Q2-005,climb,2901.591011309997,2922.110147052185
drone,U08,Q2-005,cruise,2922.110147052185,3134.524025613101
drone,U08,Q2-005,descent,3134.524025613101,3253.7229452908355
drone,U06,Q2-006,prepare_load,1869.7564163816144,2259.756416381614
drone,U06,Q2-006,climb,2259.756416381614,2320.174501098411
drone,U06,Q2-006,cruise,2320.174501098411,2814.26186477069
drone,U06,Q2-006,descent,2814.26186477069,2850.043566430846
drone,U06,Q2-006,handoff,2850.043566430846,3090.043566430846
drone,U06,Q2-006,climb,3090.043566430846,3119.861651147643
drone,U06,Q2-006,cruise,3119.861651147643,3613.949014819922
drone,U06,Q2-006,descent,3613.949014819922,3686.4507164800784
drone,U07,Q2-007,prepare_load,1907.5664573298927,2387.5664573298927
drone,U07,Q2-007,climb,2387.5664573298927,2495.782123833799
drone,U07,Q2-007,cruise,2495.782123833799,3010.09522044161
drone,U07,Q2-007,descent,3010.09522044161,3095.0648035714926
drone,U07,Q2-007,handoff,3095.0648035714926,3491.0648035714926
drone,U07,Q2-007,climb,3491.0648035714926,3559.040470075399
drone,U07,Q2-007,cruise,3559.040470075399,4073.35356668321
drone,U07,Q2-007,descent,4073.35356668321,4208.623149813093
drone,U05,Q2-008,prepare_load,1922.7403507440913,2312.7403507440913
drone,U05,Q2-008,climb,2312.7403507440913,2415.385862625602
drone,U05,Q2-008,cruise,2415.385862625602,2734.352186068534
drone,U05,Q2-008,descent,2734.352186068534,2767.966800326347
drone,U05,Q2-008,handoff,2767.966800326347,3007.966800326347
drone,U05,Q2-008,climb,3007.966800326347,3035.978978874524
drone,U05,Q2-008,cruise,3035.978978874524,3354.945302317456
drone,U05,Q2-008,descent,3354.945302317456,3478.1199165752687
drone,U08,Q2-009,prepare_load,3336.8565859832433,3786.8565859832433
drone,U08,Q2-009,climb,3786.8565859832433,3884.9403188933998
drone,U08,Q2-009,cruise,3884.9403188933998,4423.542526388279
drone,U08,Q2-009,descent,4423.542526388279,4474.547192525974
drone,U08,Q2-009,handoff,4474.547192525974,4834.547192525974
drone,U08,Q2-009,climb,4834.547192525974,4875.350925436131
drone,U08,Q2-009,cruise,4875.350925436131,5413.95313293101
drone,U08,Q2-009,descent,5413.95313293101,5536.557799068705
drone,U05,Q2-010,prepare_load,3478.119916575268,3868.119916575268
drone,U05,Q2-010,climb,3868.119916575268,3958.6138578187574
drone,U05,Q2-010,cruise,3958.6138578187574,4281.896682967458
drone,U05,Q2-010,descent,4281.896682967458,4300.889412459645
drone,U05,Q2-010,handoff,4300.889412459645,4540.889412459645
drone,U05,Q2-010,climb,4540.889412459645,4556.716687036468
drone,U05,Q2-010,cruise,4556.716687036468,4879.999512185169
drone,U05,Q2-010,descent,4879.999512185169,4988.5922416773565
drone,U06,Q2-011,prepare_load,3782.1198802247363,4172.119880224736
drone,U06,Q2-011,climb,4172.119880224736,4316.821259619268
drone,U06,Q2-011,cruise,4316.821259619268,4801.033210056321
drone,U06,Q2-011,descent,4801.033210056321,4890.3548653297585
drone,U06,Q2-011,handoff,4890.3548653297585,5130.3548653297585
drone,U06,Q2-011,climb,5130.3548653297585,5204.789578057623
drone,U06,Q2-011,cruise,5204.789578057623,5689.001528494676
drone,U06,Q2-011,descent,5689.001528494676,5862.643183768113
drone,U07,Q2-012,prepare_load,4208.623149813093,4688.623149813093
drone,U07,Q2-012,climb,4688.623149813093,4768.107505281843
drone,U07,Q2-012,cruise,4768.107505281843,5120.147967740047
drone,U07,Q2-012,descent,5120.147967740047,5185.853412075984
drone,U07,Q2-012,handoff,5185.853412075984,5581.853412075984
drone,U07,Q2-012,climb,5581.853412075984,5634.4177675447345
drone,U07,Q2-012,cruise,5634.4177675447345,5986.458230002938
drone,U07,Q2-012,descent,5986.458230002938,6085.813674338875
drone,U05,Q2-013,prepare_load,4988.592241677357,5378.592241677357
drone,U05,Q2-013,climb,5378.592241677357,5526.625326801055
drone,U05,Q2-013,cruise,5526.625326801055,5927.250858242408
drone,U05,Q2-013,descent,5927.250858242408,5966.170560390846
drone,U05,Q2-013,handoff,5966.170560390846,6206.170560390846
drone,U05,Q2-013,climb,6206.170560390846,6238.603645514544
drone,U05,Q2-013,cruise,6238.603645514544,6639.229176955897
drone,U05,Q2-013,descent,6639.229176955897,6816.868879104334
drone,U08,Q2-014,prepare_load,5536.557799068705,5986.557799068705
drone,U08,Q2-014,climb,5986.557799068705,6059.059500728861
drone,U08,Q2-014,cruise,6059.059500728861,6553.14686440114
drone,U08,Q2-014,descent,6553.14686440114,6597.8739914763355
drone,U08,Q2-014,handoff,6597.8739914763355,6957.8739914763355
drone,U08,Q2-014,climb,6957.8739914763355,6993.655693136492
drone,U08,Q2-014,cruise,6993.655693136492,7487.743056808771
drone,U08,Q2-014,descent,7487.743056808771,7578.370183883966
drone,U06,Q2-015,prepare_load,5862.643183768114,6252.643183768114
drone,U06,Q2-015,climb,6252.643183768114,6307.819487885952
drone,U06,Q2-015,cruise,6307.819487885952,6688.162485371088
drone,U06,Q2-015,descent,6688.162485371088,6713.4540503124945
drone,U06,Q2-015,handoff,6713.4540503124945,6953.4540503124945
drone,U06,Q2-015,climb,6953.4540503124945,6974.530354430333
drone,U06,Q2-015,cruise,6974.530354430333,7354.873351915469
drone,U06,Q2-015,descent,7354.873351915469,7421.084916856876
drone,U07,Q2-016,prepare_load,6708.375571600462,7188.375571600462
drone,U07,Q2-016,climb,7188.375571600462,7246.51821564343
drone,U07,Q2-016,cruise,7246.51821564343,7450.11680521133
drone,U07,Q2-016,descent,7450.11680521133,7494.645110265041
drone,U07,Q2-016,handoff,7494.645110265041,7890.645110265041
drone,U07,Q2-016,climb,7890.645110265041,7926.26775430801
drone,U07,Q2-016,cruise,7926.26775430801,8129.8663438759095
drone,U07,Q2-016,descent,8129.8663438759095,8202.544648929621
drone,U05,Q2-017,prepare_load,6816.868879104333,7206.868879104333
drone,U05,Q2-017,climb,7206.868879104333,7262.756130894698
drone,U05,Q2-017,cruise,7262.756130894698,7449.961079740141
drone,U05,Q2-017,descent,7449.961079740141,7483.265781888578
drone,U05,Q2-017,handoff,7483.265781888578,7723.265781888578
drone,U05,Q2-017,climb,7723.265781888578,7751.01970034561
drone,U05,Q2-017,cruise,7751.01970034561,7938.224649191053
drone,U05,Q2-017,descent,7938.224649191053,8005.28935133949
drone,U08,Q2-018,prepare_load,7950.477637595571,8400.47763759557
drone,U08,Q2-018,climb,8400.47763759557,8574.119292869007
drone,U08,Q2-018,cruise,8574.119292869007,9058.33124330606
drone,U08,Q2-018,descent,9058.33124330606,9169.983312397857
drone,U08,Q2-018,handoff,9169.983312397857,9529.983312397857
drone,U08,Q2-018,climb,9529.983312397857,9619.304967671294
drone,U08,Q2-018,cruise,9619.304967671294,10103.516918108347
drone,U08,Q2-018,descent,10103.516918108347,10320.568987200144
