trip_id,drone_id,model_id,battery_id,start_s,takeoff_s,visit_order,route,return_s,energy_kwh,return_soc_fraction,initial_soc_fraction,weight_kg,volume_m3,box_count,box_ids,stop_count,flight_time_s,operation_time_s,preparation_load_s,handoff_s
Q2-001,U05,B,B-BAT-01,0.0,390.0,S012,O01→S012→O01,1922.7403507440913,2.752414298801489,0.3118964252996278,1.0,25.0,0.067,3,S012-FOD-01;S012-MED-01;S012-WAT-01,1,1292.7403507440913,1922.7403507440913,390.0,240.0
Q2-002,U06,B,B-BAT-02,0.0,390.0,S014,O01→S014→O01,1869.7564163816144,2.14038848210759,0.4649028794731025,1.0,25.0,0.067,3,S014-FOD-01;S014-MED-01;S014-WAT-01,1,1239.7564163816144,1869.7564163816144,390.0,240.0
Q2-003,U07,C,C-BAT-01,0.0,450.0,S007,O01→S007→O01,1907.5664573298927,3.4108943800032887,0.573638202499589,1.0,45.0,0.129,5,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,1,1097.5664573298925,1907.5664573298927,450.0,360.0000000000002
Q2-004,U08,C,C-BAT-02,0.0,570.0,S001,O01→S001→O01,1692.1690773291593,2.995769262722773,0.6255288421596534,1.0,78.0,0.224,9,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,1,618.1690773291593,1692.1690773291593,570.0,504.0
Q2-005,U08,C,C-BAT-03,1692.1690773291593,2172.1690773291593,S006,O01→S006→O01,3253.722945290836,2.597987864912252,0.6752515168859685,1.0,59.0,0.156,6,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,1,685.5538679616764,1561.5538679616764,480.0,396.0
Q2-006,U06,B,B-BAT-03,1869.7564163816144,2259.756416381614,S002,O01→S002→O01,3686.450716480079,2.713422287437903,0.3216444281405243,1.0,25.0,0.067,3,S002-FOD-01;S002-MED-01;S002-WAT-01,1,1186.6943000984643,1816.6943000984643,390.0,240.0
Q2-007,U07,C,C-BAT-04,1907.5664573298927,2387.5664573298927,S004,O01→S004→O01,4208.623149813093,6.152932018907208,0.230883497636599,1.0,59.0,0.156,6,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,1,1425.0566924832003,2301.0566924832005,480.0,396.0000000000002
Q2-008,U05,B,B-BAT-04,1922.7403507440913,2312.7403507440913,S010,O01→S010→O01,3478.119916575268,1.8231956980898127,0.5442010754775468,1.0,25.0,0.067,3,S010-FOD-01;S010-MED-01;S010-WAT-01,1,925.3795658311767,1555.3795658311767,390.0,240.0
Q2-009,U08,C,C-BAT-02,3336.8565859832433,3786.8565859832433,S008,O01→S008→O01,5536.557799068705,5.8360117114838115,0.27049853606452356,1.0,45.0,0.129,5,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,1,1389.7012130854614,2199.7012130854614,450.0,360.0
Q2-010,U05,B,B-BAT-02,3478.119916575268,3868.119916575268,S013,O01→S013→O01,4988.592241677357,1.8247592723279171,0.5438101819180208,1.0,25.0,0.067,3,S013-FOD-01;S013-MED-01;S013-WAT-01,1,880.4723251020889,1510.4723251020891,390.0,240.00000000000023
Q2-011,U06,B,B-BAT-01,3782.1198802247363,4172.119880224736,S003,O01→S003→O01,5862.643183768114,2.779917467971922,0.30502063300701954,1.0,25.0,0.067,3,S003-FOD-01;S003-MED-01;S003-WAT-01,1,1450.523303543377,2080.523303543377,390.0,240.0
Q2-012,U07,C,C-BAT-01,4208.623149813093,4688.623149813093,S005,O01→S005→O01,6085.813674338873,4.222192859507031,0.4722258925616212,1.0,59.0,0.156,6,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,1,1001.190524525781,1877.1905245257808,480.0,395.9999999999998
Q2-013,U05,B,B-BAT-04,4988.592241677357,5378.592241677357,S015,O01→S015→O01,6816.868879104333,2.3074528242840895,0.42313679392897763,1.0,25.0,0.067,3,S015-FOD-01;S015-MED-01;S015-WAT-01,1,1198.2766374269763,1828.276637426976,390.0,239.99999999999977
Q2-014,U08,C,C-BAT-03,5536.557799068705,5986.557799068705,S002,O01→S002→O01,7578.370183883966,5.721224670857719,0.2848469161427851,1.0,56.0,0.14400000000000002,5,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,1,1231.8123848152609,2041.8123848152609,450.0,360.0
Q2-015,U06,B,B-BAT-03,5862.643183768114,6252.643183768114,S009,O01→S009→O01,7421.084916856875,2.09623373442617,0.4759415663934575,1.0,25.0,0.067,3,S009-FOD-01;S009-MED-01;S009-WAT-01,1,928.4417330887609,1558.4417330887609,390.0,240.0
Q2-016,U07,C,C-BAT-04,6708.375571600462,7188.375571600462,S001,O01→S001→O01,8202.544648929621,2.917582307581756,0.6353022115522805,1.0,76.0,0.17,6,S001-HYG-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,1,618.1690773291593,1494.1690773291593,480.0,396.0
Q2-017,U05,B,B-BAT-02,6816.868879104333,7206.868879104333,S011,O01→S011→O01,8005.28935133949,1.0739517654354556,0.7315120586411361,1.0,25.0,0.067,3,S011-FOD-01;S011-MED-01;S011-WAT-01,1,558.420472235157,1188.420472235157,390.0,239.9999999999999
Q2-018,U08,C,C-BAT-02,7950.477637595571,8400.47763759557,S003,O01→S003→O01,10320.568987200146,5.764965115195703,0.27937936060053714,1.0,56.0,0.14400000000000002,5,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,1,1560.091349604575,2370.091349604575,450.0,360.0
