box_id,trip_id,recomputed_completion_s,exported_completion_s,error_s,is_medical,is_first_batch,expected_s,hard_deadline_s,hard_slack_s,tardiness_s,priority
S006-WAT-01,Q2-001,875.5024303951484,875.5024303951484,0.0,False,True,3600.0,3600.0,2724.4975696048514,0,12
S012-WAT-01,Q2-002,1334.4750368217237,1334.475036821724,2.2737367544323206e-13,False,True,3600.0,3600.0,2265.5249631782763,0,12
S012-MED-01,Q2-002,1364.4750368217237,1364.475036821724,2.2737367544323206e-13,True,True,7200.0,3600.0,2235.5249631782763,0,22
S001-MED-02,Q2-002,2088.521711918844,2088.5217119188446,4.547473508864641e-13,True,False,3600.0,3600.0,1511.4782880811558,0,24
S013-WAT-01,Q2-003,1053.590202171553,1053.590202171553,0.0,False,True,3600.0,3600.0,2546.409797828447,0,12
S013-FOD-01,Q2-003,1083.590202171553,1083.590202171553,0.0,False,False,7200.0,,,0,10
S006-WAT-03,Q2-004,905.5024303951484,905.5024303951484,0.0,False,False,3600.0,,,0,12
S006-FOD-01,Q2-004,935.5024303951484,935.5024303951484,0.0,False,False,7200.0,,,0,10
S010-MED-01,Q2-005,1025.2264495822315,1025.2264495822315,0.0,True,True,3600.0,3600.0,2574.7735504177685,0,24
S010-WAT-01,Q2-005,1055.2264495822315,1055.2264495822315,0.0,False,True,3600.0,3600.0,2544.7735504177685,0,12
S010-FOD-01,Q2-005,1085.2264495822315,1085.2264495822315,0.0,False,False,7200.0,,,0,10
S007-WAT-02,Q2-006,1065.7776994902122,1065.7776994902124,2.2737367544323206e-13,False,False,3600.0,,,0,12
S007-FOD-01,Q2-006,1095.7776994902122,1095.7776994902124,2.2737367544323206e-13,False,False,7200.0,,,0,10
S015-MED-01,Q2-006,1486.5750177375123,1486.5750177375126,2.2737367544323206e-13,True,True,7200.0,7200.0,5713.424982262488,0,18
S001-WAT-01,Q2-007,1002.2695386645796,1002.2695386645796,0.0,False,True,3600.0,3600.0,2597.7304613354204,0,12
S001-WAT-03,Q2-007,1038.2695386645796,1038.2695386645796,0.0,False,False,3600.0,,,0,12
S001-WAT-05,Q2-007,1074.2695386645796,1074.2695386645796,0.0,False,False,3600.0,,,0,12
S001-WAT-06,Q2-007,1110.2695386645796,1110.2695386645796,0.0,False,False,3600.0,,,0,12
S001-FOD-03,Q2-007,1146.2695386645796,1146.2695386645796,0.0,False,False,7200.0,,,0,10
S001-HYG-01,Q2-007,1182.2695386645796,1182.2695386645796,0.0,False,False,10800.0,,,0,8
S001-MED-01,Q2-008,1032.2695386645796,1032.2695386645796,0.0,True,True,3600.0,3600.0,2567.7304613354204,0,24
S001-WAT-02,Q2-008,1068.2695386645796,1068.2695386645796,0.0,False,False,3600.0,,,0,12
S001-WAT-04,Q2-008,1104.2695386645796,1104.2695386645796,0.0,False,False,3600.0,,,0,12
S001-WAT-07,Q2-008,1140.2695386645796,1140.2695386645796,0.0,False,False,3600.0,,,0,12
S001-WAT-08,Q2-008,1176.2695386645796,1176.2695386645796,0.0,False,False,3600.0,,,0,12
S001-FOD-01,Q2-008,1212.2695386645796,1212.2695386645796,0.0,False,False,7200.0,,,0,10
S001-HYG-02,Q2-008,1248.2695386645796,1248.2695386645796,0.0,False,False,10800.0,,,0,8
S014-WAT-01,Q2-009,2466.2397666179545,2466.239766617954,4.547473508864641e-13,False,True,3600.0,3600.0,1133.7602333820455,0,12
S014-MED-01,Q2-010,2586.2397666179545,2586.239766617954,4.547473508864641e-13,True,True,7200.0,3600.0,1013.7602333820455,0,22
S014-FOD-01,Q2-010,2616.2397666179545,2616.239766617954,4.547473508864641e-13,False,False,7200.0,,,0,10
S013-MED-01,Q2-010,3190.234038981742,3190.234038981742,0.0,True,True,3600.0,3600.0,409.76596101825817,0,24
S002-MED-01,Q2-011,2801.4852697367896,2801.4852697367896,0.0,True,True,3600.0,3600.0,798.5147302632104,0,24
S002-WAT-01,Q2-011,2837.4852697367896,2837.4852697367896,0.0,False,True,3600.0,3600.0,762.5147302632104,0,12
S002-WAT-02,Q2-011,2873.4852697367896,2873.4852697367896,0.0,False,False,3600.0,,,0,12
S002-WAT-03,Q2-011,2909.4852697367896,2909.4852697367896,0.0,False,False,3600.0,,,0,12
S002-WAT-04,Q2-011,2945.4852697367896,2945.4852697367896,0.0,False,False,3600.0,,,0,12
S002-HYG-01,Q2-011,2981.4852697367896,2981.4852697367896,0.0,False,False,10800.0,,,0,8
S007-WAT-01,Q2-012,2591.157265321342,2591.1572653213416,4.547473508864641e-13,False,True,3600.0,3600.0,1008.842734678658,0,12
S007-HYG-01,Q2-012,2621.157265321342,2621.1572653213416,4.547473508864641e-13,False,False,10800.0,,,0,8
S003-WAT-01,Q2-013,3025.6747521314937,3025.6747521314937,0.0,False,True,7200.0,7200.0,4174.325247868506,0,10
S003-WAT-02,Q2-013,3061.6747521314937,3061.6747521314937,0.0,False,False,7200.0,,,0,10
S003-WAT-03,Q2-013,3097.6747521314937,3097.6747521314937,0.0,False,False,7200.0,,,0,10
S003-FOD-01,Q2-013,3133.6747521314937,3133.6747521314937,0.0,False,False,10800.0,,,0,8
S003-FOD-02,Q2-013,3169.6747521314937,3169.6747521314937,0.0,False,False,10800.0,,,0,8
S003-HYG-01,Q2-013,3205.6747521314937,3205.6747521314937,0.0,False,False,14400.0,,,0,6
S006-MED-01,Q2-014,2949.672297205921,2949.6722972059215,4.547473508864641e-13,True,True,3600.0,3600.0,650.327702794079,0,24
S006-WAT-02,Q2-014,2979.672297205921,2979.6722972059215,4.547473508864641e-13,False,False,3600.0,,,0,12
S008-WAT-01,Q2-015,3461.6146903344093,3461.6146903344093,0.0,False,True,7200.0,7200.0,3738.3853096655907,0,10
S008-FOD-01,Q2-015,3491.6146903344093,3491.6146903344093,0.0,False,False,10800.0,,,0,8
S007-MED-01,Q2-016,3572.2001718946417,3572.2001718946412,4.547473508864641e-13,True,True,3600.0,3600.0,27.7998281053583,0,24
S003-MED-01,Q2-016,4029.6681570628925,4029.6681570628925,0.0,True,True,7200.0,7200.0,3170.3318429371075,0,20
S003-WAT-04,Q2-016,4059.6681570628925,4059.6681570628925,0.0,False,False,7200.0,,,0,10
S011-MED-01,Q2-017,3978.051867595799,3978.0518675957996,4.547473508864641e-13,True,True,10800.0,10800.0,6821.948132404201,0,16
S011-WAT-01,Q2-017,4008.051867595799,4008.0518675957996,4.547473508864641e-13,False,True,10800.0,10800.0,6791.948132404201,0,8
S011-FOD-01,Q2-017,4038.051867595799,4038.0518675957996,4.547473508864641e-13,False,False,14400.0,,,0,6
S005-MED-01,Q2-018,4312.739902211074,4312.739902211074,0.0,True,True,10800.0,10800.0,6487.260097788926,0,16
S005-WAT-02,Q2-018,4342.739902211074,4342.739902211074,0.0,False,False,10800.0,,,0,8
S004-MED-01,Q2-018,4852.023190032308,4852.023190032309,9.094947017729282e-13,True,True,7200.0,7200.0,2347.976809967692,0,20
S005-WAT-01,Q2-019,4825.211724407311,4825.2117244073115,9.094947017729282e-13,False,True,10800.0,10800.0,5974.788275592689,0,8
S005-WAT-03,Q2-019,4861.211724407311,4861.2117244073115,9.094947017729282e-13,False,False,10800.0,,,0,8
S005-FOD-01,Q2-019,4897.211724407311,4897.2117244073115,9.094947017729282e-13,False,False,14400.0,,,0,6
S005-HYG-01,Q2-019,4933.211724407311,4933.2117244073115,9.094947017729282e-13,False,False,18000.0,,,0,4
S008-MED-01,Q2-019,5468.548206846116,5468.548206846117,9.094947017729282e-13,True,True,7200.0,7200.0,1731.451793153884,0,20
S008-WAT-02,Q2-019,5504.548206846116,5504.548206846117,9.094947017729282e-13,False,False,7200.0,,,0,10
S008-HYG-01,Q2-019,5540.548206846116,5540.548206846117,9.094947017729282e-13,False,False,14400.0,,,0,6
S009-MED-01,Q2-020,4806.84216252615,4806.84216252615,0.0,True,True,10800.0,10800.0,5993.15783747385,0,16
S009-WAT-01,Q2-020,4836.84216252615,4836.84216252615,0.0,False,True,10800.0,10800.0,5963.15783747385,0,8
S012-FOD-01,Q2-020,5291.110003545098,5291.110003545098,0.0,False,False,7200.0,,,0,10
S015-WAT-01,Q2-021,5059.560299840171,5059.560299840171,0.0,False,True,10800.0,10800.0,5740.439700159829,0,8
S015-FOD-01,Q2-021,5089.560299840171,5089.560299840171,0.0,False,False,14400.0,,,0,6
S004-WAT-01,Q2-022,5369.758773175428,5369.758773175429,9.094947017729282e-13,False,True,7200.0,7200.0,1830.2412268245716,0,10
S004-WAT-02,Q2-022,5405.758773175428,5405.758773175429,9.094947017729282e-13,False,False,7200.0,,,0,10
S004-WAT-03,Q2-022,5441.758773175428,5441.758773175429,9.094947017729282e-13,False,False,7200.0,,,0,10
S004-FOD-01,Q2-022,5477.758773175428,5477.758773175429,9.094947017729282e-13,False,False,10800.0,,,0,8
S004-HYG-01,Q2-022,5513.758773175428,5513.758773175429,9.094947017729282e-13,False,False,14400.0,,,0,6
S001-FOD-02,Q2-023,5212.95933137025,5212.95933137025,0.0,False,False,7200.0,,,0,10
S009-FOD-01,Q2-023,5675.59376491832,5675.59376491832,0.0,False,False,14400.0,,,0,6
S002-FOD-01,Q2-024,5577.636335579366,5577.6363355793665,9.094947017729282e-13,False,False,7200.0,,,0,10
S002-FOD-02,Q2-024,5607.636335579366,5607.6363355793665,9.094947017729282e-13,False,False,7200.0,,,0,10
S006-HYG-01,Q2-025,5878.8279826459975,5878.827982645997,9.094947017729282e-13,False,False,10800.0,,,0,8
