constraint,slack,dual
at_least_one_delivery_visit_S001,3.493170511080959,-0.0
at_least_one_delivery_visit_S002,1.1359622785477659,-0.0
at_least_one_delivery_visit_S003,0.5595541078793393,-0.0
at_least_one_delivery_visit_S004,0.4596268330054447,-0.0
at_least_one_delivery_visit_S005,0.10000000000000009,-0.0
at_least_one_delivery_visit_S006,0.0,-2.249063064036908
at_least_one_delivery_visit_S007,0.0,-6.894560795875865
at_least_one_delivery_visit_S008,0.0,-9.126512294075788
at_least_one_delivery_visit_S009,0.0,-11.439070862137264
at_least_one_delivery_visit_S010,0.0,-11.533196042023825
at_least_one_delivery_visit_S011,0.0,-13.307617391531323
at_least_one_delivery_visit_S012,0.0,-16.817431221725574
at_least_one_delivery_visit_S013,0.0,-11.533121261502664
at_least_one_delivery_visit_S014,0.0,-14.127473333918434
at_least_one_delivery_visit_S015,0.0,-13.088654287893604
A_trip_mass,0.0,-1.198727776500885
A_trip_volume,0.0,-410.56702282297107
A_trips_le_visits,0.20248633032851449,-0.0
AS001_visit_mass,0.0,-1.362233819167271
AS001_visit_volume,0.0,-17.881200030174586
AS001_nonempty_visit,2.400000000000001,-0.0
AS002_visit_mass,0.0,-1.285078252188071
AS002_visit_volume,0.01214917981971108,-0.0
AS002_nonempty_visit,2.0099453213140723,-0.0
AS003_visit_mass,0.0,-1.342752022825806
AS003_visit_volume,0.0,-59.15279352969708
AS003_nonempty_visit,0.0,-0.0
AS004_visit_mass,0.0,-1.450098741409759
AS004_visit_volume,0.0,-0.043907815349825796
AS004_nonempty_visit,1.2,-0.0
AS005_visit_mass,0.0,-1.4797413002445925
AS005_visit_volume,0.0,-80.27396139881216
AS005_nonempty_visit,1.2,-0.0
AS006_visit_mass,0.0,-1.5647747150918256
AS006_visit_volume,0.0,-56.562636877426485
AS006_nonempty_visit,0.0,-0.0
AS007_visit_mass,0.0,-0.8067181219388502
AS007_visit_volume,0.0,-136.79248946359604
AS007_nonempty_visit,1.3065764023210833,-0.0
AS008_visit_mass,0.0,-0.8918396700670854
AS008_visit_volume,0.0,-151.91949900917723
AS008_nonempty_visit,1.3065764023210762,-0.0
AS009_visit_mass,0.0,-0.07019414730744361
AS009_visit_volume,0.0,-314.53748747284385
AS009_nonempty_visit,1.4590909090909094,-0.0
AS010_visit_mass,1.7105263157894726,-0.0
AS010_visit_volume,0.0,-352.89449592483766
AS010_nonempty_visit,1.7078947368421051,-0.0
AS011_visit_mass,0.0,-0.13620415185470414
AS011_visit_volume,0.0,-304.22217857795414
AS011_nonempty_visit,1.459090909090909,-0.0
AS012_visit_mass,0.0,-0.15042848530678773
AS012_visit_volume,0.0,-342.7341897422498
AS012_nonempty_visit,1.4590909090909088,-0.0
AS013_visit_mass,1.641105626633852,-0.0
AS013_visit_volume,0.0,-352.8860942491573
AS013_nonempty_visit,1.6977971820558335,-0.0
AS014_visit_mass,1.7105263157894726,-0.0
AS014_visit_volume,0.0,-390.7648626140185
AS014_nonempty_visit,1.7078947368421051,-0.0
AS015_visit_mass,0.0,-0.11723039242138
AS015_visit_volume,0.0,-308.6876495940227
AS015_nonempty_visit,1.459090909090909,-0.0
A_airframe_workload,0.0,-0.08683215929683574
B_trip_mass,0.0,-1.420916526342293
B_trip_volume,0.0,-283.6414798665527
B_trips_le_visits,0.28777317438840294,-0.0
