variable,value
"('box_fraction', 'A', 'S001-FOD-01')",0.0
"('box_fraction', 'A', 'S001-FOD-02')",0.0
"('box_fraction', 'A', 'S001-FOD-03')",0.0
"('box_fraction', 'A', 'S001-HYG-01')",0.0
"('box_fraction', 'A', 'S001-HYG-02')",0.0
"('box_fraction', 'A', 'S001-MED-01')",1.0
"('box_fraction', 'A', 'S001-MED-02')",1.0
"('box_fraction', 'A', 'S001-WAT-01')",0.05970149253731347
"('box_fraction', 'A', 'S001-WAT-02')",1.0
"('box_fraction', 'A', 'S001-WAT-03')",0.0
"('box_fraction', 'A', 'S001-WAT-04')",0.3948439620081427
"('box_fraction', 'A', 'S001-WAT-05')",0.0
"('box_fraction', 'A', 'S001-WAT-06')",0.0
"('box_fraction', 'A', 'S001-WAT-07')",0.0
"('box_fraction', 'A', 'S001-WAT-08')",0.0
"('box_fraction', 'A', 'S002-FOD-01')",0.0
"('box_fraction', 'A', 'S002-FOD-02')",0.0
"('box_fraction', 'A', 'S002-HYG-01')",0.0
"('box_fraction', 'A', 'S002-MED-01')",1.0
"('box_fraction', 'A', 'S002-WAT-01')",0.8783764424193097
"('box_fraction', 'A', 'S002-WAT-02')",1.0
"('box_fraction', 'A', 'S002-WAT-03')",0.6896811060217635
"('box_fraction', 'A', 'S002-WAT-04')",-0.0
"('box_fraction', 'A', 'S003-FOD-01')",0.0
"('box_fraction', 'A', 'S003-FOD-02')",0.0
"('box_fraction', 'A', 'S003-HYG-01')",0.0
"('box_fraction', 'A', 'S003-MED-01')",-0.0
"('box_fraction', 'A', 'S003-WAT-01')",-0.0
"('box_fraction', 'A', 'S003-WAT-02')",0.0
"('box_fraction', 'A', 'S003-WAT-03')",0.0
"('box_fraction', 'A', 'S003-WAT-04')",0.0
"('box_fraction', 'A', 'S004-FOD-01')",0.0
"('box_fraction', 'A', 'S004-HYG-01')",0.0
"('box_fraction', 'A', 'S004-MED-01')",1.0
"('box_fraction', 'A', 'S004-WAT-01')",0.0
"('box_fraction', 'A', 'S004-WAT-02')",0.7272727272727273
"('box_fraction', 'A', 'S004-WAT-03')",0.0
"('box_fraction', 'A', 'S005-FOD-01')",0.0
"('box_fraction', 'A', 'S005-HYG-01')",0.0
"('box_fraction', 'A', 'S005-MED-01')",1.0
