family,iteration,phase,seed,hard_late_s,weighted_tardiness_s,makespan_s,energy_kwh,trips,weighted_completion_s
multipoint,0,initial,20260923,0.0,0.0,10189.462420318481,110.8891187271795,34,3609190.9484978574
multipoint,34,anneal,20260923,0.0,0.0,10189.462420318481,110.83041732610369,34,3603053.293103429
multipoint,2131,anneal,20260923,0.0,0.0,10126.278997495347,109.65253863025914,35,3846168.8091620863
multipoint,2141,anneal,20260923,0.0,0.0,10126.278997495347,109.6300132035605,35,3842761.2795571336
multipoint,2153,anneal,20260923,0.0,0.0,10126.278997495347,109.10386319727982,35,3839593.1936778254
multipoint,2174,anneal,20260923,0.0,0.0,10100.772202086722,108.70988993460534,35,3824639.7766177896
multipoint,2264,anneal,20260923,0.0,0.0,10034.772202086722,111.1738221707837,36,3789357.4242709912
multipoint,2269,anneal,20260923,0.0,0.0,10034.772202086722,111.13977483447115,36,3792181.2068192656
multipoint,2668,anneal,20260923,0.0,0.0,9964.044380385609,111.75744487640334,37,3692491.8202213366
multipoint,2712,anneal,20260923,0.0,0.0,9880.283889853401,111.36347161372886,37,3677347.4907383644
multipoint,2734,anneal,20260923,0.0,0.0,9880.283889853401,111.30644817127666,37,3667989.69512226
multipoint,2894,anneal,20260923,0.0,0.0,9880.283889853401,111.16751633974893,37,3682815.2869460913
multipoint,2980,anneal,20260923,0.0,0.0,9859.321431562033,111.293114939611,37,3699620.701170887
multipoint,3014,anneal,20260923,0.0,0.0,9859.321431562033,111.16751633974891,37,3685922.6072047977
multipoint,3035,anneal,20260923,0.0,0.0,9859.321431562033,111.1449909130503,37,3682515.077599844
multipoint,3042,anneal,20260923,0.0,0.0,9859.321431562033,110.9918883405733,37,3680910.987741371
multipoint,3049,anneal,20260923,0.0,0.0,9859.321431562033,110.87986214585308,37,3681699.341709872
multipoint,3075,anneal,20260923,0.0,0.0,9859.321431562033,110.84629213573763,37,3682805.9000782175
multipoint,3095,anneal,20260923,0.0,0.0,9859.321431562033,109.28222501754499,37,3653166.6448984477
multipoint,3205,anneal,20260923,0.0,0.0,9836.272024617174,110.03558480942267,37,3684446.809401747
multipoint,3222,anneal,20260923,0.0,0.0,9836.272024617174,109.13681252796393,36,3670975.1227435274
multipoint,3249,anneal,20260923,0.0,0.0,9836.272024617174,109.12612342805367,36,3670957.4921655413
multipoint,3398,anneal,20260923,0.0,0.0,9836.272024617174,108.09508987481908,35,3800030.502339732
multipoint,3405,anneal,20260923,0.0,0.0,9836.272024617174,108.04519573545612,35,3796097.639758214
multipoint,3457,anneal,20260923,0.0,0.0,9836.272024617174,107.33018769171747,34,3713859.3637088407
multipoint,3880,anneal,20260923,0.0,0.0,9836.272024617174,106.54951229435935,36,3723692.087746348
multipoint,4322,anneal,20260923,0.0,0.0,9765.474642054898,105.80985305134686,36,3626444.1940403935
multipoint,4338,anneal,20260923,0.0,0.0,9765.474642054898,105.75304578297781,36,3622105.044629338
multipoint,4354,anneal,20260923,0.0,0.0,9765.474642054898,105.66794028041218,36,3627897.878207595
multipoint,4371,anneal,20260923,0.0,0.0,9751.76091595127,105.66794028041217,36,3663219.083493663
multipoint,4382,anneal,20260923,0.0,0.0,9751.76091595127,105.50962150373914,36,3663589.7300390895
multipoint,4391,anneal,20260923,0.0,0.0,9751.76091595127,105.47605149362369,36,3664773.872430814
multipoint,5300,anneal,20260923,0.0,0.0,9609.162190221721,103.6628849088396,35,3672185.053023027
multipoint,5319,anneal,20260923,0.0,0.0,9609.162190221721,103.56673643226901,35,3668567.939397472
multipoint,7033,anneal,20260923,0.0,0.0,9603.745213834594,107.14189323771242,35,3861934.260550365
multipoint,7048,anneal,20260923,0.0,0.0,9603.745213834594,107.13636398152558,35,3884295.5559289334
multipoint,7081,anneal,20260923,0.0,0.0,9603.745213834594,107.07399983199683,35,3892168.424437936
multipoint,7082,anneal,20260923,0.0,0.0,9603.745213834594,106.8907151219599,35,3884787.7181389513
multipoint,7102,anneal,20260923,0.0,0.0,9603.745213834594,106.8076987227924,35,3901510.4093260933
multipoint,7146,anneal,20260923,0.0,0.0,9603.745213834594,106.76160377208872,35,3910586.718374511
multipoint,7277,anneal,20260923,0.0,0.0,9603.745213834594,105.37806263148937,35,3685355.3720251913
multipoint,7431,anneal,20260923,0.0,0.0,9523.310406056155,107.16647095331878,35,3749309.7264379347
multipoint,7439,anneal,20260923,0.0,0.0,9523.310406056155,107.14847324229999,35,3751050.8651393144
multipoint,7461,anneal,20260923,0.0,0.0,9523.310406056155,106.31310311786886,35,3684690.566881839
multipoint,7465,anneal,20260923,0.0,0.0,9523.310406056155,106.10242630631474,35,3684233.9960266864
multipoint,7498,anneal,20260923,0.0,0.0,9523.310406056155,105.86902965830244,35,3675909.1453698543
multipoint,7501,anneal,20260923,0.0,0.0,9523.310406056155,105.75700346358222,35,3676697.499338355
multipoint,7548,anneal,20260923,0.0,0.0,9523.310406056155,105.74312705397595,35,3681972.336913204
multipoint,7591,anneal,20260923,0.0,0.0,9509.273043412817,105.8282325565416,35,3674460.863447575
multipoint,7605,anneal,20260923,0.0,0.0,9509.273043412817,105.74312705397595,35,3680253.697025832
multipoint,7638,anneal,20260923,0.0,0.0,9507.675702736615,105.7555955088079,35,3695828.5598867643
multipoint,7648,anneal,20260923,0.0,0.0,9507.675702736615,105.545014278828,35,3694075.1583589376
multipoint,7681,anneal,20260923,0.0,0.0,9507.675702736615,105.53714390989492,35,3687053.5861728746
multipoint,7777,anneal,20260923,0.0,0.0,9507.675702736615,105.41815988176998,35,3658268.833320051
multipoint,7781,anneal,20260923,0.0,0.0,9507.675702736615,105.39031994628449,35,3654101.8242153623
multipoint,7793,anneal,20260923,0.0,0.0,9507.675702736615,105.3723222352657,35,3663368.440299948
multipoint,8195,anneal,20260923,0.0,0.0,9496.900605253062,105.33727736140082,35,3664593.164401353
multipoint,8370,anneal,20260923,0.0,0.0,9436.50586302171,102.02531931781384,35,3624112.915797718
multipoint,8740,anneal,20260923,0.0,0.0,9361.050800370607,98.41162081352175,34,3527845.5783816464
multipoint,8783,anneal,20260923,0.0,0.0,9361.050800370607,98.37236011250577,34,3549826.741003797
multipoint,8822,anneal,20260923,0.0,0.0,9361.050800370607,96.56024345294223,34,3532395.1608907892
multipoint,8900,anneal,20260923,0.0,0.0,9347.464893329072,96.67226964766245,34,3598398.54675988
multipoint,8913,anneal,20260923,0.0,0.0,9347.464893329072,96.56024345294223,34,3599186.900728381
multipoint,9076,anneal,20260923,0.0,0.0,9344.009014354897,96.6783004635098,34,3436285.6886016945
multipoint,9140,anneal,20260923,0.0,0.0,9111.584851319265,96.76320023888044,34,3389734.3751032096
multipoint,9142,anneal,20260923,0.0,0.0,9111.584851319265,96.68853829910086,34,3393606.4428089396
multipoint,9257,anneal,20260923,0.0,0.0,9089.210752541703,98.28286636121936,34,3392315.788418012
multipoint,9349,anneal,20260923,0.0,0.0,9089.210752541703,97.66003469450281,33,3394579.1585154054
multipoint,9371,anneal,20260923,0.0,0.0,8963.29565911541,97.6600346945028,33,3436331.2427148754
multipoint,9374,anneal,20260923,0.0,0.0,8963.29565911541,97.65450543831597,33,3451972.307360185
multipoint,9433,anneal,20260923,0.0,0.0,8963.29565911541,97.54800849978258,33,3437119.596683376
multipoint,9442,anneal,20260923,0.0,0.0,8963.29565911541,97.48239193334393,33,3408687.62707518
multipoint,9457,anneal,20260923,0.0,0.0,8963.29565911541,97.44153707974283,33,3403049.8015593383
multipoint,9511,anneal,20260923,0.0,0.0,8963.29565911541,97.4088460263109,33,3403524.9397541364
multipoint,9755,anneal,20260923,0.0,0.0,8953.040323336783,97.47945594666142,33,3478210.7782115615
multipoint,9809,anneal,20260923,0.0,0.0,8953.040323336783,97.35940668807191,33,3532032.079814159
multipoint,9812,anneal,20260923,0.0,0.0,8953.040323336783,96.16518693437537,33,3528663.4466572967
multipoint,10076,anneal,20260923,0.0,0.0,8953.040323336783,96.15475615222039,34,3468263.203416484
multipoint,10147,anneal,20260923,0.0,0.0,8953.040323336783,96.14413154539028,34,3557384.7844840013
multipoint,10220,anneal,20260923,0.0,0.0,8953.040323336783,95.96760794061885,34,3375411.600673748
multipoint,10221,anneal,20260923,0.0,0.0,8953.040323336783,95.50377304165767,34,3377150.8086616644
multipoint,10307,anneal,20260923,0.0,0.0,8878.851972490995,95.73092344020907,34,3375007.111743374
multipoint,10351,anneal,20260923,0.0,0.0,8874.188680791933,95.73645269639593,34,3361913.2222494776
multipoint,10666,anneal,20260923,0.0,0.0,8874.188680791933,94.28623415612931,33,3327407.0922513045
multipoint,10826,anneal,20260923,0.0,0.0,8874.188680791933,94.12433477627503,33,3304709.3765573893
multipoint,11031,anneal,20260923,0.0,0.0,8874.188680791933,94.11076661562522,33,3280540.3676558584
multipoint,11043,anneal,20260923,0.0,0.0,8874.188680791933,94.0827591326075,33,3277233.101233689
multipoint,11069,anneal,20260923,0.0,0.0,8874.188680791933,93.99087141855189,33,3275632.5839901464
multipoint,11102,anneal,20260923,0.0,0.0,8874.188680791933,93.99078807253336,33,3286033.6068278607
multipoint,11109,anneal,20260923,0.0,0.0,8874.188680791933,93.94311496965055,33,3285267.2921945443
multipoint,11128,anneal,20260923,0.0,0.0,8809.26862014539,93.98076657944755,32,3274644.1820209846
multipoint,11129,anneal,20260923,0.0,0.0,8799.035513799457,94.00877406246526,32,3277951.448443154
multipoint,11556,anneal,20260923,0.0,0.0,8799.035513799457,92.17222644158798,31,3387264.7400646885
multipoint,11614,anneal,20260923,0.0,0.0,8799.035513799457,92.06659102942095,31,3339302.834847731
multipoint,11642,anneal,20260923,0.0,0.0,8799.035513799457,92.06220190185542,31,3352345.527252206
multipoint,11647,anneal,20260923,0.0,0.0,8799.035513799457,92.05204599806069,31,3348782.8414809355
multipoint,11664,anneal,20260923,0.0,0.0,8799.035513799457,91.93199673947119,31,3344889.9636742454
multipoint,11789,anneal,20260923,0.0,0.0,8799.035513799457,91.87932092461722,31,3391763.1270355107
multipoint,12265,anneal,20260923,0.0,0.0,8745.264106940507,93.62780711729448,33,3327993.7340730675
multipoint,12274,anneal,20260923,0.0,0.0,8745.264106940507,92.53236029983469,32,3306159.870020031
multipoint,12295,anneal,20260923,0.0,0.0,8739.98502474629,92.53236029983469,32,3343756.2596599287
multipoint,12752,anneal,20260923,0.0,0.0,8713.722703196636,91.9138314105705,32,3317971.9448794564
multipoint,12776,anneal,20260923,0.0,0.0,8713.722703196636,91.58766067650355,32,3305008.6748819198
multipoint,12866,anneal,20260923,0.0,0.0,8638.532988584502,91.65410650230123,32,3285441.4283883926
multipoint,15541,anneal,20260923,0.0,0.0,8601.677327822235,92.24803375648523,32,3412521.8299018936
multipoint,15619,anneal,20260923,0.0,0.0,8601.677327822235,92.19242965304036,32,3417804.662942219
multipoint,15679,anneal,20260923,0.0,0.0,8601.677327822235,92.18742250630962,32,3408621.0937112193
multipoint,15795,anneal,20260923,0.0,0.0,8601.677327822235,91.94068141142048,32,3379805.5893795965
multipoint,16001,destroy_repair,20260923,0.0,0.0,8553.107824574283,91.83896276119745,32,3448331.495317601
multipoint,16004,destroy_repair,20260923,0.0,0.0,8452.714571118395,88.70791176231768,30,3356073.143973556
multipoint,16005,destroy_repair,20260923,0.0,0.0,8314.627518464029,89.60915907228876,31,3455122.8832519413
multipoint,16011,destroy_repair,20260923,0.0,0.0,8314.627518464029,89.59514747126248,31,3434316.6442102026
multipoint,16012,destroy_repair,20260923,0.0,0.0,8248.627518464029,89.70963784597996,31,3415462.02416301
multipoint,16015,destroy_repair,20260923,0.0,0.0,8187.619043161238,90.23174572455483,31,3433321.4573000325
multipoint,16016,destroy_repair,20260923,0.0,0.0,8187.619043161238,90.1283379400124,31,3427236.1796998796
multipoint,16018,destroy_repair,20260923,0.0,0.0,8187.619043161238,89.74197628147846,31,3420368.080190385
multipoint,16021,destroy_repair,20260923,0.0,0.0,8187.619043161238,89.59647417408351,31,3487701.4620918953
multipoint,16034,destroy_repair,20260923,0.0,0.0,8182.627518464029,89.60556328852614,31,3511106.284238696
multipoint,16044,destroy_repair,20260923,0.0,0.0,8182.627518464029,88.31416333097309,31,3473352.357449515
multipoint,16045,destroy_repair,20260923,0.0,0.0,8182.627518464029,87.55086777724007,31,3421241.0381358075
multipoint,16047,destroy_repair,20260923,0.0,0.0,8182.627518464029,87.06183973388502,31,3406740.020663344
multipoint,16050,destroy_repair,20260923,0.0,0.0,8182.627518464029,86.94576743852737,31,3362589.956297388
multipoint,16052,destroy_repair,20260923,0.0,0.0,8154.795427043536,87.9506811091772,31,3387444.4962608474
multipoint,16053,destroy_repair,20260923,0.0,0.0,8142.715069723701,89.08201487842675,32,3424600.7725357916
multipoint,16055,destroy_repair,20260923,0.0,0.0,8116.627518464029,88.77486327766192,32,3426776.266017939
multipoint,16060,destroy_repair,20260923,0.0,0.0,8050.627518464029,88.86086096819642,32,3412981.9507321976
multipoint,0,initial,20260924,0.0,0.0,9366.95051812057,99.65114145285045,30,3114910.5754961553
multipoint,15,anneal,20260924,0.0,0.0,9319.654128006416,99.65114145285045,30,3210387.882203871
multipoint,257,anneal,20260924,0.0,0.0,9241.447932666766,99.25265886936981,30,3409346.793082273
multipoint,309,anneal,20260924,0.0,0.0,9241.447932666766,99.2010342150416,30,3415530.906808524
multipoint,410,anneal,20260924,0.0,0.0,9225.41813832317,97.62642500536646,30,3320605.91669033
multipoint,431,anneal,20260924,0.0,0.0,9225.41813832317,97.6172993275538,30,3318630.5569405677
multipoint,456,anneal,20260924,0.0,0.0,9209.466875573004,97.62184267669552,30,3320295.2949703275
multipoint,460,anneal,20260924,0.0,0.0,9155.925673921896,99.08450295021348,30,3308618.3946513915
multipoint,2659,anneal,20260924,0.0,0.0,9151.45641438175,103.10651191944308,31,3455456.9173148875
multipoint,2761,anneal,20260924,0.0,0.0,9151.45641438175,103.00844896411624,31,3412048.3015080155
multipoint,2803,anneal,20260924,0.0,0.0,9151.45641438175,102.86735517818897,31,3434053.890252537
multipoint,2826,anneal,20260924,0.0,0.0,9151.45641438175,102.80891258710582,31,3426845.6052819723
multipoint,2870,anneal,20260924,0.0,0.0,9151.45641438175,102.7680181329203,31,3426812.547268483
