family,round_kind,seed,iterations,lns_iterations,physically_feasible_moves,accepted_moves,mode,max_stops_permitted,hard_late_s,weighted_tardiness_s,makespan_s,energy_kwh,trips,weighted_completion_s
multipoint,independent_warmup,20260923,16000,60,8737,1307,time,15,0.0,0.0,8050.627518464029,88.86086096819642,32,3412981.9507321976
multipoint,independent_warmup,20260924,16000,60,8479,1276,time,15,0.0,0.0,7550.681631688423,85.48290100156946,28,3354353.6020055246
multipoint,independent_warmup,20260925,16000,60,8477,1483,time,15,0.0,0.0,7657.630571605343,84.69686893936519,28,3234492.730855087
multipoint,sequential_refinement,20260930,100000,220,53618,10090,time,15,0.0,0.0,7166.028191878098,78.84458297400155,28,3194148.536019012
multipoint,sequential_refinement,20260931,100000,220,52950,8514,time,15,0.0,0.0,7017.196881162877,77.82377247931717,28,3186957.108974714
multipoint,sequential_refinement,20260932,100000,220,52899,8466,time,15,0.0,0.0,6772.461495690661,73.33931189192326,27,3050813.2788250213
multipoint,sequential_refinement,20260933,100000,220,52451,7596,time,15,0.0,0.0,6607.83963540118,73.54089090321402,27,3098733.4558544443
multipoint,sequential_refinement,20260934,100000,220,52237,7573,time,15,0.0,0.0,6607.83963540118,72.80947574060202,27,3014848.620929826
multipoint,sequential_refinement,20260935,100000,220,52789,6621,time,15,0.0,0.0,6602.519518173908,74.41763036376466,27,3081805.99326289
multipoint,sequential_refinement,20260936,100000,220,52653,6552,time,15,0.0,0.0,6602.519518173908,74.39474317273812,27,3092148.937630653
multipoint,sequential_refinement,20260937,100000,220,52319,6855,time,15,0.0,0.0,6602.519518173908,74.39474317273812,27,3092148.937630653
multipoint,sequential_refinement,20260938,100000,220,52470,6655,time,15,0.0,0.0,6580.960426903036,73.87230610267298,27,3016008.381482638
multipoint,sequential_refinement,20260939,100000,220,52834,6564,time,15,0.0,0.0,6421.094258945617,72.2928471378423,26,3138813.131618322
multipoint,sequential_refinement,20260940,100000,220,53254,6022,time,15,0.0,0.0,6355.094258945617,72.66882399743301,27,3009301.91281832
multipoint,sequential_refinement,20260941,100000,220,53532,6085,time,15,0.0,0.0,6355.094258945617,71.94566215060301,26,3014232.3246828215
