架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2-001,U01,A,A-BAT-01,0.0,S002;S013,2463.451171663915,3.371662310585266
Q2-002,U02,A,A-BAT-02,0.0,S013,1612.1137376764395,2.025445644149036
Q2-003,U05,B,B-BAT-01,0.0,S010,1555.3795658311296,1.823195698089688
Q2-004,U06,B,B-BAT-02,0.0,S014,1869.7564163815437,2.140388482107402
Q2-005,U07,C,C-BAT-01,0.0,S006,1561.5538679616648,2.5979878649121835
Q2-006,U08,C,C-BAT-02,0.0,S001,1494.1690773291593,2.8127063028928476
Q2-007,U08,C,C-BAT-03,1494.1690773291593,S001;S002,3862.611669287649,6.103861417985632
Q2-008,U05,B,B-BAT-03,1555.3795658311296,S012,3478.119916575315,2.7524142988017384
Q2-009,U07,C,C-BAT-04,1561.5538679616648,S007;S003,4255.146286353982,5.982703667606539
Q2-010,U06,B,B-BAT-04,1869.7564163815437,S001,3078.8566236748957,1.1550313584111553
Q2-011,U06,B,B-BAT-01,3078.8566236748957,S008;S015,5633.520943684269,3.148723323991134
Q2-012,U05,B,B-BAT-02,3478.119916575315,S011;S008,5684.098778459538,2.77306142924723
Q2-013,U08,C,C-BAT-02,3862.611669287649,S001;S004,6583.101417091879,6.17782599323608
Q2-014,U07,C,C-BAT-01,4255.146286353982,S005;S004;S002,7168.914995577917,6.37154606509253
Q2-015,U06,B,B-BAT-04,5633.520943684269,S009,7191.96267677303,2.096233734426171
Q2-016,U05,B,B-BAT-03,5684.098778459538,S003,7704.6220820030085,2.936427282850313
Q2-017,U08,C,C-BAT-03,6583.101417091879,S011;S015;S003;S007,9856.086172013589,6.333450823390766
Q2-018,U07,C,C-BAT-04,7168.914995577917,S005;S008,9743.492346822342,6.009110889732283
