货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,Q2-013,S001,4924.881207952229
S001-FOD-02,Q2-013,S001,4960.881207952229
S001-FOD-03,Q2-010,S001,2787.429853361553
S001-HYG-01,Q2-013,S001,4996.881207952229
S001-HYG-02,Q2-013,S001,5032.881207952229
S001-MED-01,Q2-006,S001,1002.2695386645796
S001-MED-02,Q2-010,S001,2727.429853361553
S001-WAT-01,Q2-007,S001,2496.438615993739
S001-WAT-02,Q2-006,S001,1038.2695386645796
S001-WAT-03,Q2-010,S001,2757.429853361553
S001-WAT-04,Q2-006,S001,1074.2695386645796
S001-WAT-05,Q2-006,S001,1110.2695386645796
S001-WAT-06,Q2-007,S001,2532.438615993739
S001-WAT-07,Q2-006,S001,1146.2695386645796
S001-WAT-08,Q2-006,S001,1182.2695386645796
S002-FOD-01,Q2-014,S002,6512.418803170287
S002-FOD-02,Q2-014,S002,6548.418803170287
S002-HYG-01,Q2-007,S002,3242.115476880019
S002-MED-01,Q2-001,S002,1283.8089909673017
S002-WAT-01,Q2-007,S002,3134.115476880019
S002-WAT-02,Q2-007,S002,3170.115476880019
S002-WAT-03,Q2-001,S002,1313.8089909673017
S002-WAT-04,Q2-007,S002,3206.115476880019
S003-FOD-01,Q2-017,S003,8765.999428423607
S003-FOD-02,Q2-017,S003,8801.999428423607
S003-HYG-01,Q2-017,S003,8837.999428423607
S003-MED-01,Q2-009,S003,3392.560611551647
S003-WAT-01,Q2-016,S003,6942.333763564608
S003-WAT-02,Q2-009,S003,3428.560611551647
S003-WAT-03,Q2-016,S003,6972.333763564608
S003-WAT-04,Q2-009,S003,3464.560611551647
S004-FOD-01,Q2-013,S004,5829.543070850279
S004-HYG-01,Q2-013,S004,5865.543070850279
S004-MED-01,Q2-014,S004,6011.328573812012
S004-WAT-01,Q2-014,S004,6047.328573812012
S004-WAT-02,Q2-013,S004,5757.543070850279
S004-WAT-03,Q2-013,S004,5793.543070850279
S005-FOD-01,Q2-018,S005,8434.145257840808
S005-HYG-01,Q2-018,S005,8470.145257840808
S005-MED-01,Q2-014,S005,5448.376548616873
S005-WAT-01,Q2-014,S005,5484.376548616873
S005-WAT-02,Q2-018,S005,8362.145257840808
S005-WAT-03,Q2-018,S005,8398.145257840808
S006-FOD-01,Q2-005,S006,1173.4219339808324
S006-HYG-01,Q2-005,S006,1209.4219339808324
S006-MED-01,Q2-005,S006,1029.4219339808324
S006-WAT-01,Q2-005,S006,1065.4219339808324
S006-WAT-02,Q2-005,S006,1101.4219339808324
S006-WAT-03,Q2-005,S006,1137.4219339808324
S007-FOD-01,Q2-009,S007,2933.2970966266817
S007-HYG-01,Q2-017,S007,9296.262943348573
S007-MED-01,Q2-009,S007,2825.2970966266817
S007-WAT-01,Q2-009,S007,2861.2970966266817
S007-WAT-02,Q2-009,S007,2897.2970966266817
S008-FOD-01,Q2-018,S008,9005.481740279612
S008-HYG-01,Q2-018,S008,9041.481740279612
S008-MED-01,Q2-011,S008,4309.999008171728
S008-WAT-01,Q2-011,S008,4339.999008171728
S008-WAT-02,Q2-012,S008,5013.409727296038
S009-FOD-01,Q2-015,S009,6724.331810228649
S009-MED-01,Q2-015,S009,6664.331810228649
S009-WAT-01,Q2-015,S009,6694.331810228649
S010-FOD-01,Q2-003,S010,1085.2264495822315
S010-MED-01,Q2-003,S010,1025.2264495822315
S010-WAT-01,Q2-003,S010,1055.2264495822315
S011-FOD-01,Q2-012,S011,4354.51681935956
S011-MED-01,Q2-012,S011,4324.51681935956
S011-WAT-01,Q2-017,S011,7605.001945771306
S012-FOD-01,Q2-008,S012,2826.6797412032224
S012-MED-01,Q2-008,S012,2796.6797412032224
S012-WAT-01,Q2-008,S012,2766.6797412032224
S013-FOD-01,Q2-002,S013,1083.590202171553
S013-MED-01,Q2-001,S013,1934.9276361590285
S013-WAT-01,Q2-002,S013,1053.590202171553
S014-FOD-01,Q2-004,S014,1242.4348748574387
S014-MED-01,Q2-004,S014,1212.4348748574387
S014-WAT-01,Q2-004,S014,1182.4348748574387
S015-FOD-01,Q2-017,S015,8295.515990092754
S015-MED-01,Q2-011,S015,5022.82262497078
S015-WAT-01,Q2-017,S015,8259.515990092754
