battery_id,model_id,trip_id,drone_id,task_start_s,return_s,return_soc_fraction,charge_start_s,charge_end_s,charge_duration_s,charged_soc_fraction
A-BAT-01,A,Q2-001,U01,0.0,2463.451171663915,0.25074170875882973,2463.451171663915,3937.4869502774363,1474.0357786135212,1.0
A-BAT-02,A,Q2-002,U02,0.0,1612.1137376764395,0.5499009679668809,1612.1137376764395,2697.242479319494,1085.1287416430548,1.0
B-BAT-01,B,Q2-003,U05,0.0,1555.3795658311296,0.544201075477578,1555.3795658311296,3012.0977016699944,1456.7181358388646,1.0
B-BAT-02,B,Q2-004,U06,0.0,1869.7564163815437,0.46490287947314946,1869.7564163815437,3463.9247586280844,1594.1683422465408,1.0
C-BAT-01,C,Q2-005,U07,0.0,1561.5538679616648,0.6752515168859771,1561.5538679616648,3098.5089147087147,1536.95504674705,1.0
C-BAT-02,C,Q2-006,U08,0.0,1494.1690773291593,0.6484117121383941,1494.1690773291593,3089.277034362639,1595.1079570334796,1.0
C-BAT-03,C,Q2-007,U08,1494.1690773291593,3862.611669287649,0.237017322751796,3862.611669287649,6349.074136658757,2486.4624673711087,1.0
B-BAT-03,B,Q2-008,U05,1555.3795658311296,3478.119916575315,0.3118964252995654,3478.119916575315,5337.499446056068,1859.3795294807535,1.0
C-BAT-04,C,Q2-009,U07,1561.5538679616648,4255.146286353982,0.25216204154918265,4255.146286353982,6708.795196330753,2453.648909976771,1.0
B-BAT-04,B,Q2-010,U06,1869.7564163815437,3078.8566236748957,0.7112421603972112,3078.8566236748957,4246.036878986396,1167.1802553115006,1.0
B-BAT-01,B,Q2-011,U06,3078.8566236748957,5633.520943684269,0.21281916900221653,5633.520943684269,7664.6343840804275,2031.1134403961582,1.0
B-BAT-02,B,Q2-012,U05,3478.119916575315,5684.098778459538,0.3067346426881925,5684.098778459538,7552.425397800004,1868.3266193404663,1.0
C-BAT-02,C,Q2-013,U08,3862.611669287649,6583.101417091879,0.22777175084548995,6583.101417091879,9089.59595692665,2506.494539834772,1.0
C-BAT-01,C,Q2-014,U07,4255.146286353982,7168.914995577917,0.20355674186343375,7168.914995577917,9727.875388207143,2558.9603926292266,1.0
B-BAT-04,B,Q2-015,U06,5633.520943684269,7191.96267677303,0.4759415663934573,7191.96267677303,8766.99729502437,1575.0346182513408,1.0
B-BAT-03,B,Q2-016,U05,5684.098778459538,7704.6220820030085,0.26589317928742173,7704.6220820030085,9643.740571238144,1939.1184892351357,1.0
C-BAT-03,C,Q2-017,U08,6583.101417091879,9856.086172013589,0.20831864707615422,9856.086172013589,12404.729103348589,2548.6429313349995,1.0
C-BAT-04,C,Q2-018,U07,7168.914995577917,9743.492346822342,0.2488611387834646,9743.492346822342,12204.293212791503,2460.80086596916,1.0
