battery_id,model_id,usage_count,different_drones,last_return_soc_fraction,last_charge_complete_s,total_charge_s
A-BAT-01,A,1,U01,0.25074170875882973,3937.4869502774363,1474.0357786135212
A-BAT-02,A,1,U02,0.5499009679668809,2697.242479319494,1085.1287416430548
A-BAT-03,A,0,,1.0,0.0,0
A-BAT-04,A,0,,1.0,0.0,0
A-BAT-05,A,0,,1.0,0.0,0
A-BAT-06,A,0,,1.0,0.0,0
B-BAT-01,B,2,U05;U06,0.21281916900221653,7664.6343840804275,3487.831576235023
B-BAT-02,B,2,U05;U06,0.3067346426881925,7552.425397800004,3462.4949615870073
B-BAT-03,B,2,U05,0.26589317928742173,9643.740571238144,3798.498018715889
B-BAT-04,B,2,U06,0.4759415663934573,8766.99729502437,2742.2148735628416
C-BAT-01,C,2,U07,0.20355674186343375,9727.875388207143,4095.9154393762765
C-BAT-02,C,2,U08,0.22777175084548995,9089.59595692665,4101.602496868251
C-BAT-03,C,2,U08,0.20831864707615422,12404.729103348589,5035.105398706108
C-BAT-04,C,2,U07,0.2488611387834646,12204.293212791503,4914.449775945931
