box_id,trip_id,service_id,model_id,drone_id,delivery_complete_s,expected_s,hard_deadline_s,first_deadline_s,is_first_batch,is_medical,priority,tardiness_s,hard_slack_s,weight_kg,volume_m3
S001-FOD-01,Q2-013,S001,C,U08,4924.881207952229,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-02,Q2-013,S001,C,U08,4960.881207952229,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-FOD-03,Q2-010,S001,B,U06,2787.429853361553,7200.0,,,False,False,10,0.0,,8.0,0.028
S001-HYG-01,Q2-013,S001,C,U08,4996.881207952229,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-HYG-02,Q2-013,S001,C,U08,5032.881207952229,10800.0,,,False,False,8,0.0,,6.0,0.035
S001-MED-01,Q2-006,S001,C,U08,1002.2695386645796,3600.0,3600.0,3600.0,True,True,24,0.0,2597.7304613354204,3.0,0.012
S001-MED-02,Q2-010,S001,B,U06,2727.429853361553,3600.0,3600.0,,False,True,24,0.0,872.5701466384471,3.0,0.012
S001-WAT-01,Q2-007,S001,C,U08,2496.438615993739,3600.0,3600.0,3600.0,True,False,12,0.0,1103.561384006261,14.0,0.027
S001-WAT-02,Q2-006,S001,C,U08,1038.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-03,Q2-010,S001,B,U06,2757.429853361553,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-04,Q2-006,S001,C,U08,1074.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-05,Q2-006,S001,C,U08,1110.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-06,Q2-007,S001,C,U08,2532.438615993739,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-07,Q2-006,S001,C,U08,1146.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S001-WAT-08,Q2-006,S001,C,U08,1182.2695386645796,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-FOD-01,Q2-014,S002,C,U07,6512.418803170287,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-FOD-02,Q2-014,S002,C,U07,6548.418803170287,7200.0,,,False,False,10,0.0,,8.0,0.028
S002-HYG-01,Q2-007,S002,C,U08,3242.115476880019,10800.0,,,False,False,8,0.0,,6.0,0.035
S002-MED-01,Q2-001,S002,A,U01,1283.8089909673017,3600.0,3600.0,3600.0,True,True,24,0.0,2316.1910090326983,3.0,0.012
S002-WAT-01,Q2-007,S002,C,U08,3134.115476880019,3600.0,3600.0,3600.0,True,False,12,0.0,465.88452311998117,14.0,0.027
S002-WAT-02,Q2-007,S002,C,U08,3170.115476880019,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-03,Q2-001,S002,A,U01,1313.8089909673017,3600.0,,,False,False,12,0.0,,14.0,0.027
S002-WAT-04,Q2-007,S002,C,U08,3206.115476880019,3600.0,,,False,False,12,0.0,,14.0,0.027
S003-FOD-01,Q2-017,S003,C,U08,8765.999428423607,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-FOD-02,Q2-017,S003,C,U08,8801.999428423607,10800.0,,,False,False,8,0.0,,8.0,0.028
S003-HYG-01,Q2-017,S003,C,U08,8837.999428423607,14400.0,,,False,False,6,0.0,,6.0,0.035
S003-MED-01,Q2-009,S003,C,U07,3392.560611551647,7200.0,7200.0,7200.0,True,True,20,0.0,3807.439388448353,3.0,0.012
S003-WAT-01,Q2-016,S003,B,U05,6942.333763564608,7200.0,7200.0,7200.0,True,False,10,0.0,257.6662364353924,14.0,0.027
S003-WAT-02,Q2-009,S003,C,U07,3428.560611551647,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-03,Q2-016,S003,B,U05,6972.333763564608,7200.0,,,False,False,10,0.0,,14.0,0.027
S003-WAT-04,Q2-009,S003,C,U07,3464.560611551647,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-FOD-01,Q2-013,S004,C,U08,5829.543070850279,10800.0,,,False,False,8,0.0,,8.0,0.028
S004-HYG-01,Q2-013,S004,C,U08,5865.543070850279,14400.0,,,False,False,6,0.0,,6.0,0.035
S004-MED-01,Q2-014,S004,C,U07,6011.328573812012,7200.0,7200.0,7200.0,True,True,20,0.0,1188.671426187988,3.0,0.012
S004-WAT-01,Q2-014,S004,C,U07,6047.328573812012,7200.0,7200.0,7200.0,True,False,10,0.0,1152.671426187988,14.0,0.027
S004-WAT-02,Q2-013,S004,C,U08,5757.543070850279,7200.0,,,False,False,10,0.0,,14.0,0.027
S004-WAT-03,Q2-013,S004,C,U08,5793.543070850279,7200.0,,,False,False,10,0.0,,14.0,0.027
S005-FOD-01,Q2-018,S005,C,U07,8434.145257840808,14400.0,,,False,False,6,0.0,,8.0,0.028
S005-HYG-01,Q2-018,S005,C,U07,8470.145257840808,18000.0,,,False,False,4,0.0,,6.0,0.035
S005-MED-01,Q2-014,S005,C,U07,5448.376548616873,10800.0,10800.0,10800.0,True,True,16,0.0,5351.623451383127,3.0,0.012
S005-WAT-01,Q2-014,S005,C,U07,5484.376548616873,10800.0,10800.0,10800.0,True,False,8,0.0,5315.623451383127,14.0,0.027
S005-WAT-02,Q2-018,S005,C,U07,8362.145257840808,10800.0,,,False,False,8,0.0,,14.0,0.027
S005-WAT-03,Q2-018,S005,C,U07,8398.145257840808,10800.0,,,False,False,8,0.0,,14.0,0.027
S006-FOD-01,Q2-005,S006,C,U07,1173.4219339808324,7200.0,,,False,False,10,0.0,,8.0,0.028
S006-HYG-01,Q2-005,S006,C,U07,1209.4219339808324,10800.0,,,False,False,8,0.0,,6.0,0.035
S006-MED-01,Q2-005,S006,C,U07,1029.4219339808324,3600.0,3600.0,3600.0,True,True,24,0.0,2570.5780660191676,3.0,0.012
S006-WAT-01,Q2-005,S006,C,U07,1065.4219339808324,3600.0,3600.0,3600.0,True,False,12,0.0,2534.5780660191676,14.0,0.027
S006-WAT-02,Q2-005,S006,C,U07,1101.4219339808324,3600.0,,,False,False,12,0.0,,14.0,0.027
S006-WAT-03,Q2-005,S006,C,U07,1137.4219339808324,3600.0,,,False,False,12,0.0,,14.0,0.027
S007-FOD-01,Q2-009,S007,C,U07,2933.2970966266817,7200.0,,,False,False,10,0.0,,8.0,0.028
S007-HYG-01,Q2-017,S007,C,U08,9296.262943348573,10800.0,,,False,False,8,0.0,,6.0,0.035
S007-MED-01,Q2-009,S007,C,U07,2825.2970966266817,3600.0,3600.0,3600.0,True,True,24,0.0,774.7029033733183,3.0,0.012
S007-WAT-01,Q2-009,S007,C,U07,2861.2970966266817,3600.0,3600.0,3600.0,True,False,12,0.0,738.7029033733183,14.0,0.027
S007-WAT-02,Q2-009,S007,C,U07,2897.2970966266817,3600.0,,,False,False,12,0.0,,14.0,0.027
S008-FOD-01,Q2-018,S008,C,U07,9005.481740279612,10800.0,,,False,False,8,0.0,,8.0,0.028
S008-HYG-01,Q2-018,S008,C,U07,9041.481740279612,14400.0,,,False,False,6,0.0,,6.0,0.035
S008-MED-01,Q2-011,S008,B,U06,4309.999008171728,7200.0,7200.0,7200.0,True,True,20,0.0,2890.000991828272,3.0,0.012
S008-WAT-01,Q2-011,S008,B,U06,4339.999008171728,7200.0,7200.0,7200.0,True,False,10,0.0,2860.000991828272,14.0,0.027
S008-WAT-02,Q2-012,S008,B,U05,5013.409727296038,7200.0,,,False,False,10,0.0,,14.0,0.027
S009-FOD-01,Q2-015,S009,B,U06,6724.331810228649,14400.0,,,False,False,6,0.0,,8.0,0.028
S009-MED-01,Q2-015,S009,B,U06,6664.331810228649,10800.0,10800.0,10800.0,True,True,16,0.0,4135.668189771351,3.0,0.012
S009-WAT-01,Q2-015,S009,B,U06,6694.331810228649,10800.0,10800.0,10800.0,True,False,8,0.0,4105.668189771351,14.0,0.027
S010-FOD-01,Q2-003,S010,B,U05,1085.2264495822315,7200.0,,,False,False,10,0.0,,8.0,0.028
S010-MED-01,Q2-003,S010,B,U05,1025.2264495822315,3600.0,3600.0,3600.0,True,True,24,0.0,2574.7735504177685,3.0,0.012
S010-WAT-01,Q2-003,S010,B,U05,1055.2264495822315,3600.0,3600.0,3600.0,True,False,12,0.0,2544.7735504177685,14.0,0.027
S011-FOD-01,Q2-012,S011,B,U05,4354.51681935956,14400.0,,,False,False,6,0.0,,8.0,0.028
S011-MED-01,Q2-012,S011,B,U05,4324.51681935956,10800.0,10800.0,10800.0,True,True,16,0.0,6475.48318064044,3.0,0.012
S011-WAT-01,Q2-017,S011,C,U08,7605.001945771306,10800.0,10800.0,10800.0,True,False,8,0.0,3194.998054228694,14.0,0.027
S012-FOD-01,Q2-008,S012,B,U05,2826.6797412032224,7200.0,,,False,False,10,0.0,,8.0,0.028
S012-MED-01,Q2-008,S012,B,U05,2796.6797412032224,7200.0,3600.0,3600.0,True,True,22,0.0,803.3202587967776,3.0,0.012
S012-WAT-01,Q2-008,S012,B,U05,2766.6797412032224,3600.0,3600.0,3600.0,True,False,12,0.0,833.3202587967776,14.0,0.027
S013-FOD-01,Q2-002,S013,A,U02,1083.590202171553,7200.0,,,False,False,10,0.0,,8.0,0.028
S013-MED-01,Q2-001,S013,A,U01,1934.9276361590285,3600.0,3600.0,3600.0,True,True,24,0.0,1665.0723638409715,3.0,0.012
S013-WAT-01,Q2-002,S013,A,U02,1053.590202171553,3600.0,3600.0,3600.0,True,False,12,0.0,2546.409797828447,14.0,0.027
S014-FOD-01,Q2-004,S014,B,U06,1242.4348748574387,7200.0,,,False,False,10,0.0,,8.0,0.028
S014-MED-01,Q2-004,S014,B,U06,1212.4348748574387,7200.0,3600.0,3600.0,True,True,22,0.0,2387.5651251425616,3.0,0.012
S014-WAT-01,Q2-004,S014,B,U06,1182.4348748574387,3600.0,3600.0,3600.0,True,False,12,0.0,2417.5651251425616,14.0,0.027
S015-FOD-01,Q2-017,S015,C,U08,8295.515990092754,14400.0,,,False,False,6,0.0,,8.0,0.028
S015-MED-01,Q2-011,S015,B,U06,5022.82262497078,7200.0,7200.0,7200.0,True,True,18,0.0,2177.1773750292195,3.0,0.012
S015-WAT-01,Q2-017,S015,C,U08,8259.515990092754,10800.0,10800.0,10800.0,True,False,8,0.0,2540.484009907246,14.0,0.027
