resource_type,resource_id,trip_id,phase,start_s,end_s
drone,U01,Q2-001,prepare_load,0.0,390.0
drone,U01,Q2-001,climb,390.0,450.4180847167969
drone,U01,Q2-001,cruise,450.4180847167969,1068.0272893071456
drone,U01,Q2-001,descent,1068.0272893071456,1103.8089909673017
drone,U01,Q2-001,handoff,1103.8089909673017,1313.8089909673017
drone,U01,Q2-001,climb,1313.8089909673017,1366.379100016781
drone,U01,Q2-001,cruise,1366.379100016781,1744.7235052996534
drone,U01,Q2-001,descent,1744.7235052996534,1754.9276361590285
drone,U01,Q2-001,handoff,1754.9276361590285,1934.9276361590285
drone,U01,Q2-001,climb,1934.9276361590285,1950.7549107358514
drone,U01,Q2-001,cruise,1950.7549107358514,2354.8584421717273
drone,U01,Q2-001,descent,2354.8584421717273,2463.451171663915
drone,U02,Q2-002,prepare_load,0.0,360.0
drone,U02,Q2-002,climb,360.0,450.4939412434896
drone,U02,Q2-002,cruise,450.4939412434896,854.5974726793655
drone,U02,Q2-002,descent,854.5974726793655,873.5902021715531
drone,U02,Q2-002,handoff,873.5902021715531,1083.590202171553
drone,U02,Q2-002,climb,1083.590202171553,1099.417476748376
drone,U02,Q2-002,cruise,1099.417476748376,1503.521008184252
drone,U02,Q2-002,descent,1503.521008184252,1612.1137376764395
drone,U05,Q2-003,prepare_load,0.0,390.0
drone,U05,Q2-003,climb,390.0,492.6455118815104
drone,U05,Q2-003,cruise,492.6455118815104,811.6118353244191
drone,U05,Q2-003,descent,811.6118353244191,845.2264495822316
drone,U05,Q2-003,handoff,845.2264495822316,1085.2264495822315
drone,U05,Q2-003,climb,1085.2264495822315,1113.2386281304084
drone,U05,Q2-003,cruise,1113.2386281304084,1432.204951573317
drone,U05,Q2-003,descent,1432.204951573317,1555.3795658311294
drone,U06,Q2-004,prepare_load,0.0,390.0
drone,U06,Q2-004,climb,390.0,544.7491292317709
drone,U06,Q2-004,cruise,544.7491292317709,906.0559197793136
drone,U06,Q2-004,descent,906.0559197793136,1002.4348748574387
drone,U06,Q2-004,handoff,1002.4348748574387,1242.4348748574387
drone,U06,Q2-004,climb,1242.4348748574387,1322.7506707558762
drone,U06,Q2-004,cruise,1322.7506707558762,1684.057461303419
drone,U06,Q2-004,descent,1684.057461303419,1869.7564163815439
drone,U07,Q2-005,prepare_load,0.0,480.0
drone,U07,Q2-005,climb,480.0,575.3591357421875
drone,U07,Q2-005,cruise,575.3591357421875,787.7730143030979
drone,U07,Q2-005,descent,787.7730143030979,813.4219339808323
drone,U07,Q2-005,handoff,813.4219339808323,1209.4219339808324
drone,U07,Q2-005,climb,1209.4219339808324,1229.9410697230198
drone,U07,Q2-005,cruise,1229.9410697230198,1442.3549482839303
drone,U07,Q2-005,descent,1442.3549482839303,1561.5538679616648
drone,U08,Q2-006,prepare_load,0.0,480.0
drone,U08,Q2-006,climb,480.0,538.1426440429688
drone,U08,Q2-006,cruise,538.1426440429688,741.7412336108687
drone,U08,Q2-006,descent,741.7412336108687,786.2695386645796
drone,U08,Q2-006,handoff,786.2695386645796,1182.2695386645796
drone,U08,Q2-006,climb,1182.2695386645796,1217.8921827075483
drone,U08,Q2-006,cruise,1217.8921827075483,1421.4907722754483
drone,U08,Q2-006,descent,1421.4907722754483,1494.1690773291593
drone,U08,Q2-007,prepare_load,1494.1690773291593,1974.1690773291593
drone,U08,Q2-007,climb,1974.1690773291593,2032.311721372128
drone,U08,Q2-007,cruise,2032.311721372128,2235.910310940028
drone,U08,Q2-007,descent,2235.910310940028,2280.438615993739
drone,U08,Q2-007,handoff,2280.438615993739,2532.438615993739
drone,U08,Q2-007,climb,2532.438615993739,2582.536553005458
drone,U08,Q2-007,cruise,2582.536553005458,2873.2430556153704
drone,U08,Q2-007,descent,2873.2430556153704,2918.115476880019
drone,U08,Q2-007,handoff,2918.115476880019,3242.115476880019
drone,U08,Q2-007,climb,3242.115476880019,3277.897178540175
drone,U08,Q2-007,cruise,3277.897178540175,3771.984542212454
drone,U08,Q2-007,descent,3771.984542212454,3862.6116692876494
drone,U05,Q2-008,prepare_load,1555.3795658311296,1945.3795658311296
drone,U05,Q2-008,climb,1945.3795658311296,2040.5798974554787
drone,U05,Q2-008,cruise,2040.5798974554787,2533.279343254004
drone,U05,Q2-008,descent,2533.279343254004,2586.6797412032224
drone,U05,Q2-008,handoff,2586.6797412032224,2826.6797412032224
drone,U05,Q2-008,climb,2826.6797412032224,2871.180072827571
drone,U05,Q2-008,cruise,2871.180072827571,3363.879518626096
drone,U05,Q2-008,descent,3363.879518626096,3478.1199165753146
drone,U07,Q2-009,prepare_load,1561.5538679616648,2071.5538679616648
drone,U07,Q2-009,climb,2071.5538679616648,2225.263137981196
drone,U07,Q2-009,cruise,2225.263137981196,2527.5605091022676
drone,U07,Q2-009,descent,2527.5605091022676,2609.2970966266817
drone,U07,Q2-009,handoff,2609.2970966266817,2933.2970966266817
drone,U07,Q2-009,climb,2933.2970966266817,2958.1768329548067
drone,U07,Q2-009,cruise,2958.1768329548067,3140.460941141491
drone,U07,Q2-009,descent,3140.460941141491,3176.560611551647
drone,U07,Q2-009,handoff,3176.560611551647,3464.560611551647
drone,U07,Q2-009,climb,3464.560611551647,3553.8822668250846
drone,U07,Q2-009,cruise,3553.8822668250846,4038.0942172621844
drone,U07,Q2-009,descent,4038.0942172621844,4255.146286353981
drone,U06,Q2-010,prepare_load,1869.7564163815437,2259.7564163815437
drone,U06,Q2-010,climb,2259.7564163815437,2308.208619750684
drone,U06,Q2-010,cruise,2308.208619750684,2511.8072093185842
drone,U06,Q2-010,descent,2511.8072093185842,2547.429853361553
drone,U06,Q2-010,handoff,2547.429853361553,2787.429853361553
drone,U06,Q2-010,climb,2787.429853361553,2817.115390064027
drone,U06,Q2-010,cruise,2817.115390064027,3020.713979631927
drone,U06,Q2-010,descent,3020.713979631927,3078.8566236748957
drone,U06,Q2-011,prepare_load,3078.8566236748957,3468.8566236748957
drone,U06,Q2-011,climb,3468.8566236748957,3550.5930677666925
drone,U06,Q2-011,cruise,3550.5930677666925,4089.1952752615716
drone,U06,Q2-011,descent,4089.1952752615716,4129.999008171728
drone,U06,Q2-011,handoff,4129.999008171728,4339.999008171728
drone,U06,Q2-011,climb,4339.999008171728,4486.515984083187
drone,U06,Q2-011,cruise,4486.515984083187,4748.44225387703
drone,U06,Q2-011,descent,4748.44225387703,4842.82262497078
drone,U06,Q2-011,handoff,4842.82262497078,5022.82262497078
drone,U06,Q2-011,climb,5022.82262497078,5055.255710094479
drone,U06,Q2-011,cruise,5055.255710094479,5455.881241535832
drone,U06,Q2-011,descent,5455.881241535832,5633.520943684269
drone,U05,Q2-012,prepare_load,3478.119916575315,3868.119916575315
drone,U05,Q2-012,climb,3868.119916575315,3924.0071683656797
drone,U05,Q2-012,cruise,3924.0071683656797,4111.212117211123
drone,U05,Q2-012,descent,4111.212117211123,4144.51681935956
drone,U05,Q2-012,handoff,4144.51681935956,4354.51681935956
drone,U05,Q2-012,climb,4354.51681935956,4421.455653994976
drone,U05,Q2-012,cruise,4421.455653994976,4776.603125733538
drone,U05,Q2-012,descent,4776.603125733538,4833.409727296038
drone,U05,Q2-012,handoff,4833.409727296038,5013.409727296038
drone,U05,Q2-012,climb,5013.409727296038,5047.412838054502
drone,U05,Q2-012,cruise,5047.412838054502,5586.01504554938
drone,U05,Q2-012,descent,5586.01504554938,5684.098778459536
drone,U08,Q2-013,prepare_load,3862.611669287649,4402.611669287649
drone,U08,Q2-013,climb,4402.611669287649,4460.754313330618
drone,U08,Q2-013,cruise,4460.754313330618,4664.352902898518
drone,U08,Q2-013,descent,4664.352902898518,4708.881207952229
drone,U08,Q2-013,handoff,4708.881207952229,5032.881207952229
drone,U08,Q2-013,climb,5032.881207952229,5122.792304143635
drone,U08,Q2-013,cruise,5122.792304143635,5451.304200611021
