trip_id,drone_id,model_id,battery_id,start_s,takeoff_s,visit_order,route,return_s,energy_kwh,return_soc_fraction,initial_soc_fraction,weight_kg,volume_m3,box_count,box_ids,stop_count,flight_time_s,operation_time_s,preparation_load_s,handoff_s
Q2-001,U01,A,A-BAT-01,0.0,390.0,S002;S013,O01→S002→S013→O01,2463.451171663915,3.371662310585266,0.25074170875882973,1.0,20.0,0.051000000000000004,3,S002-MED-01;S002-WAT-03;S013-MED-01,2,1683.451171663915,2463.451171663915,390.0,390.0
Q2-002,U02,A,A-BAT-02,0.0,360.0,S013,O01→S013→O01,1612.1137376764395,2.025445644149036,0.5499009679668809,1.0,22.0,0.055,2,S013-FOD-01;S013-WAT-01,1,1042.1137376764395,1612.1137376764395,360.0,210.0
Q2-003,U05,B,B-BAT-01,0.0,390.0,S010,O01→S010→O01,1555.3795658311296,1.823195698089688,0.544201075477578,1.0,25.0,0.067,3,S010-FOD-01;S010-MED-01;S010-WAT-01,1,925.3795658311299,1555.3795658311296,390.0,239.99999999999977
Q2-004,U06,B,B-BAT-02,0.0,390.0,S014,O01→S014→O01,1869.7564163815437,2.140388482107402,0.46490287947314946,1.0,25.0,0.067,3,S014-FOD-01;S014-MED-01;S014-WAT-01,1,1239.7564163815437,1869.7564163815437,390.0,240.0
Q2-005,U07,C,C-BAT-01,0.0,480.0,S006,O01→S006→O01,1561.5538679616648,2.5979878649121835,0.6752515168859771,1.0,59.0,0.156,6,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,1,685.5538679616645,1561.5538679616648,480.0,396.0000000000002
Q2-006,U08,C,C-BAT-02,0.0,480.0,S001,O01→S001→O01,1494.1690773291593,2.8127063028928476,0.6484117121383941,1.0,73.0,0.147,6,S001-MED-01;S001-WAT-02;S001-WAT-04;S001-WAT-05;S001-WAT-07;S001-WAT-08,1,618.1690773291593,1494.1690773291593,480.0,396.0
Q2-007,U08,C,C-BAT-03,1494.1690773291593,1974.1690773291593,S001;S002,O01→S001→S002→O01,3862.611669287649,6.103861417985632,0.237017322751796,1.0,76.0,0.17,6,S001-WAT-01;S001-WAT-06;S002-HYG-01;S002-WAT-01;S002-WAT-02;S002-WAT-04,2,1312.4425919584896,2368.4425919584896,480.0,576.0
Q2-008,U05,B,B-BAT-03,1555.3795658311296,1945.3795658311296,S012,O01→S012→O01,3478.119916575315,2.7524142988017384,0.3118964252995654,1.0,25.0,0.067,3,S012-FOD-01;S012-MED-01;S012-WAT-01,1,1292.7403507441854,1922.7403507441854,390.0,240.0
Q2-009,U07,C,C-BAT-04,1561.5538679616648,2071.5538679616648,S007;S003,O01→S007→S003→O01,4255.146286353982,5.982703667606539,0.25216204154918265,1.0,70.0,0.16,7,S003-MED-01;S003-WAT-02;S003-WAT-04;S007-FOD-01;S007-MED-01;S007-WAT-01;S007-WAT-02,2,1571.5924183923166,2693.5924183923166,510.0,612.0
Q2-010,U06,B,B-BAT-04,1869.7564163815437,2259.7564163815437,S001,O01→S001→O01,3078.8566236748957,1.1550313584111553,0.7112421603972112,1.0,25.0,0.067,3,S001-FOD-03;S001-MED-02;S001-WAT-03,1,579.100207293352,1209.100207293352,390.0,240.0
Q2-011,U06,B,B-BAT-01,3078.8566236748957,3468.8566236748957,S008;S015,O01→S008→S015→O01,5633.520943684269,3.148723323991134,0.21281916900221653,1.0,20.0,0.051000000000000004,3,S008-MED-01;S008-WAT-01;S015-MED-01,2,1774.664320009373,2554.6643200093727,390.0,389.9999999999998
Q2-012,U05,B,B-BAT-02,3478.119916575315,3868.119916575315,S011;S008,O01→S011→S008→O01,5684.098778459538,2.77306142924723,0.3067346426881925,1.0,25.0,0.067,3,S008-WAT-02;S011-FOD-01;S011-MED-01,2,1425.9788618842229,2205.978861884223,390.0,390.0000000000002
Q2-013,U08,C,C-BAT-02,3862.611669287649,4402.611669287649,S001;S004,O01→S001→S004→O01,6583.101417091879,6.17782599323608,0.22777175084548995,1.0,70.0,0.24300000000000002,8,S001-FOD-01;S001-FOD-02;S001-HYG-01;S001-HYG-02;S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03,2,1532.4897478042299,2720.48974780423,540.0,648.0
Q2-014,U07,C,C-BAT-01,4255.146286353982,4735.146286353982,S005;S004;S002,O01→S005→S004→S002→O01,7168.914995577917,6.37154606509253,0.20355674186343375,1.0,50.0,0.134,6,S002-FOD-01;S002-FOD-02;S004-MED-01;S004-WAT-01;S005-MED-01;S005-WAT-01,3,1677.7687092239346,2913.768709223935,480.0,756.0000000000002
Q2-015,U06,B,B-BAT-04,5633.520943684269,6023.520943684269,S009,O01→S009→O01,7191.96267677303,2.096233734426171,0.4759415663934573,1.0,25.0,0.067,3,S009-FOD-01;S009-MED-01;S009-WAT-01,1,928.4417330887612,1558.4417330887613,390.0,240.0000000000001
Q2-016,U05,B,B-BAT-03,5684.098778459538,6044.098778459538,S003,O01→S003→O01,7704.6220820030085,2.936427282850313,0.26589317928742173,1.0,28.0,0.054,2,S003-WAT-01;S003-WAT-03,1,1450.5233035434708,2020.5233035434708,360.0,210.0
Q2-017,U08,C,C-BAT-03,6583.101417091879,7093.101417091879,S011;S015;S003;S007,O01→S011→S015→S003→S007→O01,9856.086172013589,6.333450823390766,0.20831864707615422,1.0,64.0,0.20800000000000002,7,S003-FOD-01;S003-FOD-02;S003-HYG-01;S007-HYG-01;S011-WAT-01;S015-FOD-01;S015-WAT-01,4,1790.9847549217106,3272.9847549217106,510.0,972.0
Q2-018,U07,C,C-BAT-04,7168.914995577917,7648.914995577917,S005;S008,O01→S005→S008→O01,9743.492346822342,6.009110889732283,0.2488611387834646,1.0,56.0,0.18,6,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03;S008-FOD-01;S008-HYG-01,2,1518.5773512444262,2574.577351244426,480.0,576.0
