resource_type,resource_id,trip_id,phase,start_s,end_s
drone,U01,Q2-001,prepare_load,0.0,330.0
drone,U01,Q2-001,climb,330.0,409.4659464518229
drone,U01,Q2-001,cruise,409.4659464518229,674.9832946529609
drone,U01,Q2-001,descent,674.9832946529609,695.5024303951484
drone,U01,Q2-001,handoff,695.5024303951484,875.5024303951484
drone,U01,Q2-001,climb,875.5024303951484,892.6017101803046
drone,U01,Q2-001,cruise,892.6017101803046,1158.1190583814425
drone,U01,Q2-001,descent,1158.1190583814425,1253.4781941236301
drone,U02,Q2-002,prepare_load,0.0,390.0
drone,U02,Q2-002,climb,390.0,485.20033162434896
drone,U02,Q2-002,cruise,485.20033162434896,1101.0746388725051
drone,U02,Q2-002,descent,1101.0746388725051,1154.475036821724
drone,U02,Q2-002,handoff,1154.475036821724,1364.475036821724
drone,U02,Q2-002,climb,1364.475036821724,1416.408239946724
drone,U02,Q2-002,cruise,1416.408239946724,1807.8818681688447
drone,U02,Q2-002,descent,1807.8818681688447,1908.5217119188446
drone,U02,Q2-002,handoff,1908.5217119188446,2088.5217119188446
drone,U02,Q2-002,climb,2088.5217119188446,2118.2072486213187
drone,U02,Q2-002,cruise,2118.2072486213187,2372.705485581194
drone,U02,Q2-002,descent,2372.705485581194,2430.8481296241625
drone,U03,Q2-003,prepare_load,0.0,360.0
drone,U03,Q2-003,climb,360.0,450.4939412434896
drone,U03,Q2-003,cruise,450.4939412434896,854.5974726793655
drone,U03,Q2-003,descent,854.5974726793655,873.5902021715531
drone,U03,Q2-003,handoff,873.5902021715531,1083.590202171553
drone,U03,Q2-003,climb,1083.590202171553,1099.417476748376
drone,U03,Q2-003,cruise,1099.417476748376,1503.521008184252
drone,U03,Q2-003,descent,1503.521008184252,1612.1137376764395
drone,U04,Q2-004,prepare_load,0.0,360.0
drone,U04,Q2-004,climb,360.0,439.4659464518229
drone,U04,Q2-004,cruise,439.4659464518229,704.9832946529609
drone,U04,Q2-004,descent,704.9832946529609,725.5024303951484
drone,U04,Q2-004,handoff,725.5024303951484,935.5024303951484
drone,U04,Q2-004,climb,935.5024303951484,952.6017101803046
drone,U04,Q2-004,cruise,952.6017101803046,1218.1190583814425
drone,U04,Q2-004,descent,1218.1190583814425,1313.4781941236301
drone,U05,Q2-005,prepare_load,0.0,390.0
drone,U05,Q2-005,climb,390.0,492.6455118815104
drone,U05,Q2-005,cruise,492.6455118815104,811.6118353244191
drone,U05,Q2-005,descent,811.6118353244191,845.2264495822316
drone,U05,Q2-005,handoff,845.2264495822316,1085.2264495822315
drone,U05,Q2-005,climb,1085.2264495822315,1113.2386281304084
drone,U05,Q2-005,cruise,1113.2386281304084,1432.204951573317
drone,U05,Q2-005,descent,1432.204951573317,1555.3795658311294
drone,U06,Q2-006,prepare_load,0.0,390.0
drone,U06,Q2-006,climb,390.0,518.0910583496094
drone,U06,Q2-006,cruise,518.0910583496094,820.388429470681
drone,U06,Q2-006,descent,820.388429470681,885.7776994902123
drone,U06,Q2-006,handoff,885.7776994902123,1095.7776994902124
drone,U06,Q2-006,climb,1095.7776994902124,1147.2504371204207
drone,U06,Q2-006,cruise,1147.2504371204207,1295.2077325812625
drone,U06,Q2-006,descent,1295.2077325812625,1306.5750177375126
drone,U06,Q2-006,handoff,1306.5750177375126,1486.5750177375126
drone,U06,Q2-006,climb,1486.5750177375126,1519.0081028612105
drone,U06,Q2-006,cruise,1519.0081028612105,1919.6336343025632
drone,U06,Q2-006,descent,1919.6336343025632,2097.273336451001
drone,U07,Q2-007,prepare_load,0.0,480.0
drone,U07,Q2-007,climb,480.0,538.1426440429688
drone,U07,Q2-007,cruise,538.1426440429688,741.7412336108687
drone,U07,Q2-007,descent,741.7412336108687,786.2695386645796
drone,U07,Q2-007,handoff,786.2695386645796,1182.2695386645796
drone,U07,Q2-007,climb,1182.2695386645796,1217.8921827075483
drone,U07,Q2-007,cruise,1217.8921827075483,1421.4907722754483
drone,U07,Q2-007,descent,1421.4907722754483,1494.1690773291593
drone,U08,Q2-008,prepare_load,0.0,510.0
drone,U08,Q2-008,climb,510.0,568.1426440429688
drone,U08,Q2-008,cruise,568.1426440429688,771.7412336108687
drone,U08,Q2-008,descent,771.7412336108687,816.2695386645796
drone,U08,Q2-008,handoff,816.2695386645796,1248.2695386645796
drone,U08,Q2-008,climb,1248.2695386645796,1283.8921827075483
drone,U08,Q2-008,cruise,1283.8921827075483,1487.4907722754483
drone,U08,Q2-008,descent,1487.4907722754483,1560.1690773291593
drone,U01,Q2-009,prepare_load,1253.4781941236301,1583.4781941236301
drone,U01,Q2-009,climb,1583.4781941236301,1738.227323355401
drone,U01,Q2-009,cruise,1738.227323355401,2189.8608115398292
drone,U01,Q2-009,descent,2189.8608115398292,2286.239766617954
drone,U01,Q2-009,handoff,2286.239766617954,2466.239766617954
drone,U01,Q2-009,climb,2466.239766617954,2546.5555625163915
drone,U01,Q2-009,cruise,2546.5555625163915,2998.1890507008197
drone,U01,Q2-009,descent,2998.1890507008197,3183.8880057789447
drone,U04,Q2-010,prepare_load,1313.4781941236301,1703.4781941236301
drone,U04,Q2-010,climb,1703.4781941236301,1858.227323355401
drone,U04,Q2-010,cruise,1858.227323355401,2309.8608115398292
drone,U04,Q2-010,descent,2309.8608115398292,2406.239766617954
drone,U04,Q2-010,handoff,2406.239766617954,2616.239766617954
drone,U04,Q2-010,climb,2616.239766617954,2676.9932049317563
drone,U04,Q2-010,cruise,2676.9932049317563,2937.6099130051794
drone,U04,Q2-010,descent,2937.6099130051794,3010.234038981742
drone,U04,Q2-010,handoff,3010.234038981742,3190.234038981742
drone,U04,Q2-010,climb,3190.234038981742,3206.061313558565
drone,U04,Q2-010,cruise,3206.061313558565,3610.164844994441
drone,U04,Q2-010,descent,3610.164844994441,3718.7575744866285
drone,U07,Q2-011,prepare_load,1494.1690773291593,1974.1690773291593
drone,U07,Q2-011,climb,1974.1690773291593,2046.6707789893155
drone,U07,Q2-011,cruise,2046.6707789893155,2540.7581426615943
drone,U07,Q2-011,descent,2540.7581426615943,2585.4852697367896
drone,U07,Q2-011,handoff,2585.4852697367896,2981.4852697367896
drone,U07,Q2-011,climb,2981.4852697367896,3017.266971396946
drone,U07,Q2-011,cruise,3017.266971396946,3511.354335069225
drone,U07,Q2-011,descent,3511.354335069225,3601.98146214442
drone,U05,Q2-012,prepare_load,1555.3795658311296,1915.3795658311296
drone,U05,Q2-012,climb,1915.3795658311296,2043.470624180739
drone,U05,Q2-012,cruise,2043.470624180739,2345.7679953018105
drone,U05,Q2-012,descent,2345.7679953018105,2411.1572653213416
drone,U05,Q2-012,handoff,2411.1572653213416,2621.1572653213416
drone,U05,Q2-012,climb,2621.1572653213416,2675.648323670951
drone,U05,Q2-012,cruise,2675.648323670951,2977.9456947920226
drone,U05,Q2-012,descent,2977.9456947920226,3131.654964811554
drone,U08,Q2-013,prepare_load,1560.1690773291593,2040.1690773291593
drone,U08,Q2-013,climb,2040.1690773291593,2213.810732602597
drone,U08,Q2-013,cruise,2213.810732602597,2698.022683039697
drone,U08,Q2-013,descent,2698.022683039697,2809.6747521314937
drone,U08,Q2-013,handoff,2809.6747521314937,3205.6747521314937
drone,U08,Q2-013,climb,3205.6747521314937,3294.9964074049312
drone,U08,Q2-013,cruise,3294.9964074049312,3779.208357842031
drone,U08,Q2-013,descent,3779.208357842031,3996.260426933828
drone,U06,Q2-014,prepare_load,2097.2733364510004,2457.2733364510004
drone,U06,Q2-014,climb,2457.2733364510004,2536.7392829028236
drone,U06,Q2-014,cruise,2536.7392829028236,2749.153161463734
drone,U06,Q2-014,descent,2749.153161463734,2769.6722972059215
drone,U06,Q2-014,handoff,2769.6722972059215,2979.6722972059215
drone,U06,Q2-014,climb,2979.6722972059215,2996.771576991078
drone,U06,Q2-014,cruise,2996.771576991078,3209.185455551988
drone,U06,Q2-014,descent,3209.185455551988,3304.5445912941755
drone,U03,Q2-015,prepare_load,2125.821753963857,2485.821753963857
drone,U03,Q2-015,climb,2485.821753963857,2567.558198055654
drone,U03,Q2-015,cruise,2567.558198055654,3240.810957424253
drone,U03,Q2-015,descent,3240.810957424253,3281.6146903344093
drone,U03,Q2-015,handoff,3281.6146903344093,3491.6146903344093
drone,U03,Q2-015,climb,3491.6146903344093,3525.617801092873
drone,U03,Q2-015,cruise,3525.617801092873,4198.8705604614715
drone,U03,Q2-015,descent,4198.8705604614715,4296.9542933716275
drone,U02,Q2-016,prepare_load,2430.8481296241616,2820.8481296241616
drone,U02,Q2-016,climb,2820.8481296241616,2948.939187973771
