resource_type,resource_id,previous_trip,next_trip,resource_ready_s,next_start_s,slack_s,pass
drone,U01,Q2-001,Q2-009,1253.4781941236301,1253.4781941236301,0.0,True
drone,U01,Q2-009,Q2-018,3183.8880057789456,3183.8880057789456,0.0,True
drone,U02,Q2-002,Q2-016,2430.8481296241616,2430.8481296241616,0.0,True
drone,U02,Q2-016,Q2-025,4913.009463110569,5003.325552250849,90.31608914027947,True
drone,U03,Q2-003,Q2-015,1612.1137376764395,2125.821753963857,513.7080162874176,True
drone,U03,Q2-015,Q2-023,4296.954293371628,4334.386246998265,37.43195362663664,True
drone,U04,Q2-004,Q2-010,1313.4781941236301,1313.4781941236301,0.0,True
drone,U04,Q2-010,Q2-021,3718.757574486628,3831.8255982663445,113.06802377971644,True
drone,U05,Q2-005,Q2-012,1555.3795658311296,1555.3795658311296,0.0,True
drone,U05,Q2-012,Q2-017,3131.6549648115542,3131.6549648115542,0.0,True
drone,U05,Q2-017,Q2-024,4320.075437046711,4447.349185530134,127.27374848342242,True
drone,U06,Q2-006,Q2-014,2097.2733364510004,2097.2733364510004,0.0,True
drone,U06,Q2-014,Q2-020,3304.544591294175,3776.0312959817693,471.4867046875943,True
drone,U07,Q2-007,Q2-011,1494.1690773291593,1494.1690773291593,0.0,True
drone,U07,Q2-011,Q2-019,3601.98146214442,3601.98146214442,0.0,True
drone,U08,Q2-008,Q2-013,1560.1690773291593,1560.1690773291593,0.0,True
drone,U08,Q2-013,Q2-022,3996.260426933828,3996.260426933828,0.0,True
battery,A-BAT-01,Q2-001,Q2-015,2125.821753963857,2125.821753963857,0.0,True
battery,A-BAT-02,Q2-002,Q2-021,3831.825598266344,3831.8255982663445,4.547473508864641e-13,True
battery,A-BAT-03,Q2-003,Q2-018,2697.2424793194946,3183.8880057789456,486.64552645945105,True
battery,A-BAT-04,Q2-004,Q2-016,2205.5143833210705,2430.8481296241616,225.33374630309117,True
battery,A-BAT-05,Q2-009,Q2-023,4334.386246998265,4334.386246998265,0.0,True
battery,A-BAT-06,Q2-010,Q2-025,5003.325552250849,5003.325552250849,0.0,True
battery,B-BAT-01,Q2-005,Q2-017,3012.0977016699944,3131.6549648115542,119.55726314155982,True
battery,B-BAT-02,Q2-006,Q2-020,3776.0312959817693,3776.0312959817693,0.0,True
battery,B-BAT-04,Q2-014,Q2-024,4447.349185530134,4447.349185530134,0.0,True
battery,C-BAT-01,Q2-007,Q2-019,3064.2753801564804,3601.98146214442,537.7060819879398,True
battery,C-BAT-02,Q2-008,Q2-022,3155.277034362639,3996.260426933828,840.9833925711891,True
